,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
0,220771,1,05:26,-, Tomáš Brabec, Pavel Šmatlák,2018/2019,5,26,326
1,220771,2,06:48,-, Ondřej Polínek, Ondřej Jilemnický,2018/2019,6,48,408
2,220771,3,02:54,-, Pavel Vanc, Jiří Chochola,2018/2019,2,54,174
3,220771,3,06:44,-, Pavel Vanc, Ondřej Jilemnický,2018/2019,6,44,404
0,221367,1,02:06,-, Vít Bohata, Tomáš Krejcárek,2018/2019,2,6,126
1,221367,1,05:05,-, Jakub Brajer, Vojtěch Kohout,2018/2019,5,5,305
2,221367,2,06:07,-, Michal Kolář, Tomáš Krejcárek,2018/2019,6,7,367
3,221367,3,07:27,-, Jakub Dragoun, Patrik Vršecký,2018/2019,7,27,447
4,221367,3,07:36,-, Tomáš Krejcárek, Lukáš Unger,2018/2019,7,36,456
0,223045,1,00:26,-, Štěpán Mach, Petr Matoušů,2018/2019,0,26,26
1,223045,1,01:14,OG, Jan Jiráň,,2018/2019,1,14,74
2,223045,2,00:33,-, Teodor Bodlák, František Štěpánek,2018/2019,0,33,33
3,223045,3,02:11,-, Tomáš Kašpar, Petr Matoušů,2018/2019,2,11,131
4,223045,3,04:58,-, Teodor Bodlák, David Sgall,2018/2019,4,58,298
5,223045,3,07:15,-, Teodor Bodlák, Jakub Wágner,2018/2019,7,15,435
0,223041,1,00:40,-, Šimon Todorov, Martin Koubík,2018/2019,0,40,40
1,223041,1,10:28,-, Martin Koubík, Šimon Todorov,2018/2019,10,28,628
2,223041,2,10:39,-, Miloslav Mattes, Vladimír Hlinka,2018/2019,10,39,639
3,223041,3,00:45,-, Emil Todorov, Martin Koubík,2018/2019,0,45,45
4,223041,3,10:38,-, Václav Hlinka, Vladimír Hlinka,2018/2019,10,38,638
5,223041,3,11:56,-, Miloslav Mattes, Václav Hlinka,2018/2019,11,56,716
6,223041,3,11:59,PS, Šimon Todorov,,2018/2019,11,59,719
0,225298,2,07:42,SH, Ondřej Kotal, Martin Houdek,2018/2019,7,42,462
1,225298,3,05:20,-, Martin Houdek,,2018/2019,5,20,320
0,225293,1,00:18,-, Daniel Alfery, Adam Volánek,2018/2019,0,18,18
1,225293,2,02:52,PP, Adam Volánek, Tomáš Kupec,2018/2019,2,52,172
2,225293,2,09:07,-, Vítek Popov, Jakub Šuťák,2018/2019,9,7,547
3,225293,3,04:54,-, Daniel Alfery, Adam Volánek,2018/2019,4,54,294
4,225293,3,10:12,-, Jan Handl, Tomáš Kupec,2018/2019,10,12,612
0,229876,1,07:10,-, Radek Brunner, Michal Šindelář,2018/2019,7,10,430
1,229876,1,09:18,-, Radek Brunner, Dalibor Pavlíček,2018/2019,9,18,558
2,229876,1,10:43,-, Dalibor Pavlíček, Radek Brunner,2018/2019,10,43,643
3,229876,2,01:20,-, Radek Brunner,,2018/2019,1,20,80
4,229876,2,10:53,-, Tomáš Rázga, Marek Ryba,2018/2019,10,53,653
5,229876,3,08:42,-, Dalibor Pavlíček, Tomáš Rázga,2018/2019,8,42,522
6,229876,3,09:22,-, Radek Brunner, Dalibor Pavlíček,2018/2019,9,22,562
0,229873,2,00:23,-, Teodor Kandilarov, Filip Kolařík,2018/2019,0,23,23
0,232664,1,04:31,-, Lukáš Mašek, Tomáš Karbusický,2018/2019,4,31,271
1,232664,1,07:13,SH, Lukáš Mašek,,2018/2019,7,13,433
2,232664,1,11:58,-, Vít Matuška, Jaroslav Rendla,2018/2019,11,58,718
3,232664,2,01:46,-, Vít Matuška, Jan Lovasz,2018/2019,1,46,106
4,232664,2,10:53,-, Jaroslav Rendla, Jan Vítkovský,2018/2019,10,53,653
5,232664,3,02:06,-, Tomáš Karbusický, Pavel Špirit,2018/2019,2,6,126
6,232664,3,06:45,-, Jan Lovasz, Lukáš Mašek,2018/2019,6,45,405
7,232664,3,07:18,-, Tomáš Karbusický, Jan Vítkovský,2018/2019,7,18,438
0,232662,1,06:51,PP, Jakub Šuťák, Jiří Pavliš,2018/2019,6,51,411
1,232662,2,03:38,-, Ondřej Otáhal, Tomáš Koval,2018/2019,3,38,218
2,232662,2,06:49,OG, Jan Novák,,2018/2019,6,49,409
