,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
0,220771,2,00:39,-, Jakub Horyna, Aleš Martínek,2018/2019,0,39,39
1,220771,2,04:34,PP, Aleš Martínek, Jakub Horyna,2018/2019,4,34,274
2,220771,3,03:44,-, Jakub Vilim, Jaroslav Drahotínský,2018/2019,3,44,224
0,223045,1,06:25,-, Jakub Horyna, Martin Bosák,2018/2019,6,25,385
1,223045,3,06:30,PS, Jakub Horyna,,2018/2019,6,30,390
2,223045,3,08:35,-, Jakub Vilim,,2018/2019,8,35,515
3,223045,3,10:08,PP, Jakub Horyna,,2018/2019,10,8,608
0,223041,1,04:44,-, Jakub Kalfiřt, Libor Hrach,2018/2019,4,44,284
1,223041,1,06:26,-, Martin Bosák, Jakub Horyna,2018/2019,6,26,386
2,223041,1,08:23,-, Petr Zahradník, Martin Bosák,2018/2019,8,23,503
3,223041,1,10:35,-, Martin Bosák, Lucie Kisugite,2018/2019,10,35,635
4,223041,2,07:33,-, Libor Hrach, Aleš Martínek,2018/2019,7,33,453
5,223041,3,06:17,-, Martin Bosák,,2018/2019,6,17,377
6,223041,3,06:38,-, Martin Bosák, Libor Hrach,2018/2019,6,38,398
7,223041,3,09:34,-, Lucie Kisugite, Jakub Horyna,2018/2019,9,34,574
0,225298,1,01:35,-, Martin Fojtík, Libor Hrach,2018/2019,1,35,95
1,225298,1,11:53,-, Martin Fojtík, Jakub Vilim,2018/2019,11,53,713
2,225298,2,04:43,-, Jakub Horyna, Aleš Martínek,2018/2019,4,43,283
3,225298,2,08:13,-, Martin Bosák, Jakub Horyna,2018/2019,8,13,493
4,225298,3,01:59,-, Jan Jiráň,,2018/2019,1,59,119
5,225298,3,09:16,-, Martin Fojtík,,2018/2019,9,16,556
0,225293,1,10:21,-, Lucie Kisugite, Jakub Horyna,2018/2019,10,21,621
1,225293,1,10:57,-, Jakub Horyna,,2018/2019,10,57,657
2,225293,1,11:33,-, Šimon Smrček, Martin Fojtík,2018/2019,11,33,693
3,225293,2,01:22,SH, Martin Bosák,,2018/2019,1,22,82
4,225293,3,03:44,-, Martin Fojtík,,2018/2019,3,44,224
5,225293,3,10:19,-, Jakub Vilim, Martin Bosák,2018/2019,10,19,619
0,229876,2,10:01,-, Libor Hrach, Jakub Horyna,2018/2019,10,1,601
1,229876,3,04:59,SH, Lucie Kisugite, Martin Bosák,2018/2019,4,59,299
2,229876,3,11:15,-, Jakub Vilim, Martin Bosák,2018/2019,11,15,675
0,229873,1,00:50,-, Libor Hrach, Jakub Horyna,2018/2019,0,50,50
1,229873,2,09:23,-, Jakub Vilim, Jakub Horyna,2018/2019,9,23,563
2,229873,2,11:55,-, Martin Bosák, Jakub Horyna,2018/2019,11,55,715
0,232664,1,09:01,-, Martin Bosák, Petr Zahradník,2018/2019,9,1,541
1,232664,2,00:55,-, Martin Fojtík, Libor Hrach,2018/2019,0,55,55
2,232664,2,01:38,-, Lucie Kisugite, Martin Bosák,2018/2019,1,38,98
3,232664,2,02:17,-, Jakub Vilim,,2018/2019,2,17,137
4,232664,2,05:13,-, Martin Fojtík, Jakub Horyna,2018/2019,5,13,313
5,232664,2,08:32,-, Jakub Kalfiřt,,2018/2019,8,32,512
6,232664,2,09:36,-, Martin Bosák, Lucie Kisugite,2018/2019,9,36,576
7,232664,2,09:40,-, Martin Bosák,,2018/2019,9,40,580
8,232664,2,11:19,-, Libor Hrach, Jakub Horyna,2018/2019,11,19,679
9,232664,3,08:05,PS, Martin Bosák,,2018/2019,8,5,485
10,232664,3,10:24,SH, Martin Bosák, Jan Jiráň,2018/2019,10,24,624
11,232664,3,10:43,SH, Martin Bosák, Jan Jiráň,2018/2019,10,43,643
0,232662,2,08:14,PP, Martin Fojtík, Martin Bosák,2018/2019,8,14,494
1,232662,3,11:59,SH, Martin Fojtík, Martin Bosák,2018/2019,11,59,719
0,236944,1,02:50,PP, Martin Bosák, Jan Jiráň,2018/2019,2,50,170
