,Id,Period,Time,Player,TM,Foul,Season
0,221367,3. část,01:07, Petr Sukalovský,2,924 zdržování hry,2018/2019
0,223041,2. část,02:08, Jakub Vilim,2,901 sekání,2018/2019
0,225293,1. část,07:42, Jakub Horyna,2,909 hrubost,2018/2019
1,225293,2. část,01:14, Jakub Horyna,2,904 vysoká hokejka,2018/2019
0,229876,3. část,03:55, Jakub Horyna,2,925 nesportovní chování,2018/2019
1,229876,3. část,03:55, Jakub Horyna,10,610 osobní trest,2018/2019
2,229876,3. část,06:10, Petr Zahradník,2,922 špatné střídání,2018/2019
0,229873,2. část,11:29, Jan Jiráň,2,902 blokování hokejky,2018/2019
1,229873,3. část,10:36, Lucie Kisugite,2,901 sekání,2018/2019
0,232664,3. část,07:54, Lucie Kisugite,2,901 sekání,2018/2019
1,232664,3. část,09:59, Martin Fojtík,2,909 hrubost,2018/2019
2,232664,3. část,09:59, Martin Fojtík,2,901 sekání,2018/2019
3,232664,3. část,11:46, Jakub Horyna,2,904 vysoká hokejka,2018/2019
0,232662,1. část,06:22, Jan Šrámek,2,907 nedovolené vrážení,2018/2019
1,232662,1. část,09:11, Lucie Kisugite,2,901 sekání,2018/2019
2,232662,2. část,09:22, Jan Jiráň,2,901 sekání,2018/2019
3,232662,3. část,10:38, Jan Jiráň,2,909 hrubost,2018/2019
4,232662,3. část,11:39, Aleš Martínek,2,901 sekání,2018/2019
0,236944,1. část,09:20, Petr Zahradník,2,902 blokování hokejky,2018/2019
1,236944,2. část,09:35, Jan Jiráň,2,907 nedovolené vrážení,2018/2019
0,236942,2. část,02:00, Jan Jiráň,2,901 sekání,2018/2019
1,236942,2. část,08:45, Jan Jiráň,2,901 sekání,2018/2019
0,239917,1. část,01:48, Aleš Martínek,2,909 hrubost,2018/2019
1,239917,3. část,00:54, Jan Jiráň,2,901 sekání,2018/2019
2,239917,3. část,05:25, Petr Zahradník,2,909 hrubost,2018/2019
0,239912,2. část,02:40, Aleš Martínek,2,901 sekání,2018/2019
1,239912,3. část,10:37, Lucie Kisugite,2,922 špatné střídání,2018/2019
0,242544,1. část,11:17, Jan Jiráň,2,911 bránění ve hře,2018/2019
0,242540,3. část,05:15, Jan Jiráň,2,901 sekání,2018/2019
0,245316,1. část,05:21, Jan Novák,2,922 špatné střídání,2018/2019
1,245316,1. část,08:51, Jan Novák,2,902 blokování hokejky,2018/2019
0,247361,1. část,05:30, Jakub Horyna,2,901 sekání,2018/2019
0,249569,2. část,10:15, Jakub Vilim,2,901 sekání,2018/2019
1,249569,3. část,11:32, Martin Bosák,2,911 bránění ve hře,2018/2019
0,249565,2. část,06:04, Jakub Horyna,2,903 nadzvedávání hokejky,2018/2019
1,249565,2. část,09:12, Jakub Vilim,2,909 hrubost,2018/2019
2,249565,3. část,07:45, Martin Bosák,2,911 bránění ve hře,2018/2019
3,249565,3. část,09:58, Jakub Horyna,5,901 sekání,2018/2019
0,222364,2. část,07:40, Martin Bosák,2,901 sekání,2018/2019
1,222364,2. část,08:38, Jan Jiráň,2,901 sekání,2018/2019
2,222364,3. část,10:45, Martin Fojtík,2,909 hrubost,2018/2019
3,222364,3. část,11:22, Jan Jiráň,10,614 vyloučení do konce utkání 2,2018/2019
4,222364,3. část,11:22, Jan Jiráň,5,909 hrubost,2018/2019
0,251696,3. část,10:05, Aleš Martínek,2,901 sekání,2018/2019
0,257498,3. část,02:49, Aleš Martínek,2,901 sekání,2019/2020
0,257495,1. část,10:38, Rudolf Rubáš,2,922 špatné střídání,2019/2020
1,257495,2. část,08:03, Jakub Vilim,2,907 nedovolené vrážení,2019/2020
0,260184,3. část,06:49, Rudolf Rubáš,2,924 zdržování hry,2019/2020
0,261992,2. část,05:41, Rudolf Rubáš,2,903 nadzvedávání hokejky,2019/2020
1,261992,2. část,10:10, Aleš Martínek,2,911 bránění ve hře,2019/2020
2,261992,3. část,02:52, Petr Sukalovský,2,902 blokování hokejky,2019/2020
0,266168,2. část,03:01, Jakub Vilim,2,901 sekání,2019/2020
0,266163,2. část,08:31, Rudolf Rubáš,2,915 nedovolená vzdálenost,2019/2020
1,266163,3. část,04:14, Jan Jiráň,2,910 držení,2019/2020
2,266163,3. část,11:12, Martin Bosák,2,911 bránění ve hře,2019/2020
0,271018,3. část,00:26, Jaroslav Drahotínský,2,909 hrubost,2019/2020
1,271018,3. část,08:49, Šimon Smrček,2,909 hrubost,2019/2020
0,271013,3. část,06:41, Jan Jiráň,2,922 špatné střídání,2019/2020
0,278196,2. část,01:28, Tomáš Štumf,2,901 sekání,2019/2020
1,278196,3. část,10:33, Jan Jiráň,2,901 sekání,2019/2020
0,278193,3. část,01:08, Aleš Martínek,2,902 blokování hokejky,2019/2020
0,284100,2. část,10:04, Viliam Virba,2,920 hra rukou,2020/2021
1,284100,3. část,03:47, Rudolf Rubáš,2,902 blokování hokejky,2020/2021
2,284100,3. část,05:11, Jan Jiráň,2,909 hrubost,2020/2021
0,284104,2. část,11:31, Jan Jiráň,2,901 sekání,2020/2021
1,284104,3. část,10:08, Petr Zahradník,2,901 sekání,2020/2021
2,284104,3. část,11:53, Petr Čermák,2,925 nesportovní chování,2020/2021
0,286056,3. část,02:58, Tomáš Štumf,2,902 blokování hokejky,2020/2021
1,286056,3. část,08:50, Marek Pukl,2,901 sekání,2020/2021
0,286054,2. část,06:57, Petr Zahradník,2,925 nesportovní chování,2020/2021
0,290622,1. část,06:05, Petr Zahradník,2,901 sekání,2021/2022
0,291306,2. část,05:50, Petr Zahradník,2,926 hra bez hokejky,2021/2022
0,294684,1. část,08:39, Jan Jiráň,2,901 sekání,2021/2022
1,294684,1. část,10:03, Jan Novák,2,915 nedovolená vzdálenost,2021/2022
2,294684,3. část,10:40, Jakub Vilim,2,909 hrubost,2021/2022
0,294688,1. část,03:27, Jan Novák,2,920 hra rukou,2021/2022
1,294688,3. část,03:51, Aleš Martínek,2,901 sekání,2021/2022
0,301969,2. část,03:52, Jan Jiráň,2,901 sekání,2021/2022
0,305967,3. část,09:51, Jaroslav Drahotínský,2,909 hrubost,2021/2022
1,305967,3. část,10:59, Tomáš Štumf,2,911 bránění ve hře,2021/2022
0,305979,2. část,05:25, Petr Zahradník,2,911 bránění ve hře,2021/2022
0,308725,2. část,04:01, Petr Sukalovský,2,922 špatné střídání,2021/2022
1,308725,3. část,01:01, Tomáš Štumf,2,901 sekání,2021/2022
0,308734,1. část,08:51, Marek Pukl,2,915 nedovolená vzdálenost,2021/2022
1,308734,2. část,10:48, Viliam Virba,2,909 hrubost,2021/2022
0,311143,2. část,07:52, Martin Bosák,2,901 sekání,2021/2022
1,311143,2. část,10:51, Andrej Lipan,2,909 hrubost,2021/2022
2,311143,3. část,07:11, Josef Kostelecký,2,911 bránění ve hře,2021/2022
0,311148,2. část,08:08, Tomáš Štumf,2,915 nedovolená vzdálenost,2021/2022
0,314037,1. část,09:23, Andrej Lipan,2,911 bránění ve hře,2021/2022
1,314037,2. část,09:55, Petr Sukalovský,2,901 sekání,2021/2022
2,314037,3. část,05:10, Tomáš Štumf,2,909 hrubost,2021/2022
3,314037,3. část,10:00, Rudolf Rubáš,5,901 sekání,2021/2022
