,Id,Player,G,A,PTS,Season,Team_against,Team_for,Hattrick,Date,League
0,220771, Vítězslav Traurig ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
1,220771, Aleš Martínek ,1,1,2,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
2,220771, Jan Novák ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
3,220771, Petr Sukalovský ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
4,220771, Jan Jiráň ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
5,220771, Jaroslav Drahotínský ,0,1,1,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
6,220771, Martin Bosák ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
7,220771, Libor Hrach ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
8,220771, Jakub Horyna ,1,1,2,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
9,220771, Jakub Kalfiřt ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
10,220771, Martin Fojtík ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
11,220771, Jakub Vilim ,1,0,1,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
12,220771, Petr Zahradník ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
13,221367, Vítězslav Traurig ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
14,221367, Aleš Martínek ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
15,221367, Jan Novák ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
16,221367, Petr Sukalovský ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
17,221367, Jan Jiráň ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
18,221367, Jaroslav Drahotínský ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
19,221367, Martin Bosák ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
20,221367, Libor Hrach ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
21,221367, Jakub Horyna ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
22,221367, Jakub Kalfiřt ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
23,221367, Martin Fojtík ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
24,221367, Jakub Vilim ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
25,221367, Petr Zahradník ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
26,223045, Aleš Martínek ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
27,223045, Lucie Kisugite ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
28,223045, Jan Jiráň ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
29,223045, Jaroslav Drahotínský ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
30,223045, Martin Bosák ,0,1,1,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
31,223045, Libor Hrach ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
32,223045, Jakub Kalfiřt ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
