GK,Goals,Matches,Min,Shots,Touches,Mean_Goals,Goal_Minute
 Tomáš Krijt,12,4,72,0,-12,-,-
 Václav Liebezeit,24,3,108,0,-24,-,-
 Jan Gierczynski,6,3,108,0,-6,-,-
 Aleš Vambera,8,2,36,0,-8,-,-
 Miroslav Veselý,7,2,72,0,-7,-,-
 Matěj Šolar,10,2,72,0,-10,-,-
 Martin Šimůnek,5,2,72,0,-5,-,-
 Martin Sluka,19,2,72,0,-19,-,-
 Marek Škeřík,8,2,72,0,-8,-,-
 Michal Mrázek,5,2,72,0,-5,-,-
 Marek Černý,22,2,72,0,-22,-,-
 Boris Šimák,10,2,72,0,-10,-,-
 Kryštof Petr,6,2,72,0,-6,-,-
 Jiří Srba,8,2,72,0,-8,-,-
 Miroslav Mynář,0,2,0,0,0,-,-
 Miroslav Šteffl,15,2,72,0,-15,-,-
 Michal Kolář,3,2,36,0,-3,-,-
 Jan Majzner,10,2,72,0,-10,-,-
 Jakub Strnad,5,2,36,0,-5,-,-
 Jakub Malý,12,2,72,0,-12,-,-
 Filip Matějů,7,2,72,0,-7,-,-
 Daniel Urban,7,2,72,0,-7,-,-
 Michal Dostál,6,2,36,0,-6,-,-
 Ondřej Svoboda,7,1,36,0,-7,-,-
 Michal Vyčichl,3,1,36,0,-3,-,-
 Ondřej Švanda,1,1,36,0,-1,-,-
 Pavel Bartůněk,3,1,36,0,-3,-,-
 Tomáš Koval,2,1,36,0,-2,-,-
 Lukáš Pechar,2,1,36,0,-2,-,-
 Marek Ševčík,6,1,36,0,-6,-,-
 Jiří Štégl,8,1,36,0,-8,-,-
 Jiří Fuksa,3,1,36,0,-3,-,-
 Jiří Dobš,4,1,36,0,-4,-,-
 Jan Merta,0,1,0,0,0,-,-
 Jan Manasterský,14,1,36,0,-14,-,-
 Filip Trousil,5,1,36,0,-5,-,-
 Evžen Kindermann,3,1,36,0,-3,-,-
 David Štědrý,5,1,36,0,-5,-,-
 David Balla,6,1,36,0,-6,-,-
 Daniel Dohnal,4,1,36,0,-4,-,-
 Šimon Kalík,5,1,36,0,-5,-,-
