,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
0,132643,1,01:31,-, Michal Lebeda,,2015/2016,1,31,91
1,132643,1,04:03,-, Pavel Špirit, Jaroslav Rendla,2015/2016,4,3,243
2,132643,1,10:05,PP, Jakub Chvojka, Jiří Krotký,2015/2016,10,5,605
3,132643,1,10:19,-, Pavel Špirit, Michal Lebeda,2015/2016,10,19,619
4,132643,2,08:23,-, Jan Vítkovský, Michal Lebeda,2015/2016,8,23,503
5,132643,3,06:28,PS, Jan Vítkovský,,2015/2016,6,28,388
6,132643,3,10:10,-, Jakub Chvojka,,2015/2016,10,10,610
0,132644,1,08:43,-, Jindřich Hanousek,,2015/2016,8,43,523
1,132644,1,11:54,-, Jan Lintymer, Jindřich Hanousek,2015/2016,11,54,714
2,132644,2,01:18,-, Jan Lintymer, Zdeněk Fryš,2015/2016,1,18,78
3,132644,2,03:46,-, Petr Rosička, Jan Lintymer,2015/2016,3,46,226
4,132644,3,01:49,-, Jindřich Hanousek, Jan Lintymer,2015/2016,1,49,109
5,132644,3,10:13,-, Zdeněk Fryš, Jindřich Hanousek,2015/2016,10,13,613
6,132644,3,11:49,PS, Jan Lintymer,,2015/2016,11,49,709
0,133941,2,00:20,-, Jaroslav Hluší, Robert Taussig,2015/2016,0,20,20
0,133943,1,03:31,-, Marek Kuneš,,2015/2016,3,31,211
1,133943,1,08:17,-, David Blahoš, Tomáš Hájek,2015/2016,8,17,497
2,133943,2,00:38,PP, Martin Dragoun, Josef Kučera,2015/2016,0,38,38
3,133943,2,01:39,-, David Blahoš,,2015/2016,1,39,99
4,133943,2,06:26,-, Daniel Knopp, Josef Kučera,2015/2016,6,26,386
5,133943,3,00:16,-, Daniel Knopp, David Blahoš,2015/2016,0,16,16
6,133943,3,00:48,-, Daniel Knopp, David Blahoš,2015/2016,0,48,48
7,133943,3,05:23,-, David Blahoš, Josef Kučera,2015/2016,5,23,323
8,133943,3,05:50,-, Marek Kuneš, David Blahoš,2015/2016,5,50,350
9,133943,3,07:14,-, David Blahoš, Marek Kuneš,2015/2016,7,14,434
10,133943,3,11:30,-, Josef Kučera, David Blahoš,2015/2016,11,30,690
0,136045,3,03:15,-, Petr Kohout, Jan Prušák,2015/2016,3,15,195
1,136045,3,07:51,-, Petr Kohout, Jan Paulovič,2015/2016,7,51,471
2,136045,3,09:39,-, Jan Paulovič,,2015/2016,9,39,579
0,136061,1,03:55,-, Filip Hubáček, Daniel Frič,2015/2016,3,55,235
1,136061,1,05:56,-, Filip Hubáček, Daniel Frič,2015/2016,5,56,356
2,136061,2,04:35,-, Alexandr Mostýn, Karel Němec,2015/2016,4,35,275
3,136061,2,11:42,-, Václav Měchura, Vítek Moučka,2015/2016,11,42,702
4,136061,3,02:07,-, Václav Měchura,,2015/2016,2,7,127
5,136061,3,04:19,-, Alexandr Mostýn, Karel Němec,2015/2016,4,19,259
6,136061,3,05:03,-, Jakub Puciow, Jakub Novotný,2015/2016,5,3,303
7,136061,3,11:58,-, Daniel Frič, Jakub Puciow,2015/2016,11,58,718
0,138158,1,05:54,-, Tomáš Ovčáčík, Miroslav Zbořilák,2015/2016,5,54,354
1,138158,1,06:09,PP, Tomáš Ovčáčík, Miroslav Zbořilák,2015/2016,6,9,369
2,138158,1,11:00,-, Petr Veselý, Jan Štička,2015/2016,11,0,660
3,138158,2,05:24,-, Jan Štička, Tomáš Badin,2015/2016,5,24,324
4,138158,3,02:58,-, Tomáš Ovčáčík, Miroslav Zbořilák,2015/2016,2,58,178
5,138158,3,03:18,-, Jan Štorek, Ondřej Šafář,2015/2016,3,18,198
6,138158,3,07:22,-, Tomáš Badin, Ondřej Šafář,2015/2016,7,22,442
7,138158,3,10:29,-, Miroslav Zbořilák,,2015/2016,10,29,629
0,138161,1,04:04,-, Vojtěch Šrein, Roman Šebek,2015/2016,4,4,244
1,138161,1,05:37,-, Vít Bohata, Evžen Teringl,2015/2016,5,37,337
2,138161,1,06:54,-, Pavel Popek, Marek Šíp,2015/2016,6,54,414
3,138161,1,08:29,-, Jakub Brabec, Evžen Teringl,2015/2016,8,29,509
4,138161,2,01:04,-, Vladimír Drnec, Jaroslav Šimek,2015/2016,1,4,64
5,138161,3,02:01,-, Michal Kolář, Vít Bohata,2015/2016,2,1,121
0,139413,1,02:40,-, David Schneider, Jakub Šíma,2015/2016,2,40,160
1,139413,1,05:47,-, Jan Vršek, Jiří Neradil,2015/2016,5,47,347
2,139413,1,07:11,-, David Schneider, Jakub Šíma,2015/2016,7,11,431
3,139413,1,10:51,-, Jakub Šíma, Martin Libecajt,2015/2016,10,51,651
4,139413,2,01:25,-, Jakub Šíma, David Schneider,2015/2016,1,25,85
5,139413,2,11:31,PP, Jan Vršek, Jiří Neradil,2015/2016,11,31,691
6,139413,3,03:59,-, David Schneider, Jakub Šíma,2015/2016,3,59,239
7,139413,3,05:24,-, Jan Vršek, David Schneider,2015/2016,5,24,324
8,139413,3,07:28,-, Jakub Neradil, Jakub Šíma,2015/2016,7,28,448
9,139413,3,11:15,-, Jiří Neradil, Jakub Šíma,2015/2016,11,15,675
0,139432,1,01:51,-, Jakub Kaštánek, Tomáš Koudelka,2015/2016,1,51,111
1,139432,1,03:36,-, Daniel Štráchal, Martin Chýle,2015/2016,3,36,216
2,139432,1,03:57,-, Petr Chýle, Tomáš Svoboda,2015/2016,3,57,237
3,139432,1,05:30,-, Petr Chýle, Martin Hanek,2015/2016,5,30,330
4,139432,1,06:52,-, Petr Chýle, Martin Chýle,2015/2016,6,52,412
5,139432,2,00:29,-, Jakub Kaštánek, Tomáš Koudelka,2015/2016,0,29,29
6,139432,2,02:57,-, Tomáš Svoboda, Tomáš Charvát,2015/2016,2,57,177
7,139432,2,07:48,-, Martin Chýle, Martin Hanek,2015/2016,7,48,468
8,139432,3,03:12,-, Martin Chýle, Petr Chýle,2015/2016,3,12,192
9,139432,3,05:53,-, Martin Chýle, Petr Chýle,2015/2016,5,53,353
10,139432,3,08:44,-, Daniel Štráchal, Petr Chýle,2015/2016,8,44,524
11,139432,3,09:47,-, Martin Chýle, Jakub Hokr,2015/2016,9,47,587
0,142369,2,02:08,-, Zbyněk Prokšan, Michal Nechanický,2015/2016,2,8,128
1,142369,2,02:14,-, Patrik Mesiereur, Marek Kolařík,2015/2016,2,14,134
2,142369,2,02:23,-, Patrik Mesiereur, Adam Kronberger,2015/2016,2,23,143
3,142369,2,06:18,-, Zbyněk Prokšan, Bohuslav Novák,2015/2016,6,18,378
4,142369,2,08:42,-, Bohuslav Novák, Milan Vřešťál,2015/2016,8,42,522
5,142369,2,09:18,-, Zbyněk Prokšan, Bohuslav Novák,2015/2016,9,18,558
6,142369,3,07:46,-, Michal Nechanický, Zbyněk Prokšan,2015/2016,7,46,466
7,142369,3,08:13,-, Matěj Soukup, Bohuslav Novák,2015/2016,8,13,493
8,142369,3,10:34,-, Zbyněk Prokšan, Michal Nechanický,2015/2016,10,34,634
