,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
0,132643,3,11:43,-, Tomáš Weisser, Martin Bukovič,2015/2016,11,43,703
0,132644,1,07:33,-, Jakub Hruška, Kryštof Hoch,2015/2016,7,33,453
1,132644,2,01:45,-, Mikuláš Vyleta, Jiří Kvasnička,2015/2016,1,45,105
2,132644,2,02:11,-, Filip Terč, Martin Bukovič,2015/2016,2,11,131
0,133941,1,03:54,-, Tomáš Weisser, Jiří Kvasnička,2015/2016,3,54,234
1,133941,2,02:27,-, Jakub Hruška, Kryštof Hoch,2015/2016,2,27,147
2,133941,2,05:36,-, Tomáš Weisser, Ondřej Zeman,2015/2016,5,36,336
3,133941,2,08:09,-, Vojtěch Brávek, Jakub Klement,2015/2016,8,9,489
4,133941,3,04:46,PP, Filip Terč, Kryštof Hoch,2015/2016,4,46,286
5,133941,3,08:53,PP, Jakub Hruška, Vojtěch Brávek,2015/2016,8,53,533
0,133943,1,00:53,PS, Jakub Klement,,2015/2016,0,53,53
1,133943,1,03:17,-, Ondřej Zeman, Antonio Rotondo,2015/2016,3,17,197
2,133943,2,05:28,-, Jakub Hruška, Vojtěch Brávek,2015/2016,5,28,328
3,133943,3,04:52,-, Mikuláš Vyleta, Vojtěch Brávek,2015/2016,4,52,292
0,136045,1,07:52,PS, Jakub Klement,,2015/2016,7,52,472
1,136045,3,06:33,-, Kryštof Hoch, Mikuláš Vyleta,2015/2016,6,33,393
0,136061,3,10:57,-, Kryštof Hoch, Jakub Klement,2015/2016,10,57,657
0,138158,1,07:42,-, Vojtěch Brávek,,2015/2016,7,42,462
1,138158,1,09:07,-, Jakub Klement, Kryštof Hoch,2015/2016,9,7,547
2,138158,2,06:37,PS, Jakub Klement,,2015/2016,6,37,397
3,138158,2,07:16,-, Ondřej Zeman, Jakub Hruška,2015/2016,7,16,436
4,138158,3,03:27,-, Jakub Hruška, Filip Terč,2015/2016,3,27,207
0,138161,1,11:20,-, Jakub Klement, Jakub Hruška,2015/2016,11,20,680
1,138161,2,02:13,-, Vojtěch Brávek, Kryštof Hoch,2015/2016,2,13,133
2,138161,2,09:40,-, Ondřej Zeman, Vojtěch Brávek,2015/2016,9,40,580
3,138161,3,05:11,-, Jakub Hruška, Jakub Klement,2015/2016,5,11,311
4,138161,3,06:14,-, Jakub Klement, Kryštof Hoch,2015/2016,6,14,374
0,139413,2,04:42,-, Kryštof Hoch, Mikuláš Vyleta,2015/2016,4,42,282
1,139413,2,08:32,-, Jakub Hruška, Mikuláš Vyleta,2015/2016,8,32,512
2,139413,2,08:58,-, Štěpán Kalina, Jakub Hruška,2015/2016,8,58,538
3,139413,3,04:14,-, Ondřej Zeman, Jakub Hruška,2015/2016,4,14,254
0,139432,1,08:24,-, Jakub Hruška, Jakub Klement,2015/2016,8,24,504
1,139432,1,09:09,-, Štěpán Kalina,,2015/2016,9,9,549
2,139432,2,03:07,PS, Jakub Klement,,2015/2016,3,7,187
3,139432,2,09:07,-, Tomáš Weisser,,2015/2016,9,7,547
4,139432,2,11:15,-, Jakub Hruška, Jakub Klement,2015/2016,11,15,675
5,139432,3,00:22,-, Štěpán Kalina,,2015/2016,0,22,22
6,139432,3,03:17,-, Jakub Hruška, Jakub Klement,2015/2016,3,17,197
7,139432,3,03:31,-, Jakub Hruška,,2015/2016,3,31,211
8,139432,3,05:17,-, Jakub Hruška, Mikuláš Vyleta,2015/2016,5,17,317
0,142369,2,05:11,-, Michal Šíma, Kryštof Hoch,2015/2016,5,11,311
1,142369,3,01:43,-, Ondřej Zeman, Jakub Klement,2015/2016,1,43,103
2,142369,3,01:49,-, Tomáš Weisser, Kryštof Hoch,2015/2016,1,49,109
3,142369,3,10:08,-, Kryštof Hoch, Tomáš Weisser,2015/2016,10,8,608
0,142372,1,09:08,-, Jakub Klement, Tomáš Weisser,2015/2016,9,8,548
1,142372,2,06:39,-, Michal Šíma, Martin Bukovič,2015/2016,6,39,399
2,142372,3,06:00,-, Ondřej Zeman, Jakub Klement,2015/2016,6,0,360
3,142372,3,11:04,-, Martin Bukovič, Kryštof Hoch,2015/2016,11,4,664
4,142372,3,11:46,-, Jakub Hruška,,2015/2016,11,46,706
0,144132,2,11:34,-, Ondřej Zeman, Martin Bukovič,2015/2016,11,34,694
1,144132,3,01:56,-, Martin Bukovič, Ondřej Zeman,2015/2016,1,56,116
0,144134,1,02:52,-, Ondřej Zeman, Jakub Hruška,2015/2016,2,52,172
1,144134,1,11:10,OG, Dominik Hlaváček,,2015/2016,11,10,670
2,144134,3,10:29,-, Michal Šíma, Martin Bukovič,2015/2016,10,29,629
0,145416,1,09:20,-, Jakub Klement, Ondřej Zeman,2015/2016,9,20,560
1,145416,2,10:44,-, Jakub Klement, Daniel Klugar,2015/2016,10,44,644
2,145416,3,11:20,-, Stanislav Kodet, Daniel Klugar,2015/2016,11,20,680
0,145419,1,05:10,-, Ondřej Zeman,,2015/2016,5,10,310
1,145419,1,11:59,-, Tomáš Weisser,,2015/2016,11,59,719
2,145419,2,01:50,-, Tomáš Weisser, Max Horn,2015/2016,1,50,110
0,148808,1,03:32,-, Mikuláš Vyleta, Kryštof Hoch,2015/2016,3,32,212
1,148808,1,04:36,-, Ondřej Zeman, Jakub Hruška,2015/2016,4,36,276
2,148808,2,09:41,PP, Mikuláš Vyleta, Kryštof Hoch,2015/2016,9,41,581
3,148808,3,03:06,-, Jakub Klement, Kryštof Hoch,2015/2016,3,6,186
4,148808,3,03:23,-, Jakub Hruška, Ondřej Zeman,2015/2016,3,23,203
5,148808,3,09:41,-, Štěpán Kalina, Mikuláš Vyleta,2015/2016,9,41,581
0,148818,1,07:31,-, Jakub Klement,,2015/2016,7,31,451
1,148818,1,11:43,-, Jakub Hruška, Jakub Klement,2015/2016,11,43,703
2,148818,3,05:02,-, Jakub Hruška,,2015/2016,5,2,302
3,148818,3,08:30,-, Štěpán Kalina, Max Horn,2015/2016,8,30,510
4,148818,3,10:38,-, Mikuláš Vyleta, Bohumil Holada,2015/2016,10,38,638
5,148818,3,11:53,-, Martin Bukovič, Antonio Rotondo,2015/2016,11,53,713
0,151296,1,07:06,-, Ondřej Zeman, Kryštof Hoch,2015/2016,7,6,426
1,151296,3,09:13,PS, Jakub Klement,,2015/2016,9,13,553
0,151313,1,03:21,-, Kryštof Hoch, Ondřej Zeman,2015/2016,3,21,201
1,151313,1,05:32,-, Jakub Hruška, Jakub Klement,2015/2016,5,32,332
2,151313,1,06:49,-, Ondřej Zeman, Jakub Hruška,2015/2016,6,49,409
3,151313,2,01:45,-, Vojtěch Brávek, Michal Šíma,2015/2016,1,45,105
4,151313,2,07:23,-, Jakub Klement, Ondřej Zeman,2015/2016,7,23,443
5,151313,3,01:06,-, Jakub Klement, Ondřej Zeman,2015/2016,1,6,66
0,153302,3,01:26,-, Daniel Klugar, Ondřej Zeman,2015/2016,1,26,86
1,153302,3,09:01,-, Tomáš Weisser,,2015/2016,9,1,541
2,153302,3,10:28,-, Ondřej Zeman, Jakub Hruška,2015/2016,10,28,628
0,153426,1,00:53,OG, Petr Kohout,,2015/2016,0,53,53
