,Id,Period,Time,Player,TM,Foul,Season
0,132643,1. část,08:56, Jiří Kvasnička,2,907 nedovolené vrážení,2015/2016
0,133943,1. část,11:38, Jakub Hruška,2,922 špatné střídání,2015/2016
0,138158,1. část,06:40, Jakub Hruška,2,902 blokování hokejky,2015/2016
0,139413,2. část,09:57, Jakub Klement,2,901 sekání,2015/2016
0,144132,1. část,11:19, Jakub Klement,2,901 sekání,2015/2016
1,144132,3. část,06:24, Antonio Rotondo,2,902 blokování hokejky,2015/2016
2,144132,3. část,07:42, Jakub Hruška,2,926 hra bez hokejky,2015/2016
0,144134,2. část,00:34, Michal Šíma,2,901 sekání,2015/2016
1,144134,2. část,01:22, Stanislav Kodet,2,920 hra rukou,2015/2016
2,144134,2. část,05:26, Jakub Klement,2,901 sekání,2015/2016
3,144134,3. část,05:07, Martin Bukovič,2,902 blokování hokejky,2015/2016
0,148808,3. část,07:34, Antonio Rotondo,2,902 blokování hokejky,2015/2016
0,148818,1. část,08:35, Martin Bukovič,2,920 hra rukou,2015/2016
0,151296,1. část,08:49, Jakub Klement,2,901 sekání,2015/2016
1,151296,1. část,11:51, Antonio Rotondo,2,920 hra rukou,2015/2016
2,151296,3. část,06:27, Filip Terč,2,921 hra hlavou,2015/2016
0,155310,3. část,05:58, Kryštof Hoch,2,919 hra na zemi,2015/2016
0,155930,2. část,00:57, Jakub Hruška,2,904 vysoká hokejka,2015/2016
1,155930,3. část,02:30, Filip Terč,2,922 špatné střídání,2015/2016
0,158160,3. část,01:33, Vojtěch Brávek,2,926 hra bez hokejky,2016/2017
0,160696,3. část,06:20, Jakub Hruška,2,925 nesportovní chování,2016/2017
0,167687,2. část,00:45, Jakub Klement,2,911 bránění ve hře,2016/2017
0,167690,3. část,04:33, Ondřej Zeman,2,911 bránění ve hře,2016/2017
0,170888,2. část,07:18, Vojtěch Brávek,2,911 bránění ve hře,2016/2017
0,170890,1. část,10:27, Vojtěch Brávek,2,902 blokování hokejky,2016/2017
1,170890,3. část,11:48, Kryštof Hoch,5,909 hrubost,2016/2017
0,174037,2. část,08:41, Filip Terč,2,911 bránění ve hře,2016/2017
0,177651,2. část,11:20, Jakub Klement,2,904 vysoká hokejka,2016/2017
0,181139,3. část,06:41, Vojtěch Brávek,2,902 blokování hokejky,2016/2017
0,184419,2. část,11:31, Ondřej Zeman,2,902 blokování hokejky,2016/2017
0,186566,1. část,06:05, Jakub Rejf,2,901 sekání,2016/2017
1,186566,3. část,08:28, Kryštof Hoch,2,914 hra v malém brankovišti,2016/2017
0,186570,2. část,02:03, Jakub Hruška,2,901 sekání,2016/2017
0,188617,3. část,05:12, Michal Šíma,2,902 blokování hokejky,2017/2018
0,190306,2. část,01:18, Daniel Klugar,2,901 sekání,2017/2018
1,190306,3. část,05:41, Jakub Klement,2,911 bránění ve hře,2017/2018
0,202065,1. část,06:57, Stanislav Kodet,2,916 hra ve výskoku,2017/2018
1,202065,2. část,02:34, Kryštof Hoch,2,907 nedovolené vrážení,2017/2018
2,202065,2. část,10:22, Mikuláš Vyleta,2,901 sekání,2017/2018
3,202065,3. část,02:07, Filip Terč,2,920 hra rukou,2017/2018
0,206061,2. část,09:57, Ondřej Zeman,2,919 hra na zemi,2017/2018
1,206061,3. část,03:20, Vojtěch Brávek,2,907 nedovolené vrážení,2017/2018
0,211408,1. část,09:58, Michal Šíma,2,901 sekání,2017/2018
0,211427,2. část,05:50, Kryštof Hoch,2,901 sekání,2017/2018
1,211427,2. část,10:03, Mikuláš Vyleta,2,901 sekání,2017/2018
0,214987,2. část,10:06, Jaroslav Soldán,2,902 blokování hokejky,2017/2018
1,214987,3. část,00:51, Vojtěch Brávek,2,922 špatné střídání,2017/2018
0,217306,3. část,04:31, Stanislav Kodet,2,911 bránění ve hře,2017/2018
0,222086,3. část,07:09, Michal Šíma,2,902 blokování hokejky,2018/2019
0,225356,2. část,00:00, Jakub Hruška,2,915 nedovolená vzdálenost,2018/2019
1,225356,3. část,11:04, Michal Šíma,2,909 hrubost,2018/2019
0,229020,2. část,00:11, Jakub Klement,2,911 bránění ve hře,2018/2019
