,Id,Player,G,A,PTS,Season,Team_against,Team_for,Hattrick,Date,League
0,132643, Nicholas McLean ,0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
1,132643, Stanislav Kodet ,0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
2,132643, Tomáš Weisser ,1,0,1,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
3,132643, Martin Bukovič ,0,1,1,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
4,132643, Jakub Klement ,0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
5,132643, Filip Terč ,0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
6,132643, Vojtěch Brávek ,0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
7,132643, Mikuláš Vyleta ,0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
8,132643, Jakub Hruška ,0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
9,132643, Antonio Rotondo ,0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
10,132643, Jiří Kvasnička ,0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
11,132643, Kryštof Hoch ,0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
12,132643, Ondřej Zeman ,0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
13,132644, Nicholas McLean ,0,0,0,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
14,132644, Stanislav Kodet ,0,0,0,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha,0,17.10.2015, PH+SČ třída mužů
