,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season,Date,Place,Weekday,ref1,ref2,League
0,2415,FBC Ressler boys,FC Bourbon SK Praha 4 B,1,3,Lose,sobota 27.09.2008; ČVUT Pod Juliskou,počet diváků: 0,začátek 10:20; konec ,Utkání: 3XM72008/2009-C003; 1. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                 Pavel Maršík,              Jan Volf,              Jan Volf,2008/2009,27.09.2008, ČVUT Pod Juliskou,sobota, , , PH+SČ soutěž mužů
1,2420,FBC Ressler boys,Game Over Praha,7,6,Win,sobota 27.09.2008; ČVUT Pod Juliskou,počet diváků: 0,začátek 16:10; konec ,Utkání: 3XM72008/2009-C008; 2. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                  Roman Žampach,                Filip Rubeš,                  Roman Žampach,2008/2009,27.09.2008, ČVUT Pod Juliskou,sobota, , , PH+SČ soutěž mužů
2,3413,FBC Ressler boys,FKMP Praha,0,8,Lose,neděle 12.10.2008; SH Čakovice,počet diváků: 0,začátek 12:40; konec ,Utkání: 3XM72008/2009-C014; 3. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                 Jan Klozar  Pavel Švarc,                 Jan Klozar  Pavel Švarc,2008/2009,12.10.2008, SH Čakovice,neděle, , , PH+SČ soutěž mužů
3,3419,FBC Ressler boys,FbC Engineers,2,2,Draw,neděle 12.10.2008; SH Čakovice,počet diváků: 0,začátek 09:10; konec ,Utkání: 3XM72008/2009-C020; 4. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                  Jiří Chrobok,                  Jiří Chrobok,2008/2009,12.10.2008, SH Čakovice,neděle, , , PH+SČ soutěž mužů
4,3450,FBC Ressler boys,SK B.U.H. Praha B,2,7,Lose,sobota 01.11.2008; TJ Sokol Kobylisy,počet diváků: 0,začátek 15:00; konec ,Utkání: 3XM72008/2009-C025; 5. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []",                Jan Sládek,                Jan Sládek,2008/2009,01.11.2008, TJ Sokol Kobylisy,sobota, , , PH+SČ soutěž mužů
5,3448,FBC Ressler boys,Floorball Club Falcon,1,5,Lose,sobota 01.11.2008; TJ Sokol Kobylisy,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72008/2009-C029; 6. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,               Jakub Mádr,                 Tomáš Hodek,                 Tomáš Hodek,2008/2009,01.11.2008, TJ Sokol Kobylisy,sobota, , , PH+SČ soutěž mužů
6,6029,FBC Ressler boys,FBC Kralupy n/V B,5,1,Win,neděle 23.11.2008; SH Stochov,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72008/2009-C035; 7. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                    Václav Rides   Adam Bardún,                   Ondřej Materna,                    Václav Rides   Adam Bardún,2008/2009,23.11.2008, SH Stochov,neděle, , , PH+SČ soutěž mužů
7,6025,FBC Ressler boys,FC Bílé Hole,4,0,Win,neděle 23.11.2008; SH Stochov,počet diváků: 0,začátek 18:30; konec ,Utkání: 3XM72008/2009-C039; 8. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                  Václav Rides,"Empty DataFrame
Columns: [Player]
Index: []",                  Václav Rides,2008/2009,23.11.2008, SH Stochov,neděle, , , PH+SČ soutěž mužů
8,6182,FBC Ressler boys,FbK Atom Praha RKČ ,1,4,Lose,sobota 20.12.2008; SH Kralupy nad Vltavou,počet diváků: 0,začátek 18:30; konec ,Utkání: 3XM72008/2009-C047; 10. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                  Václav Rides,                   Pavel Pokorný,                   Pavel Pokorný,2008/2009,20.12.2008, SH Kralupy nad Vltavou,sobota, , , PH+SČ soutěž mužů
9,6472,FBC Ressler boys,TBC Horoměřice B,3,4,Lose,neděle 11.01.2009; SH Neratovice,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72008/2009-C054; 11. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                 Pavel Maršík,                  Libor Koubek,                  Libor Koubek,2008/2009,11.01.2009, SH Neratovice,neděle, , , PH+SČ soutěž mužů
10,6470,FBC Ressler boys,FC Bourbon SK Praha 4 B,1,2,Lose,neděle 11.01.2009; SH Neratovice,počet diváků: 0,začátek 17:20; konec ,Utkání: 3XM72008/2009-C058; 12. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                  Ladislav Tyll,                   Martin Švehla,                   Martin Švehla,2008/2009,11.01.2009, SH Neratovice,neděle, , , PH+SČ soutěž mužů
11,456,FBC Ressler boys,Game Over Praha,3,4,Lose,sobota 07.02.2009; Hamr Braník,počet diváků: 0,začátek 12:40; konec ,Utkání: 3XM72008/2009-C063; 13. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                 Pavel Maršík,                 Lukáš Rubeš,                 Lukáš Rubeš,2008/2009,07.02.2009, Hamr Braník,sobota, , , PH+SČ soutěž mužů
12,8515,FBC Ressler boys,FKMP Praha,1,1,Draw,sobota 07.02.2009; Hamr Braník,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72008/2009-C069; 14. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                  Ladislav Tyll,                    Filip Červený,"Empty DataFrame
Columns: [Player]
Index: []",2008/2009,07.02.2009, Hamr Braník,sobota, , , PH+SČ soutěž mužů
13,9641,FBC Ressler boys,FbC Engineers,1,1,Draw,sobota 28.02.2009; SH Štěrboholy,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72008/2009-C071; 15. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                  Petr Škaloud,                 Jan Slavíček,"Empty DataFrame
Columns: [Player]
Index: []",2008/2009,28.02.2009, SH Štěrboholy,sobota, , , PH+SČ soutěž mužů
14,9636,FBC Ressler boys,SK B.U.H. Praha B,0,3,Lose,sobota 28.02.2009; SH Štěrboholy,počet diváků: 0,začátek 13:50; konec ,Utkání: 3XM72008/2009-C076; 16. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []","Empty DataFrame
Columns: [Player]
Index: []",2008/2009,28.02.2009, SH Štěrboholy,sobota, , , PH+SČ soutěž mužů
15,10203,FBC Ressler boys,Floorball Club Falcon,4,3,Win,sobota 21.03.2009; SH Děkanka,počet diváků: 0,začátek 11:30; konec ,Utkání: 3XM72008/2009-C083; 17. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                 Adam Bardún,                Jakub Ších,                  Jakub Ších  Adam Bardún,2008/2009,21.03.2009, SH Děkanka,sobota, , , PH+SČ soutěž mužů
16,10206,FBC Ressler boys,FBC Kralupy n/V B,4,4,Draw,sobota 21.03.2009; SH Děkanka,počet diváků: 0,začátek 08:00; konec ,Utkání: 3XM72008/2009-C090; 18. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                  Václav Rides,                  Petr Vrchota,                  Václav Rides,2008/2009,21.03.2009, SH Děkanka,sobota, , , PH+SČ soutěž mužů
17,12532,FBC Ressler boys,FC Bílé Hole,8,3,Win,neděle 19.04.2009; SH Stochov,počet diváků: 0,začátek 18:30; konec ,Utkání: 3XM72008/2009-C095; 19. kolo; PH+SČ soutěž mužů,"části: - : -, - : -, - : -, střely na branku: 0:0","rozhodčí: , ",delegát: ,                 Pavel Maršík,                 Petr Altman,                 Pavel Maršík,2008/2009,19.04.2009, SH Stochov,neděle, , , PH+SČ soutěž mužů
