,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
0,2415,2,12:01,-, Dušan Pavlík,,2008/2009,12,1,721
1,2415,3,02:11,-, Vladimír Ouřada, Jan Volf,2008/2009,2,11,131
2,2415,3,12:29,-, Jan Volf, Jiří Dohnal,2008/2009,12,29,749
0,2420,1,01:23,-, Filip Rubeš, Petr Machovec,2008/2009,1,23,83
1,2420,1,07:50,-, Martin Svítil, Lukáš Rubeš,2008/2009,7,50,470
2,2420,2,04:21,-, Filip Rubeš,,2008/2009,4,21,261
3,2420,2,11:48,-, Martin Štamfest, Petr Machovec,2008/2009,11,48,708
4,2420,2,12:16,-, Martin Štamfest, Martin Svítil,2008/2009,12,16,736
5,2420,3,04:18,-, Petr Machovec, Filip Rubeš,2008/2009,4,18,258
0,3413,1,04:45,-, Jan Klozar, Daniel Švarc,2008/2009,4,45,285
1,3413,1,05:23,-, Martin Rejmiš, Filip Červený,2008/2009,5,23,323
2,3413,1,11:43,-, Miroslav Veselík, Martin Rejmiš,2008/2009,11,43,703
3,3413,1,13:04,-, Filip Červený, Pavel Švarc,2008/2009,13,4,784
4,3413,1,14:36,-, Jan Klozar, Martin Luhan,2008/2009,14,36,876
5,3413,2,04:18,-, Pavel Švarc, Martin Rejmiš,2008/2009,4,18,258
6,3413,3,09:30,-, Pavel Švarc, Filip Červený,2008/2009,9,30,570
7,3413,3,14:49,-, Daniel Švarc, Jan Klozar,2008/2009,14,49,889
0,3419,3,00:49,-, Jiří Chrobok,,2008/2009,0,49,49
1,3419,3,06:07,-, Jiří Chrobok, Ladislav Peleška,2008/2009,6,7,367
0,3450,1,07:14,-, Filip Bollardt, Jan Sládek,2008/2009,7,14,434
1,3450,2,04:58,-, Antonín Kroupa, Jan Sládek,2008/2009,4,58,298
2,3450,3,03:40,-, Petr Kleprlík, Ondřej Polák,2008/2009,3,40,220
3,3450,3,05:39,-, Filip Bollardt, Jan Sládek,2008/2009,5,39,339
4,3450,3,10:11,-, Luděk Kleprlík, Michal Muravský,2008/2009,10,11,611
5,3450,3,12:48,-, Michal Muravský, Michael Knittl,2008/2009,12,48,768
6,3450,3,13:59,-, Tomáš Zicha, Jan Sládek,2008/2009,13,59,839
0,3448,2,02:14,-, Adam Šumelda, Michal Ždímal,2008/2009,2,14,134
1,3448,2,06:51,SH, Tomáš Hodek,,2008/2009,6,51,411
2,3448,2,09:39,-, Jakub Ších, Vojtěch Machačka,2008/2009,9,39,579
3,3448,3,06:29,-, Tomáš Hodek, Ivan Šumelda,2008/2009,6,29,389
4,3448,3,08:09,-, Miroslav Václavík,,2008/2009,8,9,489
0,6029,2,00:36,-, Ondřej Materna, Marek Kuneš,2008/2009,0,36,36
0,6182,1,09:35,-, Roman Arnošt, Jan Škoda,2008/2009,9,35,575
1,6182,1,13:33,-, Pavel Pokorný, Jaroslav Pokorný,2008/2009,13,33,813
2,6182,2,08:19,-, Petr Haspeklo, Jan Škoda,2008/2009,8,19,499
3,6182,3,14:59,-, Pavel Pokorný, Roman Arnošt,2008/2009,14,59,899
0,6472,2,01:42,-, Tomáš Kameník, Libor Koubek,2008/2009,1,42,102
1,6472,2,08:14,-, Libor Koubek,,2008/2009,8,14,494
2,6472,3,08:16,-, David Karel, Jan Hloušek,2008/2009,8,16,496
3,6472,3,14:19,-, Marek Šafařík, Libor Koubek,2008/2009,14,19,859
0,6470,1,05:12,-, Martin Švehla, Karel Kocián,2008/2009,5,12,312
1,6470,2,01:33,-, Martin Švehla, Jan Maťátko,2008/2009,1,33,93
0,456,2,00:53,-, Lukáš Rubeš, Filip Rubeš,2008/2009,0,53,53
1,456,2,12:02,-, Filip Rubeš, Lukáš Rubeš,2008/2009,12,2,722
2,456,3,03:52,-, Aleš Holinský, Martin Řepka,2008/2009,3,52,232
3,456,3,03:56,-, Martin Řepka, Lukáš Rubeš,2008/2009,3,56,236
0,8515,1,07:38,-, Filip Červený, Martin Rejmiš,2008/2009,7,38,458
0,9641,3,02:05,-, Jan Slavíček,,2008/2009,2,5,125
0,9636,1,12:51,-, Daniel Veselý,,2008/2009,12,51,771
1,9636,2,05:14,-, David Šrámek,,2008/2009,5,14,314
2,9636,3,14:58,-, Petr Kleprlík, Michal Vrňák,2008/2009,14,58,898
0,10203,1,01:47,-, Michal Ždímal, Jakub Ších,2008/2009,1,47,107
1,10203,2,11:17,-, Jakub Ších, Prokop Váňa,2008/2009,11,17,677
2,10203,3,13:26,PP, Tomáš Hodek, Tomáš Kopejsko,2008/2009,13,26,806
0,10206,1,10:03,-, Petr Vrchota, Vladimír Provazník,2008/2009,10,3,603
1,10206,3,07:17,-, Eduard Frey, Petr Vrchota,2008/2009,7,17,437
