,Id,Period,Time,Player,TM,Foul,Season
0,2415,1. část,08:47, Pavel Maršík,2,901 sekání,2008/2009
0,6470,2. část,07:41, Jakub Nováček,2,904 vysoká hokejka,2008/2009
0,456,1. část,04:59, Václav Rides,2,925 nesportovní chování,2008/2009
0,8515,3. část,14:23, Adam Bardún,2,919 hra na zemi,2008/2009
0,9641,2. část,13:03, Ladislav Tyll,2,924 zdržování hry,2008/2009
0,10203,2. část,13:49, Pavel Maršík,2,901 sekání,2008/2009
1,10203,3. část,11:47, Jakub Nováček,2,915 nedovolená vzdálenost,2008/2009
0,10206,3. část,08:19, Roman Žampach,2,921 hra hlavou,2008/2009
1,10206,3. část,14:49, Roman Žampach,2,925 nesportovní chování,2008/2009
0,12900,2. část,03:38, Petr Škaloud,2,923 opakované přestupky,2008/2009
0,12904,2. část,13:28, Zdeněk Máčel,2,901 sekání,2008/2009
1,12904,3. část,14:41, Václav Rides,2,925 nesportovní chování,2008/2009
2,12904,3. část,14:53, Václav Rides,2,925 nesportovní chování,2008/2009
0,14226,3. část,07:15, Zdeněk Karásek,2,925 nesportovní chování,2009/2010
0,15977,3. část,06:38, Ladislav Tyll,2,901 sekání,2009/2010
0,15986,1. část,11:24, Milan Balzer,2,902 blokování hokejky,2009/2010
1,15986,2. část,05:15, Roman Žampach,2,925 nesportovní chování,2009/2010
2,15986,3. část,08:30, Milan Balzer,2,925 nesportovní chování,2009/2010
3,15986,3. část,10:48, Roman Žampach,2,925 nesportovní chování,2009/2010
0,17158,2. část,07:53, Jakub Mádr,2,901 sekání,2009/2010
1,17158,3. část,09:06, Václav Rides,2,923 opakované přestupky,2009/2010
0,18389,2. část,08:17, Zdeněk Máčel,2,915 nedovolená vzdálenost,2009/2010
0,19348,2. část,10:32, Miloš Zapadlo,2,907 nedovolené vrážení,2009/2010
1,19348,3. část,02:24, Václav Rides,2,901 sekání,2009/2010
2,19348,3. část,10:47, Filip Weber,2,901 sekání,2009/2010
0,21084,1. část,06:03, Miloš Zapadlo,2,904 vysoká hokejka,2009/2010
0,21821,1. část,10:13, Filip Weber,2,919 hra na zemi,2009/2010
1,21821,2. část,07:44, Ladislav Tyll,2,915 nedovolená vzdálenost,2009/2010
0,24754,1. část,01:48, Martin Elišák,2,901 sekání,2009/2010
1,24754,3. část,02:27, Martin Elišák,2,909 hrubost,2009/2010
0,25950,1. část,01:05, Jakub Mádr,2,902 blokování hokejky,2009/2010
1,25950,2. část,07:52, Filip Weber,2,901 sekání,2009/2010
2,25950,3. část,11:53, Ladislav Tyll,2,907 nedovolené vrážení,2009/2010
0,27336,3. část,10:39, Ladislav Tyll,2,915 nedovolená vzdálenost,2009/2010
0,29252,1. část,04:36, Zdeněk Máčel,2,923 opakované přestupky,2010/2011
1,29252,2. část,04:03, Martin Elišák,2,901 sekání,2010/2011
2,29252,3. část,06:55, Ctibor Chmelař,2,901 sekání,2010/2011
