,Id,GK,Shots,Goals,Touches,Success%,Minutes,Season
0,220771,94 Jiří Fuksa,0,3,-3,0,36:00,2018/2019
0,221367,55 Michal Kolář,0,0,0,0,36:00,2018/2019
0,223045,1 Daniel Dohnal,0,4,-4,0,36:00,2018/2019
0,223041,69 Aleš Vambera,0,8,-8,0,36:00,2018/2019
1,223041,1 Jakub Strnad,0,0,0,0,00:00,2018/2019
0,225298,1 Martin Sluka,0,6,-6,0,36:00,2018/2019
0,225293,96 Marek Ševčík,0,6,-6,0,36:00,2018/2019
1,225293,29 Miroslav Mynář,0,0,0,0,00:00,2018/2019
0,229876,1 Jiří Srba,0,3,-3,0,36:00,2018/2019
0,229873,1 Tomáš Krijt,0,3,-3,0,36:00,2018/2019
0,232664,22 Marek Černý,0,12,-12,0,36:00,2018/2019
0,232662,81 Tomáš Koval,0,2,-2,0,36:00,2018/2019
1,232662,29 Miroslav Mynář,0,0,0,0,00:00,2018/2019
0,236944,1 David Štědrý,0,5,-5,0,36:00,2018/2019
0,236942,77 Filip Matějů,0,4,-4,0,36:00,2018/2019
0,239917,1 Václav Liebezeit,0,9,-9,0,36:00,2018/2019
0,239912,1 Jiří Srba,0,5,-5,0,36:00,2018/2019
0,242544,55 Michal Kolář,0,3,-3,0,00:00,2018/2019
0,242540,1 Tomáš Krijt,0,3,-3,0,12:00,2018/2019
1,242540,1 Tomáš Krijt,0,3,-3,0,12:00,2018/2019
2,242540,1 Tomáš Krijt,0,3,-3,0,12:00,2018/2019
0,244641,22 Marek Černý,0,10,-10,0,36:00,2018/2019
0,244484,2 Jan Manasterský,0,14,-14,0,36:00,2018/2019
0,245316,1 Martin Sluka,0,13,-13,0,36:00,2018/2019
0,247361,1 Václav Liebezeit,0,9,-9,0,36:00,2018/2019
0,249569,77 Filip Matějů,0,3,-3,0,36:00,2018/2019
0,249565,98 David Balla,0,6,-6,0,36:00,2018/2019
0,222364,3 Jiří Štégl,0,8,-8,0,36:00,2018/2019
0,251696,11 Jakub Strnad,0,5,-5,0,36:00,2018/2019
1,251696,69 Aleš Vambera,0,0,0,0,00:00,2018/2019
0,255299,1 Marek Škeřík,0,5,-5,0,36:00,2019/2020
0,255295,1 Jan Gierczynski,0,3,-3,0,36:00,2019/2020
0,257498,1 Daniel Urban,0,4,-4,0,36:00,2019/2020
0,257495,9 Miroslav Veselý,0,4,-4,0,36:00,2019/2020
0,260191,49 Filip Trousil,0,5,-5,0,36:00,2019/2020
0,260184,16 Ondřej Svoboda,0,7,-7,0,36:00,2019/2020
0,261992,72 Pavel Bartůněk,0,3,-3,0,36:00,2019/2020
0,266168,2 Michal Vyčichl,0,3,-3,0,36:00,2019/2020
0,266163,1 Ondřej Švanda,0,1,-1,0,36:00,2019/2020
0,271018,1 Marek Škeřík,0,3,-3,0,36:00,2019/2020
0,271013,1 Jan Gierczynski,0,1,-1,0,36:00,2019/2020
0,278196,9 Miroslav Veselý,0,3,-3,0,36:00,2019/2020
0,278193,1 Daniel Urban,0,3,-3,0,36:00,2019/2020
0,284100,4 Jan Gierczynski,0,2,-2,0,36:00,2020/2021
0,284104,77 Václav Liebezeit,0,6,-6,0,36:00,2020/2021
0,286056,34 Šimon Kalík,0,5,-5,0,36:00,2020/2021
0,286054,1 Lukáš Pechar,0,2,-2,0,36:00,2020/2021
0,290622,40 Michal Dostál,0,6,-6,0,36:00,2021/2022
0,291306,1 Miroslav Šteffl,0,4,-4,0,36:00,2021/2022
0,294684,33 Jan Majzner,0,4,-4,0,36:00,2021/2022
0,294688,1 Miroslav Šteffl,0,11,-11,0,36:00,2021/2022
0,295536,39 Michal Mrázek,0,3,-3,0,36:00,2021/2022
0,293079,1 Jakub Malý,0,3,-3,0,36:00,2021/2022
0,301969,1 Jiří Dobš,0,4,-4,0,36:00,2021/2022
0,301973,63 Kryštof Petr,0,2,-2,0,36:00,2021/2022
