,Id,Period,Time,Type,Goal,Assist,Season
0,220771,1. část,05:26,-,15 Tomáš Brabec,13 Pavel Šmatlák,2018/2019
1,220771,2. část,06:48,-,14 Ondřej Polínek,11 Ondřej Jilemnický,2018/2019
2,220771,3. část,02:54,-,7 Pavel Vanc,10 Jiří Chochola,2018/2019
3,220771,3. část,06:44,-,7 Pavel Vanc,11 Ondřej Jilemnický,2018/2019
0,221367,1. část,02:06,-,16 Vít Bohata,11 Tomáš Krejcárek,2018/2019
1,221367,1. část,05:05,-,3 Jakub Brajer,6 Vojtěch Kohout,2018/2019
2,221367,2. část,06:07,-,14 Michal Kolář,11 Tomáš Krejcárek,2018/2019
3,221367,3. část,07:27,-,18 Jakub Dragoun,13 Patrik Vršecký,2018/2019
4,221367,3. část,07:36,-,11 Tomáš Krejcárek,4 Lukáš Unger,2018/2019
0,223045,1. část,00:26,-,8 Štěpán Mach,69 Petr Matoušů,2018/2019
1,223045,1. část,01:14,OG,15 Jan Jiráň,,2018/2019
2,223045,2. část,00:33,-,41 Teodor Bodlák,51 František Štěpánek,2018/2019
3,223045,3. část,02:11,-,90 Tomáš Kašpar,69 Petr Matoušů,2018/2019
4,223045,3. část,04:58,-,41 Teodor Bodlák,30 David Sgall,2018/2019
5,223045,3. část,07:15,-,41 Teodor Bodlák,48 Jakub Wágner,2018/2019
0,223041,1. část,00:40,-,19 Šimon Todorov,68 Martin Koubík,2018/2019
1,223041,1. část,10:28,-,68 Martin Koubík,19 Šimon Todorov,2018/2019
2,223041,2. část,10:39,-,6 Miloslav Mattes,4 Vladimír Hlinka,2018/2019
3,223041,3. část,00:45,-,8 Emil Todorov,68 Martin Koubík,2018/2019
4,223041,3. část,10:38,-,14 Václav Hlinka,4 Vladimír Hlinka,2018/2019
5,223041,3. část,11:56,-,6 Miloslav Mattes,14 Václav Hlinka,2018/2019
6,223041,3. část,11:59,PS,19 Šimon Todorov,,2018/2019
0,225298,2. část,07:42,SH,15 Ondřej Kotal,62 Martin Houdek,2018/2019
1,225298,3. část,05:20,-,62 Martin Houdek,,2018/2019
0,225293,1. část,00:18,-,87 Daniel Alfery,11 Adam Volánek,2018/2019
1,225293,2. část,02:52,PP,11 Adam Volánek,93 Tomáš Kupec,2018/2019
2,225293,2. část,09:07,-,13 Vítek Popov,25 Jakub Šuťák,2018/2019
3,225293,3. část,04:54,-,87 Daniel Alfery,11 Adam Volánek,2018/2019
4,225293,3. část,10:12,-,33 Jan Handl,93 Tomáš Kupec,2018/2019
0,229876,1. část,07:10,-,18 Radek Brunner,24 Michal Šindelář,2018/2019
1,229876,1. část,09:18,-,18 Radek Brunner,55 Dalibor Pavlíček,2018/2019
2,229876,1. část,10:43,-,55 Dalibor Pavlíček,18 Radek Brunner,2018/2019
3,229876,2. část,01:20,-,18 Radek Brunner,,2018/2019
4,229876,2. část,10:53,-,8 Tomáš Rázga,4 Marek Ryba,2018/2019
