,Id,Period,Time,Player,TM,Foul,Season
0,220771,1. část,06:22,6 Michal Gajdušek,2,901 sekání,2018/2019
1,220771,2. část,04:17,13 Pavel Šmatlák,2,925 nesportovní chování,2018/2019
2,220771,3. část,04:32,4 Tomáš Kameník,2,907 nedovolené vrážení,2018/2019
0,221367,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,223045,3. část,09:02,8 Štěpán Mach,2,911 bránění ve hře,2018/2019
1,223045,3. část,10:27,51 František Štěpánek,2,903 nadzvedávání hokejky,2018/2019
0,223041,2. část,05:08,63 Karel Hlinka,2,907 nedovolené vrážení,2018/2019
1,223041,2. část,07:33,6 Miloslav Mattes,2,925 nesportovní chování,2018/2019
0,225298,2. část,06:12,23 Martin Hák,2,901 sekání,2018/2019
1,225298,3. část,02:54,31 Tomáš Vrabec,2,907 nedovolené vrážení,2018/2019
0,225293,2. část,05:00,15 Vojtěch Hecl,2,913 hra vysokou nohou,2018/2019
1,225293,2. část,05:54,11 Adam Volánek,2,901 sekání,2018/2019
0,229876,2. část,04:35,18 Radek Brunner,2,904 vysoká hokejka,2018/2019
0,229873,3. část,06:32,4 Filip Kolařík,2,909 hrubost,2018/2019
0,232664,1. část,06:22,73 Vít Matuška,2,915 nedovolená vzdálenost,2018/2019
1,232664,3. část,03:25,21 Jaroslav Rendla,2,902 blokování hokejky,2018/2019
0,232662,1. část,11:07,15 Vojtěch Hecl,2,911 bránění ve hře,2018/2019
1,232662,2. část,00:21,25 Jakub Šuťák,2,901 sekání,2018/2019
2,232662,2. část,07:16,15 Vojtěch Hecl,2,901 sekání,2018/2019
3,232662,3. část,02:00,3 Jiří Adam,2,915 nedovolená vzdálenost,2018/2019
0,236944,1. část,01:44,88 Josef Draštík,2,919 hra na zemi,2018/2019
1,236944,3. část,04:44,68 Viktor Čižmar,2,925 nesportovní chování,2018/2019
2,236944,3. část,04:44,68 Viktor Čižmar,,610 osobní trest,2018/2019
3,236944,3. část,08:38,3 Martin Kopecký,2,925 nesportovní chování,2018/2019
0,236942,1. část,10:15,99 Aleš Sedlák,2,901 sekání,2018/2019
0,239917,1. část,09:38,17 Stanislav Lepič,2,902 blokování hokejky,2018/2019
0,239912,1. část,08:30,23 Jan Rázga,2,901 sekání,2018/2019
