,Id,GK,Shots,Goals,Touches,Success%,Minutes,Season
0,220771,1 Filip Vala,0,4,-4,0,36:00,2018/2019
0,221367,1 Filip Vala,0,5,-5,0,36:00,2018/2019
0,223045,4 Petr Čermák,0,6,-6,0,36:00,2018/2019
0,223041,1 Jaroslav Drahotínský,0,7,-7,0,36:00,2018/2019
0,225298,1 Filip Vala,0,2,-2,0,36:00,2018/2019
0,225293,1 Filip Vala,0,5,-5,0,36:00,2018/2019
0,229876,1 Michael Kunc,0,7,-7,0,36:00,2018/2019
0,229873,1 Michael Kunc,0,1,-1,0,36:00,2018/2019
0,232664,1 Michael Kunc,0,8,-8,0,36:00,2018/2019
0,232662,1 Michael Kunc,0,6,-6,0,36:00,2018/2019
0,236944,1 Michael Kunc,0,3,-3,0,36:00,2018/2019
0,236942,1 Michael Kunc,0,2,-2,0,36:00,2018/2019
0,239917,1 Michael Kunc,0,7,-7,0,36:00,2018/2019
0,239912,1 Michael Kunc,0,6,-6,0,36:00,2018/2019
0,242544,1 Filip Vala,0,6,-6,0,00:00,2018/2019
0,242540,1 Filip Vala,0,4,-4,0,12:00,2018/2019
1,242540,1 Filip Vala,0,4,-4,0,12:00,2018/2019
2,242540,1 Filip Vala,0,4,-4,0,12:00,2018/2019
0,244641,1 Michael Kunc,0,7,-7,0,36:00,2018/2019
0,244484,1 Michael Kunc,0,2,-2,0,36:00,2018/2019
0,245316,1 Viliam Virba,0,1,-1,0,36:00,2018/2019
0,247361,1 Viliam Virba,0,1,-1,0,36:00,2018/2019
0,249569,1 Viliam Virba,0,2,-2,0,36:00,2018/2019
0,249565,1 Viliam Virba,0,3,-3,0,36:00,2018/2019
0,222364,1 Ondřej Podhůrský,0,3,-3,0,36:00,2018/2019
0,251696,1 Ondřej Podhůrský,0,2,-2,0,36:00,2018/2019
0,255299,1 Viliam Virba,0,0,0,0,36:00,2019/2020
0,255295,1 Viliam Virba,0,4,-4,0,36:00,2019/2020
0,257498,1 Viliam Virba,0,5,-5,0,35:23,2019/2020
1,257498,4 Petr Čermák,0,0,0,0,00:00,2019/2020
0,257495,4 Petr Čermák,0,0,0,0,36:00,2019/2020
1,257495,1 Viliam Virba,0,0,0,0,00:00,2019/2020
0,260191,1 Viliam Virba,0,2,-2,0,36:00,2019/2020
0,260184,1 Viliam Virba,0,6,-6,0,36:00,2019/2020
0,261992,1 David Hochman,0,1,-1,0,36:00,2019/2020
0,266168,1 Viliam Virba,0,4,-4,0,36:00,2019/2020
0,266163,1 Viliam Virba,0,4,-4,0,36:00,2019/2020
0,271018,1 Viliam Virba,0,2,-2,0,36:00,2019/2020
0,271013,1 Viliam Virba,0,6,-6,0,36:00,2019/2020
0,278196,1 Viliam Virba,0,2,-2,0,36:00,2019/2020
0,278193,1 Viliam Virba,0,9,-9,0,36:00,2019/2020
0,284100,1 Viliam Virba,0,6,-6,0,36:00,2020/2021
0,284104,1 Viliam Virba,0,4,-4,0,36:00,2020/2021
0,286056,1 Viliam Virba,0,2,-2,0,36:00,2020/2021
0,286054,1 Viliam Virba,0,4,-4,0,36:00,2020/2021
0,290622,1 Viliam Virba,0,1,-1,0,36:00,2021/2022
0,291306,1 Viliam Virba,0,2,-2,0,36:00,2021/2022
0,294684,1 Tomáš Virba,0,0,0,0,36:00,2021/2022
0,294688,1 Viliam Virba,0,4,-4,0,36:00,2021/2022
0,295536,1 Tomáš Virba,0,2,-2,0,36:00,2021/2022
0,293079,1 Viliam Virba,0,2,-2,0,36:00,2021/2022
0,301969,1 Viliam Virba,0,0,0,0,36:00,2021/2022
0,301973,1 Tomáš Virba,0,2,-2,0,36:00,2021/2022
