,Id,Period,Time,Player,TM,Foul,Season
0,220771,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,221367,3. část,01:07,11 Petr Sukalovský,2,924 zdržování hry,2018/2019
0,223045,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,223041,2. část,02:08,92 Jakub Vilim,2,901 sekání,2018/2019
0,225298,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,225293,1. část,07:42,81 Jakub Horyna,2,909 hrubost,2018/2019
1,225293,2. část,01:14,81 Jakub Horyna,2,904 vysoká hokejka,2018/2019
0,229876,3. část,03:55,81 Jakub Horyna,2,925 nesportovní chování,2018/2019
1,229876,3. část,03:55,81 Jakub Horyna,,610 osobní trest,2018/2019
2,229876,3. část,06:10,99 Petr Zahradník,2,922 špatné střídání,2018/2019
0,229873,2. část,11:29,15 Jan Jiráň,2,902 blokování hokejky,2018/2019
1,229873,3. část,10:36,5 Lucie Kisugite,2,901 sekání,2018/2019
0,232664,3. část,07:54,5 Lucie Kisugite,2,901 sekání,2018/2019
1,232664,3. část,09:59,17 Martin Fojtík,2,909 hrubost,2018/2019
2,232664,3. část,09:59,17 Martin Fojtík,2,901 sekání,2018/2019
3,232664,3. část,11:46,81 Jakub Horyna,2,904 vysoká hokejka,2018/2019
0,232662,1. část,06:22,30 Jan Šrámek,2,907 nedovolené vrážení,2018/2019
1,232662,1. část,09:11,5 Lucie Kisugite,2,901 sekání,2018/2019
2,232662,2. část,09:22,15 Jan Jiráň,2,901 sekání,2018/2019
3,232662,3. část,10:38,15 Jan Jiráň,2,909 hrubost,2018/2019
4,232662,3. část,11:39,3 Aleš Martínek,2,901 sekání,2018/2019
0,236944,1. část,09:20,99 Petr Zahradník,2,902 blokování hokejky,2018/2019
1,236944,2. část,09:35,15 Jan Jiráň,2,907 nedovolené vrážení,2018/2019
0,236942,2. část,02:00,15 Jan Jiráň,2,901 sekání,2018/2019
1,236942,2. část,08:45,15 Jan Jiráň,2,901 sekání,2018/2019
0,239917,1. část,01:48,3 Aleš Martínek,2,909 hrubost,2018/2019
1,239917,3. část,00:54,15 Jan Jiráň,2,901 sekání,2018/2019
2,239917,3. část,05:25,99 Petr Zahradník,2,909 hrubost,2018/2019
0,239912,2. část,02:40,3 Aleš Martínek,2,901 sekání,2018/2019
1,239912,3. část,10:37,5 Lucie Kisugite,2,922 špatné střídání,2018/2019
0,242544,1. část,11:17,15 Jan Jiráň,2,911 bránění ve hře,2018/2019
0,242540,3. část,05:15,15 Jan Jiráň,2,901 sekání,2018/2019
0,244641,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,244484,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,245316,1. část,05:21,42 Jan Novák,2,922 špatné střídání,2018/2019
1,245316,1. část,08:51,42 Jan Novák,2,902 blokování hokejky,2018/2019
0,247361,1. část,05:30,81 Jakub Horyna,2,901 sekání,2018/2019
0,249569,2. část,10:15,92 Jakub Vilim,2,901 sekání,2018/2019
1,249569,3. část,11:32,23 Martin Bosák,2,911 bránění ve hře,2018/2019
0,249565,2. část,06:04,81 Jakub Horyna,2,903 nadzvedávání hokejky,2018/2019
1,249565,2. část,09:12,92 Jakub Vilim,2,909 hrubost,2018/2019
2,249565,3. část,07:45,23 Martin Bosák,2,911 bránění ve hře,2018/2019
3,249565,3. část,09:58,81 Jakub Horyna,5,901 sekání,2018/2019
0,222364,2. část,07:40,23 Martin Bosák,2,901 sekání,2018/2019
1,222364,2. část,08:38,15 Jan Jiráň,2,901 sekání,2018/2019
2,222364,3. část,10:45,17 Martin Fojtík,2,909 hrubost,2018/2019
3,222364,3. část,11:22,15 Jan Jiráň,,614 vyloučení do konce utkání 2,2018/2019
4,222364,3. část,11:22,15 Jan Jiráň,5,909 hrubost,2018/2019
0,251696,3. část,10:05,3 Aleš Martínek,2,901 sekání,2018/2019
0,255299,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2019/2020
0,255295,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2019/2020
0,257498,3. část,02:49,3 Aleš Martínek,2,901 sekání,2019/2020
0,257495,1. část,10:38,91 Rudolf Rubáš,2,922 špatné střídání,2019/2020
1,257495,2. část,08:03,92 Jakub Vilim,2,907 nedovolené vrážení,2019/2020
0,260191,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2019/2020
0,260184,3. část,06:49,96 Rudolf Rubáš,2,924 zdržování hry,2019/2020
0,261992,2. část,05:41,96 Rudolf Rubáš,2,903 nadzvedávání hokejky,2019/2020
1,261992,2. část,10:10,3 Aleš Martínek,2,911 bránění ve hře,2019/2020
2,261992,3. část,02:52,11 Petr Sukalovský,2,902 blokování hokejky,2019/2020
0,266168,2. část,03:01,92 Jakub Vilim,2,901 sekání,2019/2020
0,266163,2. část,08:31,96 Rudolf Rubáš,2,915 nedovolená vzdálenost,2019/2020
1,266163,3. část,04:14,15 Jan Jiráň,2,910 držení,2019/2020
2,266163,3. část,11:12,23 Martin Bosák,2,911 bránění ve hře,2019/2020
0,271018,3. část,00:26,22 Jaroslav Drahotínský,2,909 hrubost,2019/2020
1,271018,3. část,08:49,6 Šimon Smrček,2,909 hrubost,2019/2020
0,271013,3. část,06:41,15 Jan Jiráň,2,922 špatné střídání,2019/2020
0,278196,2. část,01:28,30 Tomáš Štumf,2,901 sekání,2019/2020
1,278196,3. část,10:33,15 Jan Jiráň,2,901 sekání,2019/2020
0,278193,3. část,01:08,3 Aleš Martínek,2,902 blokování hokejky,2019/2020
0,284100,2. část,10:04,1 Viliam Virba,2,920 hra rukou,2020/2021
1,284100,3. část,03:47,96 Rudolf Rubáš,2,902 blokování hokejky,2020/2021
2,284100,3. část,05:11,15 Jan Jiráň,2,909 hrubost,2020/2021
0,284104,2. část,11:31,15 Jan Jiráň,2,901 sekání,2020/2021
1,284104,3. část,10:08,99 Petr Zahradník,2,901 sekání,2020/2021
2,284104,3. část,11:53,92 Petr Čermák,2,925 nesportovní chování,2020/2021
0,286056,3. část,02:58,12 Tomáš Štumf,2,902 blokování hokejky,2020/2021
1,286056,3. část,08:50,92 Marek Pukl,2,901 sekání,2020/2021
0,286054,2. část,06:57,99 Petr Zahradník,2,925 nesportovní chování,2020/2021
0,290622,1. část,06:05,99 Petr Zahradník,2,901 sekání,2021/2022
0,291306,2. část,05:50,99 Petr Zahradník,2,926 hra bez hokejky,2021/2022
0,294684,1. část,08:39,15 Jan Jiráň,2,901 sekání,2021/2022
1,294684,1. část,10:03,42 Jan Novák,2,915 nedovolená vzdálenost,2021/2022
2,294684,3. část,10:40,92 Jakub Vilim,2,909 hrubost,2021/2022
0,294688,1. část,03:27,42 Jan Novák,2,920 hra rukou,2021/2022
1,294688,3. část,03:51,3 Aleš Martínek,2,901 sekání,2021/2022
0,295536,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
