,Id,GK,Shots,Goals,Touches,Success%,Minutes,Season
0,290622,40 Michal Dostál,0,6,-6,0,36:00,2021/2022
0,291306,1 Miroslav Šteffl,0,4,-4,0,36:00,2021/2022
0,294684,33 Jan Majzner,0,4,-4,0,36:00,2021/2022
0,294688,1 Miroslav Šteffl,0,11,-11,0,36:00,2021/2022
0,295536,39 Michal Mrázek,0,3,-3,0,36:00,2021/2022
0,293079,1 Jakub Malý,0,3,-3,0,36:00,2021/2022
0,301969,1 Jiří Dobš,0,4,-4,0,36:00,2021/2022
0,301973,63 Kryštof Petr,0,2,-2,0,36:00,2021/2022
0,305967,72 Evžen Kindermann,0,3,-3,0,36:00,2021/2022
1,305967,40 Michal Dostál,0,0,0,0,00:00,2021/2022
0,305979,32 Matěj Šolar,0,2,-2,0,36:00,2021/2022
0,308725,39 Michal Mrázek,0,2,-2,0,36:00,2021/2022
0,308734,1 Jakub Malý,0,9,-9,0,36:00,2021/2022
0,311143,1 Boris Šimák,0,7,-7,0,36:00,2021/2022
0,311148,32 Matěj Šolar,0,8,-8,0,36:00,2021/2022
