,Id,Period,Time,Type,Goal,Assist,Season
0,290622,3. část,04:38,-,93 Martin Kaprálek,12 Tomáš Paskal,2021/2022
0,291306,3. část,04:09,-,9 Petr Brychta,14 Petr Šavrda,2021/2022
1,291306,3. část,11:26,-,11 Josef Kurka,9 Petr Brychta,2021/2022
0,294688,1. část,03:35,PP,33 Jan Pernikář,11 Josef Kurka,2021/2022
1,294688,2. část,08:24,-,17 Vladimír Oliva,,2021/2022
2,294688,3. část,00:53,-,72 Martin Šůs,33 Jan Pernikář,2021/2022
3,294688,3. část,11:10,-,11 Josef Kurka,17 Vladimír Oliva,2021/2022
0,295536,2. část,03:31,SH,31 Martin Hošek,9 Lukáš Martínek,2021/2022
1,295536,3. část,01:52,-,27 Jakub Špalek,16 Ondřej Turek,2021/2022
0,293079,1. část,05:59,-,7 Petr Kratochvíl,11 Jan Čech,2021/2022
1,293079,1. část,09:33,-,17 Luboš Vodrážka,4 Luboš Drbal,2021/2022
0,301973,2. část,09:59,PS,5 František Pok,,2021/2022
1,301973,3. část,02:02,-,5 František Pok,32 Martin Vacenovský,2021/2022
2,301973,-,-,PS,7 David Václavík,,2021/2022
0,305967,1. část,06:25,-,48 Ondřej Stach,14 Jan Brejcha,2021/2022
1,305967,3. část,04:32,-,93 Martin Kaprálek,7 Ondřej Zika,2021/2022
2,305967,3. část,10:18,-,93 Martin Kaprálek,7 Ondřej Zika,2021/2022
3,305967,3. část,11:12,PP,3 Jakub Vaculčiak,14 Jan Brejcha,2021/2022
0,305979,1. část,06:23,-,15 Radek Šobíšek,10 Michal Pešata,2021/2022
1,305979,2. část,04:09,-,18 Jan Kárník,8 Martin Novotný,2021/2022
0,308725,1. část,07:37,-,13 Luděk Šantora,42 Martin Hošek,2021/2022
1,308725,2. část,05:56,-,16 Ondřej Turek,29 Jakub Špalek,2021/2022
2,308725,3. část,03:56,-,42 Martin Hošek,13 Luděk Šantora,2021/2022
0,308734,1. část,06:05,-,11 Jan Čech,9 František Jantač,2021/2022
1,308734,1. část,08:54,PP,7 Petr Kratochvíl,10 Michal Kratochvíl,2021/2022
0,311143,1. část,04:02,-,17 Jan Rotta,4 Jan Egem,2021/2022
1,311143,1. část,05:53,-,17 Jan Rotta,4 Jan Egem,2021/2022
2,311143,2. část,00:27,-,76 Jakub Rokos,20 Tomáš Hájek,2021/2022
3,311143,3. část,00:52,-,12 Ondřej Rosický,76 Jakub Rokos,2021/2022
4,311143,3. část,11:31,-,76 Jakub Rokos,12 Ondřej Rosický,2021/2022
0,311148,2. část,07:17,-,18 Jan Kárník,10 Michal Pešata,2021/2022
0,314037,2. část,02:21,-,28 Filip Kovář,57 Vojtěch Mlnářík,2021/2022
1,314037,2. část,11:14,PP,58 Daniel Drake,57 Vojtěch Mlnářík,2021/2022
2,314037,3. část,10:30,PP,58 Daniel Drake,57 Vojtěch Mlnářík,2021/2022
0,320254,1. část,10:30,-,47 Tomáš Novotný,97 Václav Mudruňka,2021/2022
1,320254,3. část,02:00,-,25 Mirek Svoboda,88 Ernest Kerekeš,2021/2022
2,320254,3. část,02:55,-,32 Martin Vacenovský,97 Václav Mudruňka,2021/2022
0,320253,2. část,09:20,-,21 Petr Vinopal,10 Ondřej Havlena,2021/2022
1,320253,2. část,11:52,-,21 Petr Vinopal,5 Petr Šimek,2021/2022
0,322546,2. část,00:33,-,17 Jan Rotta,8 Michal Staníček,2021/2022
1,322546,3. část,04:33,-,20 Tomáš Hájek,17 Jan Rotta,2021/2022
2,322546,3. část,05:51,-,12 Ondřej Rosický,9 Petr Melník,2021/2022
3,322546,-,-,PS,9 Petr Melník,,2021/2022
0,322544,3. část,07:06,-,13 Vojtěch Buřič,58 Daniel Drake,2021/2022
1,322544,-,-,PS,57 Vojtěch Mlnářík,,2021/2022
