,Id,GK,Shots,Goals,Touches,Success%,Minutes,Season
0,290622,1 Viliam Virba,0,1,-1,0,36:00,2021/2022
0,291306,1 Viliam Virba,0,2,-2,0,36:00,2021/2022
0,294684,1 Tomáš Virba,0,0,0,0,36:00,2021/2022
0,294688,1 Viliam Virba,0,4,-4,0,36:00,2021/2022
0,295536,1 Tomáš Virba,0,2,-2,0,36:00,2021/2022
0,293079,1 Viliam Virba,0,2,-2,0,36:00,2021/2022
0,301969,1 Viliam Virba,0,0,0,0,36:00,2021/2022
0,301973,1 Tomáš Virba,0,2,-2,0,36:00,2021/2022
0,305967,1 Viliam Virba,0,4,-4,0,36:00,2021/2022
0,305979,1 Tomáš Virba,0,2,-2,0,36:00,2021/2022
0,308725,1 Viliam Virba,0,3,-3,0,36:00,2021/2022
0,308734,1 Viliam Virba,0,2,-2,0,36:00,2021/2022
0,311143,1 Jan Novák,0,5,-5,0,36:00,2021/2022
0,311148,1 Jan Novák,0,1,-1,0,36:00,2021/2022
0,314037,1 Viliam Virba,0,3,-3,0,36:00,2021/2022
0,320254,69 Viliam Virba,0,3,-3,0,36:00,2021/2022
0,320253,69 Tomáš Virba,0,2,-2,0,36:00,2021/2022
0,322546,1 Viliam Virba,0,3,-3,0,36:00,2021/2022
0,322544,1 Petr Čermák,0,1,-1,0,36:00,2021/2022
