,Id,Period,Time,Type,Goal,Assist,Season
0,290622,1. část,00:21,-,99 Petr Zahradník,92 Jakub Vilim,2021/2022
1,290622,2. část,01:43,PP,99 Petr Zahradník,92 Jakub Vilim,2021/2022
2,290622,2. část,01:59,-,91 Marek Pukl,12 Tomáš Štumf,2021/2022
3,290622,2. část,11:02,-,99 Petr Zahradník,92 Jakub Vilim,2021/2022
4,290622,3. část,08:52,-,96 Rudolf Rubáš,16 Andrej Lipan,2021/2022
5,290622,3. část,10:38,-,99 Petr Zahradník,,2021/2022
0,291306,1. část,02:39,-,28 Libor Hrach,16 Andrej Lipan,2021/2022
1,291306,2. část,08:09,-,11 Petr Sukalovský,96 Rudolf Rubáš,2021/2022
2,291306,2. část,11:27,-,12 Tomáš Štumf,92 Jakub Vilim,2021/2022
3,291306,3. část,02:36,-,96 Rudolf Rubáš,30 Šimon Smrček,2021/2022
0,294684,1. část,05:21,PP,91 Marek Pukl,42 Jan Novák,2021/2022
1,294684,1. část,06:36,PP,11 Petr Sukalovský,42 Jan Novák,2021/2022
2,294684,2. část,08:07,-,28 Libor Hrach,30 Andrej Lipan,2021/2022
3,294684,3. část,08:09,-,91 Marek Pukl,12 Tomáš Štumf,2021/2022
0,294688,1. část,01:12,-,28 Libor Hrach,,2021/2022
1,294688,1. část,02:32,-,12 Tomáš Štumf,91 Marek Pukl,2021/2022
2,294688,1. část,03:01,-,99 Petr Zahradník,23 Martin Bosák,2021/2022
3,294688,1. část,06:51,-,28 Libor Hrach,92 Jakub Vilim,2021/2022
4,294688,1. část,08:58,PP,23 Martin Bosák,99 Petr Zahradník,2021/2022
5,294688,2. část,08:29,-,11 Petr Sukalovský,23 Martin Bosák,2021/2022
6,294688,2. část,09:22,-,23 Martin Bosák,42 Jan Novák,2021/2022
7,294688,3. část,02:32,-,11 Petr Sukalovský,23 Martin Bosák,2021/2022
8,294688,3. část,07:41,-,96 Rudolf Rubáš,12 Tomáš Štumf,2021/2022
9,294688,3. část,09:54,-,30 Andrej Lipan,,2021/2022
10,294688,3. část,11:38,-,23 Martin Bosák,11 Petr Sukalovský,2021/2022
0,295536,1. část,03:31,-,11 Petr Sukalovský,3 Aleš Martínek,2021/2022
1,295536,1. část,05:08,-,91 Marek Pukl,6 Šimon Smrček,2021/2022
2,295536,2. část,11:16,-,92 Jakub Vilim,,2021/2022
0,293079,2. část,06:05,-,23 Martin Bosák,11 Petr Sukalovský,2021/2022
1,293079,2. část,11:45,PP,71 Josef Kostelecký,99 Petr Zahradník,2021/2022
2,293079,2. část,11:48,-,11 Petr Sukalovský,23 Martin Bosák,2021/2022
0,301969,2. část,09:23,-,9 Tomáš Virba,91 Marek Pukl,2021/2022
1,301969,3. část,00:36,-,23 Martin Bosák,99 Petr Zahradník,2021/2022
2,301969,3. část,05:24,-,23 Martin Bosák,92 Jakub Vilim,2021/2022
3,301969,3. část,06:35,-,11 Petr Sukalovský,99 Petr Zahradník,2021/2022
0,301973,1. část,07:47,-,9 Viliam Virba,,2021/2022
1,301973,3. část,08:36,-,23 Martin Bosák,71 Josef Kostelecký,2021/2022
