,Id,Period,Time,Player,TM,Foul,Season
0,290622,1. část,06:05,99 Petr Zahradník,2,901 sekání,2021/2022
0,291306,2. část,05:50,99 Petr Zahradník,2,926 hra bez hokejky,2021/2022
0,294684,1. část,08:39,15 Jan Jiráň,2,901 sekání,2021/2022
1,294684,1. část,10:03,42 Jan Novák,2,915 nedovolená vzdálenost,2021/2022
2,294684,3. část,10:40,92 Jakub Vilim,2,909 hrubost,2021/2022
0,294688,1. část,03:27,42 Jan Novák,2,920 hra rukou,2021/2022
1,294688,3. část,03:51,3 Aleš Martínek,2,901 sekání,2021/2022
0,295536,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,293079,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,301969,2. část,03:52,15 Jan Jiráň,2,901 sekání,2021/2022
0,301973,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
