,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,290622,3 Aleš Martínek (O),0,0,0,2021/2022,FBC Draci Říčany TT B,FBC Mobydick Praha
1,290622,11 Petr Sukalovský (U),0,0,0,2021/2022,FBC Draci Říčany TT B,FBC Mobydick Praha
2,290622,12 Tomáš Štumf (U),0,1,1,2021/2022,FBC Draci Říčany TT B,FBC Mobydick Praha
3,290622,15 Jan Jiráň (O),0,0,0,2021/2022,FBC Draci Říčany TT B,FBC Mobydick Praha
4,290622,16 Andrej Lipan (O),0,1,1,2021/2022,FBC Draci Říčany TT B,FBC Mobydick Praha
5,290622,28 Libor Hrach (U),0,0,0,2021/2022,FBC Draci Říčany TT B,FBC Mobydick Praha
6,290622,30 Šimon Smrček (U),0,0,0,2021/2022,FBC Draci Říčany TT B,FBC Mobydick Praha
7,290622,71 Josef Kostelecký (O),0,0,0,2021/2022,FBC Draci Říčany TT B,FBC Mobydick Praha
8,290622,91 Marek Pukl (U),1,0,1,2021/2022,FBC Draci Říčany TT B,FBC Mobydick Praha
9,290622,92 Jakub Vilim (U),0,3,3,2021/2022,FBC Draci Říčany TT B,FBC Mobydick Praha
10,290622,96 Rudolf Rubáš (U),1,0,1,2021/2022,FBC Draci Říčany TT B,FBC Mobydick Praha
11,290622,99 Petr Zahradník (U),4,0,4,2021/2022,FBC Draci Říčany TT B,FBC Mobydick Praha
0,291306,3 Aleš Martínek (O),0,0,0,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
1,291306,11 Petr Sukalovský (U),1,0,1,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
2,291306,12 Tomáš Štumf (U),1,0,1,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
3,291306,15 Jan Jiráň (O),0,0,0,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
4,291306,16 Andrej Lipan (O),0,1,1,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
5,291306,28 Libor Hrach (U),1,0,1,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
6,291306,30 Šimon Smrček (U),0,1,1,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
7,291306,71 Josef Kostelecký (O),0,0,0,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
8,291306,91 Marek Pukl (U),0,0,0,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
9,291306,92 Jakub Vilim (U),0,1,1,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
10,291306,96 Rudolf Rubáš (U),1,1,2,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
11,291306,99 Petr Zahradník (U),0,0,0,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
0,294684,3 Aleš Martínek (O),0,0,0,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
1,294684,6 Šimon Smrček (U),0,0,0,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
2,294684,9 Viliam Virba (O),0,0,0,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
3,294684,11 Petr Sukalovský (U),1,0,1,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
4,294684,12 Tomáš Štumf (U),0,1,1,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
5,294684,15 Jan Jiráň (O),0,0,0,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
6,294684,22 Jaroslav Drahotínský (O),0,0,0,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
7,294684,23 Martin Bosák (U),0,0,0,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
8,294684,28 Libor Hrach (U),1,0,1,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
9,294684,30 Andrej Lipan (U),0,1,1,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
10,294684,42 Jan Novák (O),0,2,2,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
11,294684,91 Marek Pukl (U),2,0,2,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
12,294684,92 Jakub Vilim (U),0,0,0,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
13,294684,96 Rudolf Rubáš (U),0,0,0,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
14,294684,99 Petr Zahradník (U),0,0,0,2021/2022,FBC Hornets Praha,FBC Mobydick Praha
0,294688,3 Aleš Martínek (O),0,0,0,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
1,294688,6 Šimon Smrček (O),0,0,0,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
2,294688,9 Tomáš Virba (O),0,0,0,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
3,294688,11 Petr Sukalovský (U),2,1,3,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
4,294688,12 Tomáš Štumf (U),1,1,2,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
5,294688,15 Jan Jiráň (O),0,0,0,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
6,294688,22 Jaroslav Drahotínský (O),0,0,0,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
7,294688,23 Martin Bosák (U),3,3,6,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
8,294688,28 Libor Hrach (U),2,0,2,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
9,294688,30 Andrej Lipan (U),1,0,1,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
10,294688,42 Jan Novák (O),0,1,1,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
11,294688,91 Marek Pukl (U),0,1,1,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
12,294688,92 Jakub Vilim (U),0,1,1,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
13,294688,96 Rudolf Rubáš (U),1,0,1,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
14,294688,99 Petr Zahradník (U),1,1,2,2021/2022,FBC Vokovický Šavle,FBC Mobydick Praha
0,295536,3 Aleš Martínek (O),0,1,1,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
1,295536,6 Šimon Smrček (O),0,1,1,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
2,295536,9 Viliam Virba (U),0,0,0,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
3,295536,11 Petr Sukalovský (U),1,0,1,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
4,295536,12 Tomáš Štumf (U),0,0,0,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
5,295536,22 Jaroslav Drahotínský (O),0,0,0,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
6,295536,23 Martin Bosák (U),0,0,0,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
7,295536,30 Andrej Lipan (U),0,0,0,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
8,295536,71 Josef Kostelecký (O),0,0,0,2021/2022,FAT PIPE FLORBAL CHODOV D,FBC Mobydick Praha
