,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season
0,220771,FBC Mobydick Praha,SK Bruisers Dejvice,3,4,Lose,neděle 16.09.2018; SH TJ Kobylisy,počet diváků: 0,začátek 09:00; konec 10:08,Utkání: 3XM92018/2019-A007; 2. kolo; PHaSČ třída mužů,"části: 0:1, 2:1, 1:2, střely na branku: 0:0","rozhodčí: Hertz David, Jícha Ondřej",delegát: ,"                Player
1  5 Aleš Martínek (U)
8  30 Jakub Horyna (U)","             Player
2  7 Pavel Vanc (U)","             Player
2  7 Pavel Vanc (U)",2018/2019
1,221367,FBC Mobydick Praha,TJ Sokol Dobříš B,0,5,Lose,neděle 16.09.2018; SH TJ Kobylisy,počet diváků: 0,začátek 11:25; konec 12:27,Utkání: 3XM92018/2019-A009; 2. kolo; PHaSČ třída mužů,"části: 2:0, 1:0, 2:0, střely na branku: 0:0","rozhodčí: Hertz David, Jícha Ondřej",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","                   Player
6  11 Tomáš Krejcárek (U)","                   Player
6  11 Tomáš Krejcárek (U)",2018/2019
2,223045,FBC Mobydick Praha,Prague Tigers E,4,6,Lose,neděle 30.09.2018; SH Dobříš,počet diváků: 0,začátek 09:00; konec 10:03,Utkání: 3XM92018/2019-A019; 4. kolo; PHaSČ třída mužů,"části: 2:1, 1:0, 3:3, střely na branku: 0:0","rozhodčí: Kratochvíl Jindřich, Baloun Lukáš",delegát: ,"                Player
7  81 Jakub Horyna (U)","                 Player
3  41 Teodor Bodlák (U)","                 Player
3  41 Teodor Bodlák (U)
7   81 Jakub Horyna (U)",2018/2019
3,223041,FBC Mobydick Praha,Lhokamo Panthers Praha F,8,7,Win,neděle 30.09.2018; SH Dobříš,počet diváků: 0,začátek 12:30; konec 13:48,Utkání: 3XM92018/2019-A022; 4. kolo; PHaSČ třída mužů,"části: 4:2, 1:1, 3:4, střely na branku: 0:0","rozhodčí: Baloun Lukáš, Kratochvíl Jindřich",delegát: ,"                Player
3  23 Martin Bosák (U)","                 Player
8  19 Šimon Todorov (U)","                Player
3  23 Martin Bosák (U)",2018/2019
4,225298,FBC Mobydick Praha,FKMP Praha B,6,2,Win,sobota 13.10.2018; SH Kostelec nad Černými lesy,počet diváků: 0,začátek 11:20; konec 12:20,Utkání: 3XM92018/2019-A027; 5. kolo; PHaSČ třída mužů,"části: 0:2, 1:2, 1:2, střely na branku: 0:0","rozhodčí: Koucký Filip, Gabesam René",delegát: ,"                 Player
4  17 Martin Fojtík (U)","                 Player
7  62 Martin Houdek (U)","                 Player
4  17 Martin Fojtík (U)",2018/2019
5,225293,FBC Mobydick Praha,FBC Slavia Praha C,6,5,Win,sobota 13.10.2018; SH Kostelec nad Černými lesy,počet diváků: 12,začátek 14:50; konec 16:03,Utkání: 3XM92018/2019-A030; 5. kolo; PHaSČ třída mužů,"části: 3:1, 1:2, 2:2, střely na branku: 0:0","rozhodčí: Koucký Filip, Gabesam René",delegát: ,"                 Player
4  17 Martin Fojtík (U)
5   23 Martin Bosák (U)
9   81 Jakub Horyna (O)","                Player
2  11 Adam Volánek (U)","                Player
2  11 Adam Volánek (U)",2018/2019
6,229876,FBC Mobydick Praha,FBC Hornets Praha B,3,7,Lose,sobota 10.11.2018; TJ Radlice,počet diváků: 0,začátek 09:00; konec 10:05,Utkání: 3XM92018/2019-A049; 9. kolo; PHaSČ třída mužů,"části: 3:0, 2:1, 2:2, střely na branku: 0:0","rozhodčí: Hrubín Jan, Šaroch Patrik",delegát: ,"                Player
4  23 Martin Bosák (U)","                 Player
3  18 Radek Brunner (U)","                 Player
3  18 Radek Brunner (U)",2018/2019
7,229873,FBC Mobydick Praha,FBK Vosy Praha DDM P2 C,3,1,Win,sobota 10.11.2018; TJ Radlice,počet diváků: 0,začátek 12:30; konec 13:25,Utkání: 3XM92018/2019-A052; 9. kolo; PHaSČ třída mužů,"části: 1:0, 2:1, 0:0, střely na branku: 0:0","rozhodčí: Hrubín Jan, Šaroch Patrik",delegát: ,"                Player
7  81 Jakub Horyna (U)","                     Player
9  23 Teodor Kandilarov (O)","                Player
7  81 Jakub Horyna (U)",2018/2019
8,232664,FBC Mobydick Praha,FLORBAL RIDERS,12,8,Lose,neděle 25.11.2018; Unihoc Aréna Praha,počet diváků: 27,začátek 11:10; konec 12:25,Utkání: 3XM92018/2019-A069; 12. kolo; PHaSČ třída mužů,"části: 1:3, 8:2, 3:3, střely na branku: 0:0","rozhodčí: Bollardt Filip, Dolejší Filip",delegát: ,"                Player
6  23 Martin Bosák (U)","                    Player
4       15 Lukáš Mašek (U)
8  79 Tomáš Karbusický (U)","                Player
6  23 Martin Bosák (U)",2018/2019
9,232662,FBC Mobydick Praha,FBC Slavia Praha C,2,6,Lose,neděle 25.11.2018; Unihoc Aréna Praha,počet diváků: 0,začátek 13:40; konec 14:45,Utkání: 3XM92018/2019-A071; 12. kolo; PHaSČ třída mužů,"části: 1:0, 2:1, 3:1, střely na branku: 0:0","rozhodčí: Bollardt Filip, Dolejší Filip",delegát: ,"                 Player
4  17 Martin Fojtík (U)","               Player
3  25 Jakub Šuťák (U)","                 Player
3    25 Jakub Šuťák (U)
4  17 Martin Fojtík (U)",2018/2019
10,236944,FBC Mobydick Praha,FBC Majklar,5,3,Win,sobota 12.01.2019; SH VŠE,počet diváků: 0,začátek 12:30; konec 13:36,Utkání: 3XM92018/2019-A076; 13. kolo; PHaSČ třída mužů,"části: 1:2, 1:2, 1:1, střely na branku: 0:0","rozhodčí: Koucký Filip, Beneš Matěj",delegát: ,"                Player
5  23 Martin Bosák (U)","Empty DataFrame
Columns: [Player]
Index: []","                Player
5  23 Martin Bosák (U)",2018/2019
11,236942,FBC Mobydick Praha,FC Bučis Team B,4,2,Win,sobota 12.01.2019; SH VŠE,počet diváků: 15,začátek 14:50; konec 15:50,Utkání: 3XM92018/2019-A078; 13. kolo; PHaSČ třída mužů,"části: 2:1, 2:0, 0:1, střely na branku: 0:0","rozhodčí: Stárek Vojtěch, Jangl Jakub",delegát: ,"                Player
9  81 Jakub Horyna (U)","Empty DataFrame
Columns: [Player]
Index: []","                Player
9  81 Jakub Horyna (U)",2018/2019
12,239917,FBC Mobydick Praha,FBC Blue Horses B,9,7,Win,sobota 02.02.2019; SH Stochov,počet diváků: 0,začátek 10:10; konec 11:18,Utkání: 3XM92018/2019-A086; 15. kolo; PHaSČ třída mužů,"části: 1:1, 4:5, 2:3, střely na branku: 0:0","rozhodčí: Herman Petr, Nejedlo Daniel",delegát: ,"                Player
8  81 Jakub Horyna (U)","                    Player
4  20 Stanislav Prokop (U)","                Player
8  81 Jakub Horyna (U)",2018/2019
13,239912,FBC Mobydick Praha,FBC Hornets Praha B,5,6,Lose,sobota 02.02.2019; SH Stochov,počet diváků: 0,začátek 13:40; konec 14:40,Utkání: 3XM92018/2019-A089; 15. kolo; PHaSČ třída mužů,"části: 1:2, 2:4, 2:0, střely na branku: 0:0","rozhodčí: Dolejší Filip, Škoula Daniel",delegát: ,"                 Player
4  17 Martin Fojtík (U)","             Player
6  23 Jan Rázga (U)","                 Player
4  17 Martin Fojtík (U)",2018/2019
14,242544,FBC Mobydick Praha,TJ Sokol Dobříš B,3,6,Lose,sobota 16.02.2019; SH TJ Kobylisy,počet diváků: 0,začátek 11:20; konec 12:14,Utkání: 3XM92018/2019-A099; 17. kolo; PHaSČ třída mužů,"části: 1:2, 1:4, 1:0, střely na branku: 0:0","rozhodčí: Kušnirák Christian-Marcel, Baloun Milan",delegát: ,"                Player
0  3 Aleš Martínek (O)","                  Player
8  17 Tomáš Pavlíček (O)","                  Player
8  17 Tomáš Pavlíček (O)",2018/2019
15,242540,FBC Mobydick Praha,FBK Vosy Praha DDM P2 C,3,4,Lose,sobota 16.02.2019; SH TJ Kobylisy,počet diváků: 0,začátek 13:30; konec 14:30,Utkání: 3XM92018/2019-A101; 17. kolo; PHaSČ třída mužů,"části: 1:1, 1:1, 2:1, střely na branku: 0:0","rozhodčí: Jestříbek Jiří, Kušnirák Christian-Marcel",delegát: ,"               Player
6  28 Libor Hrach (U)","Empty DataFrame
Columns: [Player]
Index: []","               Player
6  28 Libor Hrach (U)",2018/2019
16,244641,FBC Mobydick Praha,FLORBAL RIDERS,10,7,Lose,sobota 02.03.2019; SH Králův Dvůr,počet diváků: 0,začátek 12:30; konec 13:25,Utkání: 3XM92018/2019-A112; 19. kolo; PHaSČ třída mužů,"části: 1:2, 1:5, 5:3, střely na branku: 0:0","rozhodčí: Herman Petr, Škoula Daniel",delegát: ,"                 Player
4  17 Martin Fojtík (U)","                   Player
5  21 Jaroslav Rendla (U)","                 Player
4  17 Martin Fojtík (U)",2018/2019
17,244484,FBC Mobydick Praha,FBC Majklar,14,2,Lose,sobota 02.03.2019; SH Králův Dvůr,počet diváků: 0,začátek 14:50; konec 15:50,Utkání: 3XM92018/2019-A114; 19. kolo; PHaSČ třída mužů,"části: 8:2, 3:0, 3:0, střely na branku: 0:0","rozhodčí: Vostrá Jana, Stuš Pavel",delegát: ,"                 Player
4  17 Martin Fojtík (U)","Empty DataFrame
Columns: [Player]
Index: []","                 Player
4  17 Martin Fojtík (U)",2018/2019
18,245316,FBC Mobydick Praha,FKMP Praha B,13,1,Win,sobota 23.03.2019; SH Bystřice,počet diváků: 0,začátek 10:10; konec 11:17,Utkání: 3XM92018/2019-A122; 21. kolo; PHaSČ třída mužů,"části: 3:0, 2:1, 8:0, střely na branku: 0:0","rozhodčí: Fišer Daniel, Pavlík Martin",delegát: ,"                Player
7  81 Jakub Horyna (U)","                Player
3  31 Tomáš Vrabec (U)","                Player
7  81 Jakub Horyna (U)",2018/2019
19,247361,FBC Mobydick Praha,FBC Blue Horses B,9,1,Win,sobota 23.03.2019; SH Bystřice,počet diváků: 0,začátek 14:50; konec 15:58,Utkání: 3XM92018/2019-A126; 21. kolo; PHaSČ třída mužů,"části: 1:4, 0:3, 0:2, střely na branku: 0:0","rozhodčí: Přibil Daniel, Tůma Jan",delegát: ,"                 Player
4  17 Martin Fojtík (U)","                Player
5  66 Lukáš Müller (U)","                 Player
4  17 Martin Fojtík (U)",2018/2019
20,249569,FBC Mobydick Praha,FC Bučis Team B,3,2,Win,sobota 06.04.2019; SH VŠE,počet diváků: 0,začátek 10:10; konec 11:08,Utkání: 3XM92018/2019-A134; 23. kolo; PHaSČ třída mužů,"části: 0:2, 0:1, 2:0, střely na branku: 0:0","rozhodčí: Baloun Milan, Hrubín Jan",delegát: ,"                 Player
4  17 Martin Fojtík (U)","Empty DataFrame
Columns: [Player]
Index: []","                 Player
4  17 Martin Fojtík (U)",2018/2019
21,249565,FBC Mobydick Praha,Prague Tigers E,6,3,Win,sobota 06.04.2019; SH VŠE,počet diváků: 0,začátek 13:40; konec 14:45,Utkání: 3XM92018/2019-A137; 23. kolo; PHaSČ třída mužů,"části: 2:1, 3:1, 1:1, střely na branku: 0:0","rozhodčí: Baloun Milan, Hrubín Jan",delegát: ,"                 Player
4  17 Martin Fojtík (U)","                Player
6  45 Vilém Bodlák (U)","                 Player
4  17 Martin Fojtík (U)",2018/2019
22,222364,FBC Mobydick Praha,SK Bruisers Dejvice,8,3,Win,sobota 27.04.2019; SH Čakovice,počet diváků: 0,začátek 09:00; konec 10:05,Utkání: 3XM92018/2019-A145; 25. kolo; PHaSČ třída mužů,"části: 1:2, 1:2, 1:4, střely na branku: 0:0","rozhodčí: Stárek Vojtěch, Gaberdén Filip",delegát: ,"                Player
8  81 Jakub Horyna (U)","                     Player
3  11 Ondřej Jilemnický (U)","                Player
8  81 Jakub Horyna (U)",2018/2019
23,251696,FBC Mobydick Praha,Lhokamo Panthers Praha F,5,2,Win,sobota 27.04.2019; SH Čakovice,počet diváků: 0,začátek 11:20; konec 12:25,Utkání: 3XM92018/2019-A147; 25. kolo; PHaSČ třída mužů,"části: 0:0, 3:0, 2:2, střely na branku: 0:0","rozhodčí: Gaberdén Filip, Fišer Daniel",delegát: ,"                 Player
3  17 Martin Fojtík (U)","                Player
8  22 Zdeněk Jurák (U)","                 Player
3  17 Martin Fojtík (U)",2018/2019
24,255299,FBC Mobydick Praha,SK Black Dragons,5,0,Win,neděle 15.09.2019; SH Králův Dvůr,počet diváků: 0,začátek 15:15; konec 16:10,Utkání: 3XM82019/2020-B007; 1. kolo; PH a SČ soutěž mužů,"části: 1:0, 2:0, 2:0, střely na branku: 0:0","rozhodčí: Trejbal Patrik, Baloun Lukáš",delegát: ,"                Player
5  23 Martin Bosák (U)","Empty DataFrame
Columns: [Player]
Index: []","                Player
5  23 Martin Bosák (U)",2019/2020
25,255295,FBC Mobydick Praha,AIK Steel Kladno B,3,5,Lose,neděle 15.09.2019; SH Králův Dvůr,počet diváků: 0,začátek 17:30; konec 18:30,Utkání: 3XM82019/2020-B009; 1. kolo; PH a SČ soutěž mužů,"části: 2:1, 2:0, 1:2, střely na branku: 0:0","rozhodčí: Trejbal Patrik, Baloun Lukáš",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","                     Player
1  16 Jaroslav Chalupný (U)","                     Player
1  16 Jaroslav Chalupný (U)",2019/2020
