,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,220771,2 Vítězslav Traurig (U),0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
1,220771,5 Aleš Martínek (U),1,1,2,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
2,220771,9 Jan Novák (U),0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
3,220771,11 Petr Sukalovský (U),0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
4,220771,15 Jan Jiráň (U),0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
5,220771,22 Jaroslav Drahotínský (U),0,1,1,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
6,220771,23 Martin Bosák (U),0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
7,220771,28 Libor Hrach (U),0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
8,220771,30 Jakub Horyna (U),1,1,2,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
9,220771,68 Jakub Kalfiřt (U),0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
10,220771,91 Martin Fojtík (U),0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
11,220771,92 Jakub Vilim (U),1,0,1,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
12,220771,99 Petr Zahradník (U),0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha
0,221367,2 Vítězslav Traurig (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
1,221367,5 Aleš Martínek (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
2,221367,9 Jan Novák (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
3,221367,11 Petr Sukalovský (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
4,221367,15 Jan Jiráň (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
5,221367,22 Jaroslav Drahotínský (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
6,221367,23 Martin Bosák (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
7,221367,28 Libor Hrach (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
8,221367,30 Jakub Horyna (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
9,221367,68 Jakub Kalfiřt (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
10,221367,91 Martin Fojtík (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
11,221367,92 Jakub Vilim (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
12,221367,99 Petr Zahradník (U),0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha
0,223045,3 Aleš Martínek (O),0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha
1,223045,5 Lucie Kisugite (U),0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha
2,223045,15 Jan Jiráň (O),0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha
3,223045,22 Jaroslav Drahotínský (O),0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha
4,223045,23 Martin Bosák (U),0,1,1,2018/2019,Prague Tigers E,FBC Mobydick Praha
5,223045,28 Libor Hrach (U),0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha
6,223045,68 Jakub Kalfiřt (U),0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha
7,223045,81 Jakub Horyna (U),3,0,3,2018/2019,Prague Tigers E,FBC Mobydick Praha
8,223045,92 Jakub Vilim (U),1,0,1,2018/2019,Prague Tigers E,FBC Mobydick Praha
9,223045,99 Petr Zahradník (U),0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha
0,223041,3 Aleš Martínek (O),0,1,1,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha
1,223041,5 Lucie Kisugite (U),1,1,2,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha
2,223041,15 Jan Jiráň (O),0,0,0,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha
3,223041,23 Martin Bosák (U),4,1,5,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha
4,223041,28 Libor Hrach (U),1,2,3,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha
5,223041,68 Jakub Kalfiřt (U),1,0,1,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha
6,223041,81 Jakub Horyna (O),0,2,2,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha
7,223041,92 Jakub Vilim (U),0,0,0,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha
8,223041,99 Petr Zahradník (U),1,0,1,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha
0,225298,3 Aleš Martínek (O),0,1,1,2018/2019,FKMP Praha B,FBC Mobydick Praha
1,225298,5 Lucie Kisugite (U),0,0,0,2018/2019,FKMP Praha B,FBC Mobydick Praha
2,225298,6 Šimon Smrček (U),0,0,0,2018/2019,FKMP Praha B,FBC Mobydick Praha
3,225298,15 Jan Jiráň (O),1,0,1,2018/2019,FKMP Praha B,FBC Mobydick Praha
4,225298,17 Martin Fojtík (U),3,0,3,2018/2019,FKMP Praha B,FBC Mobydick Praha
5,225298,23 Martin Bosák (U),1,0,1,2018/2019,FKMP Praha B,FBC Mobydick Praha
6,225298,28 Libor Hrach (U),0,1,1,2018/2019,FKMP Praha B,FBC Mobydick Praha
7,225298,42 Jan Novák (O),0,0,0,2018/2019,FKMP Praha B,FBC Mobydick Praha
8,225298,68 Jakub Kalfiřt (U),0,0,0,2018/2019,FKMP Praha B,FBC Mobydick Praha
9,225298,81 Jakub Horyna (O),1,1,2,2018/2019,FKMP Praha B,FBC Mobydick Praha
10,225298,92 Jakub Vilim (U),0,1,1,2018/2019,FKMP Praha B,FBC Mobydick Praha
11,225298,99 Petr Zahradník (U),0,0,0,2018/2019,FKMP Praha B,FBC Mobydick Praha
0,225293,3 Aleš Martínek (O),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
1,225293,5 Lucie Kisugite (U),1,0,1,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
2,225293,6 Šimon Smrček (U),1,0,1,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
3,225293,15 Jan Jiráň (O),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
4,225293,17 Martin Fojtík (U),1,1,2,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
5,225293,23 Martin Bosák (U),1,1,2,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
6,225293,28 Libor Hrach (U),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
7,225293,42 Jan Novák (O),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
8,225293,68 Jakub Kalfiřt (U),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
9,225293,81 Jakub Horyna (O),1,1,2,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
10,225293,92 Jakub Vilim (U),1,0,1,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
11,225293,99 Petr Zahradník (U),0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha
0,229876,3 Aleš Martínek (O),0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
1,229876,5 Lucie Kisugite (U),1,0,1,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
2,229876,6 Šimon Smrček (O),0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
3,229876,15 Jan Jiráň (O),0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
4,229876,23 Martin Bosák (U),0,2,2,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
5,229876,28 Libor Hrach (U),1,0,1,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
6,229876,42 Jan Novák (O),0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
7,229876,81 Jakub Horyna (U),0,1,1,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
8,229876,92 Jakub Vilim (U),1,0,1,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
9,229876,99 Petr Zahradník (U),0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha
0,229873,3 Aleš Martínek (O),0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha
1,229873,5 Lucie Kisugite (U),0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha
2,229873,6 Šimon Smrček (O),0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha
3,229873,15 Jan Jiráň (O),0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha
