season,ID
2018/2019,220771
2018/2019,221367
2018/2019,223045
2018/2019,223041
2018/2019,225298
2018/2019,225293
2018/2019,229876
2018/2019,229873
2018/2019,232664
2018/2019,232662
2018/2019,236944
2018/2019,236942
2018/2019,239917
2018/2019,239912
2018/2019,242544
2018/2019,242540
2018/2019,244641
2018/2019,244484
2018/2019,245316
2018/2019,247361
2018/2019,249569
2018/2019,249565
2018/2019,222364
2018/2019,251696
2019/2020,255299
2019/2020,255295
2019/2020,257498
2019/2020,257495
2019/2020,260191
2019/2020,260184
2019/2020,261992
2019/2020,266168
2019/2020,266163
2019/2020,271018
2019/2020,271013
2019/2020,278196
2019/2020,278193
2020/2021,284100
2020/2021,284104
2020/2021,286056
2020/2021,286054
