GK,Goals,Matches,Min,Shots,Touches,Mean_Goals,Goal_Minute
 Tomáš Krijt,12,4,72,0,-12,-,-
 Václav Liebezeit,24,3,108,0,-24,-,-
 Jan Gierczynski,6,3,108,0,-6,-,-
 Aleš Vambera,8,2,36,0,-8,-,-
 Jiří Srba,8,2,72,0,-8,-,-
 Miroslav Šteffl,15,2,72,0,-15,-,-
 Miroslav Veselý,7,2,72,0,-7,-,-
 Miroslav Mynář,0,2,0,0,0,-,-
 Michal Kolář,3,2,36,0,-3,-,-
 Martin Sluka,19,2,72,0,-19,-,-
 Marek Škeřík,8,2,72,0,-8,-,-
 Marek Černý,22,2,72,0,-22,-,-
 Daniel Urban,7,2,72,0,-7,-,-
 Jakub Strnad,5,2,36,0,-5,-,-
 Filip Matějů,7,2,72,0,-7,-,-
 Jiří Dobš,4,1,36,0,-4,-,-
 Michal Vyčichl,3,1,36,0,-3,-,-
 David Balla,6,1,36,0,-6,-,-
 Tomáš Koval,2,1,36,0,-2,-,-
 Pavel Bartůněk,3,1,36,0,-3,-,-
 Ondřej Švanda,1,1,36,0,-1,-,-
 Ondřej Svoboda,7,1,36,0,-7,-,-
 David Štědrý,5,1,36,0,-5,-,-
 Filip Trousil,5,1,36,0,-5,-,-
 Michal Mrázek,3,1,36,0,-3,-,-
 Jiří Fuksa,3,1,36,0,-3,-,-
 Jakub Malý,3,1,36,0,-3,-,-
 Michal Dostál,6,1,36,0,-6,-,-
 Jan Majzner,4,1,36,0,-4,-,-
 Marek Ševčík,6,1,36,0,-6,-,-
 Daniel Dohnal,4,1,36,0,-4,-,-
 Lukáš Pechar,2,1,36,0,-2,-,-
 Kryštof Petr,2,1,36,0,-2,-,-
 Jiří Štégl,8,1,36,0,-8,-,-
 Jan Manasterský,14,1,36,0,-14,-,-
 Šimon Kalík,5,1,36,0,-5,-,-
