,Id,GK,Shots,Goals,Touches,Success%,Minutes,Season
0,132643,22 Marek Černý,0,1,-1,0,36:00,2015/2016
0,132644,1 Michal Chyba,0,3,-3,0,36:00,2015/2016
0,133941,6 Tomáš Hubený,0,6,-6,0,36:00,2015/2016
1,133941,4 Daniel Čermák,0,0,0,0,00:00,2015/2016
0,133943,52 Jakub Hoffmann,0,4,-4,0,36:00,2015/2016
0,136045,39 Petr Konáš,0,2,-2,0,36:00,2015/2016
0,136061,67 Milan Červený,0,1,-1,0,36:00,2015/2016
0,138158,90 Václav Janeček,0,5,-5,0,36:00,2015/2016
1,138158,1 Aleš Jungmann,0,0,0,0,00:00,2015/2016
0,138161,20 Petr Bláha,0,5,-5,0,36:00,2015/2016
0,139413,94 Pavel Cejnar,0,4,-4,0,36:00,2015/2016
0,139432,99 Tomáš Charvát,0,9,-9,0,36:00,2015/2016
0,142369,29 Jan Chot,0,4,-4,0,36:00,2015/2016
0,142372,52 Jakub Hoffmann,0,5,-5,0,36:00,2015/2016
0,144132,39 Pavel Hejna,0,2,-2,0,36:00,2015/2016
0,144134,22 Ondřej Zuska,0,3,-3,0,36:00,2015/2016
0,145416,1 Aleš Jungmann,0,3,-3,0,36:00,2015/2016
0,145419,22 Marek Černý,0,3,-3,0,36:00,2015/2016
0,148808,14 Martin Jonák,0,6,-6,0,36:00,2015/2016
0,148818,4 Daniel Čermák,0,6,-6,0,36:00,2015/2016
0,151296,27 Jaroslav Hrubý,0,2,-2,0,36:00,2015/2016
0,151313,29 Jan Chot,0,6,-6,0,36:00,2015/2016
0,153302,94 Pavel Cejnar,0,3,-3,0,36:00,2015/2016
0,153426,20 Jan Čebiš,0,6,-6,0,36:00,2015/2016
0,155310,39 Pavel Hejna,0,6,-6,0,36:00,2015/2016
0,155930,90 Martin Hanek,0,7,-7,0,36:00,2015/2016
0,158160,1 Tomáš Pelc,0,2,-2,0,36:00,2016/2017
0,158165,1 Robert Šimáček,0,3,-3,0,36:00,2016/2017
1,158165,20 Michal Voříšek,0,0,0,0,00:00,2016/2017
0,160490,38 Jan Chuděj,0,0,0,0,36:00,2016/2017
0,160696,39 Pavel Hejna,0,9,-9,0,36:00,2016/2017
0,165178,44 Filip Trousil,0,2,-2,0,36:00,2016/2017
0,165180,15 Vít Rosol,0,0,0,0,36:00,2016/2017
0,167687,1 Josef Šubrt,0,3,-3,0,36:00,2016/2017
0,167690,40 Michael Svatoň,0,5,-5,0,36:00,2016/2017
0,170888,99 Michal Šnobl,0,12,-12,0,36:00,2016/2017
0,170890,48 Filip Trousil,0,4,-4,0,36:00,2016/2017
0,173095,15 Vít Rosol,0,2,-2,0,36:00,2016/2017
