,Id,Period,Time,Type,Goal,Assist,Season
0,132643,1. část,01:31,-,2 Michal Lebeda,,2015/2016
1,132643,1. část,04:03,-,7 Pavel Špirit,21 Jaroslav Rendla,2015/2016
2,132643,1. část,10:05,PP,11 Jakub Chvojka,92 Jiří Krotký,2015/2016
3,132643,1. část,10:19,-,7 Pavel Špirit,2 Michal Lebeda,2015/2016
4,132643,2. část,08:23,-,9 Jan Vítkovský,2 Michal Lebeda,2015/2016
5,132643,3. část,06:28,PS,9 Jan Vítkovský,,2015/2016
6,132643,3. část,10:10,-,11 Jakub Chvojka,,2015/2016
0,132644,1. část,08:43,-,4 Jindřich Hanousek,,2015/2016
1,132644,1. část,11:54,-,13 Jan Lintymer,4 Jindřich Hanousek,2015/2016
2,132644,2. část,01:18,-,13 Jan Lintymer,41 Zdeněk Fryš,2015/2016
3,132644,2. část,03:46,-,2 Petr Rosička,13 Jan Lintymer,2015/2016
4,132644,3. část,01:49,-,4 Jindřich Hanousek,13 Jan Lintymer,2015/2016
5,132644,3. část,10:13,-,41 Zdeněk Fryš,4 Jindřich Hanousek,2015/2016
6,132644,3. část,11:49,PS,13 Jan Lintymer,,2015/2016
0,133941,2. část,00:20,-,16 Jaroslav Hluší,20 Robert Taussig,2015/2016
0,133943,1. část,03:31,-,88 Marek Kuneš,,2015/2016
1,133943,1. část,08:17,-,18 David Blahoš,16 Tomáš Hájek,2015/2016
2,133943,2. část,00:38,PP,20 Martin Dragoun,17 Josef Kučera,2015/2016
3,133943,2. část,01:39,-,18 David Blahoš,,2015/2016
4,133943,2. část,06:26,-,71 Daniel Knopp,17 Josef Kučera,2015/2016
5,133943,3. část,00:16,-,71 Daniel Knopp,18 David Blahoš,2015/2016
6,133943,3. část,00:48,-,71 Daniel Knopp,18 David Blahoš,2015/2016
7,133943,3. část,05:23,-,18 David Blahoš,17 Josef Kučera,2015/2016
8,133943,3. část,05:50,-,88 Marek Kuneš,18 David Blahoš,2015/2016
9,133943,3. část,07:14,-,18 David Blahoš,88 Marek Kuneš,2015/2016
10,133943,3. část,11:30,-,17 Josef Kučera,18 David Blahoš,2015/2016
0,136045,3. část,03:15,-,19 Petr Kohout,5 Jan Prušák,2015/2016
1,136045,3. část,07:51,-,19 Petr Kohout,12 Jan Paulovič,2015/2016
2,136045,3. část,09:39,-,12 Jan Paulovič,,2015/2016
0,136061,1. část,03:55,-,22 Filip Hubáček,66 Daniel Frič,2015/2016
1,136061,1. část,05:56,-,22 Filip Hubáček,66 Daniel Frič,2015/2016
2,136061,2. část,04:35,-,23 Alexandr Mostýn,81 Karel Němec,2015/2016
3,136061,2. část,11:42,-,86 Václav Měchura,2 Vítek Moučka,2015/2016
4,136061,3. část,02:07,-,86 Václav Měchura,,2015/2016
5,136061,3. část,04:19,-,23 Alexandr Mostýn,81 Karel Němec,2015/2016
6,136061,3. část,05:03,-,88 Jakub Puciow,33 Jakub Novotný,2015/2016
7,136061,3. část,11:58,-,66 Daniel Frič,88 Jakub Puciow,2015/2016
0,138158,1. část,05:54,-,7 Tomáš Ovčáčík,10 Miroslav Zbořilák,2015/2016
1,138158,1. část,06:09,PP,7 Tomáš Ovčáčík,10 Miroslav Zbořilák,2015/2016
2,138158,1. část,11:00,-,49 Petr Veselý,9 Jan Štička,2015/2016
3,138158,2. část,05:24,-,9 Jan Štička,13 Tomáš Badin,2015/2016
4,138158,3. část,02:58,-,7 Tomáš Ovčáčík,10 Miroslav Zbořilák,2015/2016
5,138158,3. část,03:18,-,18 Jan Štorek,8 Ondřej Šafář,2015/2016
6,138158,3. část,07:22,-,13 Tomáš Badin,8 Ondřej Šafář,2015/2016
