,Id,Period,Time,Player,TM,Foul,Season
0,132643,1. část,11:16,7 Pavel Špirit,2,901 sekání,2015/2016
1,132643,2. část,02:29,15 Lukáš Mašek,2,919 hra na zemi,2015/2016
0,132644,2. část,08:42,2 Petr Rosička,2,901 sekání,2015/2016
0,133941,3. část,01:43,68 Tadeáš Bohatec,2,922 špatné střídání,2015/2016
1,133941,3. část,04:23,20 Robert Taussig,2,909 hrubost,2015/2016
2,133941,3. část,07:42,20 Robert Taussig,2,911 bránění ve hře,2015/2016
0,133943,2. část,06:56,88 Marek Kuneš,2,901 sekání,2015/2016
0,136045,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,136061,2. část,11:59,91 Pavel Dušek,2,901 sekání,2015/2016
0,138158,1. část,11:59,27 Michal Vondra,2,901 sekání,2015/2016
0,138161,3. část,09:18,11 Vít Bohata,2,922 špatné střídání,2015/2016
0,139413,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,139432,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,142369,1. část,04:04,89 Milan Vřešťál,2,902 blokování hokejky,2015/2016
0,142372,2. část,02:24,68 Marek Frey,2,920 hra rukou,2015/2016
0,144132,1. část,08:51,77 Ondřej Vaněček,2,901 sekání,2015/2016
1,144132,2. část,04:50,15 Jiří Hrabár,2,901 sekání,2015/2016
2,144132,2. část,06:29,18 Martin Váňa,5,901 sekání,2015/2016
0,144134,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,145416,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,145419,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,148808,2. část,09:10,2 Petr Rosička,2,926 hra bez hokejky,2015/2016
0,148818,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,151296,3. část,02:55,8 Marek Šíp,2,901 sekání,2015/2016
0,151313,1. část,00:52,7 Zbyněk Prokšan,2,901 sekání,2015/2016
0,153302,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,153426,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,155310,1. část,03:56,77 Ondřej Vaněček,2,907 nedovolené vrážení,2015/2016
1,155310,2. část,05:32,44 Martin Östereicher,2,907 nedovolené vrážení,2015/2016
2,155310,2. část,11:01,18 Martin Váňa,2,907 nedovolené vrážení,2015/2016
0,155930,3. část,02:45,94 Petr Chýle,2,925 nesportovní chování,2015/2016
0,158160,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,158165,2. část,01:17,48 Ondřej Kadaník,2,909 hrubost,2016/2017
0,160490,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,160696,1. část,08:32,97 Jakub Smíšek,2,925 nesportovní chování,2016/2017
1,160696,2. část,07:33,97 Jakub Smíšek,2,919 hra na zemi,2016/2017
0,165178,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,165180,2. část,04:53,22 Jan Flaška,2,901 sekání,2016/2017
1,165180,3. část,11:32,8 René Janeba,2,902 blokování hokejky,2016/2017
0,167687,3. část,07:54,15 Jan Marek,2,901 sekání,2016/2017
0,167690,1. část,04:39,25 Jakub Pražák,2,902 blokování hokejky,2016/2017
0,170888,2. část,08:18,93 Michal Čermák,2,904 vysoká hokejka,2016/2017
1,170888,2. část,08:43,17 Stanislav Lepič,2,901 sekání,2016/2017
0,170890,2. část,04:03,13 Marek Václavík,2,901 sekání,2016/2017
1,170890,3. část,10:55,10 Miloš Zapadlo,2,911 bránění ve hře,2016/2017
0,173095,2. část,11:11,22 Jan Flaška,2,901 sekání,2016/2017
0,173117,1. část,10:59,84 Martin Bajer,2,901 sekání,2016/2017
