,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,132643,2 Michal Lebeda (O),1,2,3,2015/2016,FBC Penguins Praha,Florbal Riders
1,132643,7 Pavel Špirit (U),2,0,2,2015/2016,FBC Penguins Praha,Florbal Riders
2,132643,9 Jan Vítkovský (U),2,0,2,2015/2016,FBC Penguins Praha,Florbal Riders
3,132643,11 Jakub Chvojka (U),2,0,2,2015/2016,FBC Penguins Praha,Florbal Riders
4,132643,15 Lukáš Mašek (U),0,0,0,2015/2016,FBC Penguins Praha,Florbal Riders
5,132643,21 Jaroslav Rendla (U),0,1,1,2015/2016,FBC Penguins Praha,Florbal Riders
6,132643,69 Juraj Michajlov (U),0,0,0,2015/2016,FBC Penguins Praha,Florbal Riders
7,132643,76 Jiří Machala (U),0,0,0,2015/2016,FBC Penguins Praha,Florbal Riders
8,132643,77 Petr Brtek (U),0,0,0,2015/2016,FBC Penguins Praha,Florbal Riders
9,132643,79 Tomáš Karbusický (U),0,0,0,2015/2016,FBC Penguins Praha,Florbal Riders
10,132643,92 Jiří Krotký (U),0,1,1,2015/2016,FBC Penguins Praha,Florbal Riders
11,132643,99 Tomáš Hruška (U),0,0,0,2015/2016,FBC Penguins Praha,Florbal Riders
0,132644,2 Petr Rosička (U),1,0,1,2015/2016,FBC Penguins Praha,FBC JELENI UNHOŠŤ B
1,132644,4 Jindřich Hanousek (U),2,2,4,2015/2016,FBC Penguins Praha,FBC JELENI UNHOŠŤ B
2,132644,13 Jan Lintymer (U),3,2,5,2015/2016,FBC Penguins Praha,FBC JELENI UNHOŠŤ B
3,132644,14 Martin Jonák (U),0,0,0,2015/2016,FBC Penguins Praha,FBC JELENI UNHOŠŤ B
4,132644,41 Zdeněk Fryš (U),1,1,2,2015/2016,FBC Penguins Praha,FBC JELENI UNHOŠŤ B
5,132644,55 Matěj Hrdlička (U),0,0,0,2015/2016,FBC Penguins Praha,FBC JELENI UNHOŠŤ B
0,133941,3 Mikuláš Žížala (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
1,133941,7 Jan Trnka (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
2,133941,9 Martin Matějček (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
3,133941,14 Lukáš Boublík (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
4,133941,16 Jaroslav Hluší (U),1,0,1,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
5,133941,17 Vojtěch Stárek (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
6,133941,20 Robert Taussig (U),0,1,1,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
7,133941,23 Jakub Rohlík (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
8,133941,24 Petr Sváda (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
9,133941,28 Martin Šudoma (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
10,133941,47 Petr Dvořák (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
11,133941,68 Tadeáš Bohatec (U),0,0,0,2015/2016,FBC Penguins Praha,"FBC Young Boys ""B"""
0,133943,16 Tomáš Hájek (U),0,1,1,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
1,133943,17 Josef Kučera (U),1,3,4,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
2,133943,18 David Blahoš (U),4,4,8,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
3,133943,20 Martin Dragoun (U),1,0,1,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
4,133943,25 Vladislav Kučera (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
5,133943,71 Daniel Knopp (U),3,0,3,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
6,133943,88 Marek Kuneš (U),2,1,3,2015/2016,FBC Penguins Praha,FBC Kralupy n/V C
0,136045,5 Jan Prušák (U),0,1,1,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
1,136045,9 Michal Kuruc (U),0,0,0,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
2,136045,12 Jan Paulovič (U),1,1,2,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
3,136045,19 Petr Kohout (U),2,0,2,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
4,136045,28 David Haring (U),0,0,0,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
5,136045,32 Petr Kaša (U),0,0,0,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
6,136045,33 Tomáš Kriebel (U),0,0,0,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
7,136045,87 Jan Nejedlý (U),0,0,0,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
8,136045,88 Lukáš Bozděch (U),0,0,0,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
9,136045,90 Pavel Kohout (U),0,0,0,2015/2016,FBC Penguins Praha,IBK Kubánský Klan C
0,136061,2 Vítek Moučka (U),0,1,1,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
1,136061,8 Karel Hirsch (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
2,136061,22 Filip Hubáček (U),2,0,2,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
3,136061,23 Alexandr Mostýn (U),2,0,2,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
4,136061,33 Jakub Novotný (U),0,1,1,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
5,136061,38 Ondřej Hodan (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
6,136061,66 Daniel Frič (O),1,2,3,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
7,136061,81 Karel Němec (U),0,2,2,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
8,136061,86 Václav Měchura (U),2,0,2,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
9,136061,88 Jakub Puciow (U),1,1,2,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
10,136061,91 Pavel Dušek (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
11,136061,98 Jan Horyna (U),0,0,0,2015/2016,FBC Penguins Praha,FBC Slavia Praha B
