,Id,GK,Shots,Goals,Touches,Success%,Minutes,Season
0,132643,1 Bohumil Holada,0,7,-7,0,36:00,2015/2016
0,132644,1 Bohumil Holada,0,7,-7,0,36:00,2015/2016
0,133941,1 Bohumil Holada,0,1,-1,0,36:00,2015/2016
0,133943,1 Bohumil Holada,0,11,-11,0,36:00,2015/2016
0,136045,1 Bohumil Holada,0,3,-3,0,36:00,2015/2016
1,136045,19 Antonio Rotondo,0,0,0,0,00:00,2015/2016
0,136061,19 Antonio Rotondo,0,8,-8,0,36:00,2015/2016
0,138158,19 Antonio Rotondo,0,8,-8,0,36:00,2015/2016
0,138161,19 Antonio Rotondo,0,6,-6,0,36:00,2015/2016
0,139413,10 Antonio Rotondo,0,10,-10,0,36:00,2015/2016
0,139432,10 Antonio Rotondo,0,12,-12,0,36:00,2015/2016
0,142369,1 Bohumil Holada,0,9,-9,0,36:00,2015/2016
1,142369,19 Antonio Rotondo,0,0,0,0,00:00,2015/2016
0,142372,19 Antonio Rotondo,0,3,-3,0,36:00,2015/2016
1,142372,1 Bohumil Holada,0,0,0,0,00:00,2015/2016
0,144132,1 Bohumil Holada,0,6,-6,0,36:00,2015/2016
0,144134,1 Bohumil Holada,0,7,-7,0,36:00,2015/2016
0,145416,19 Antonio Rotondo,0,3,-3,0,36:00,2015/2016
0,145419,19 Antonio Rotondo,0,8,-8,0,36:00,2015/2016
0,148808,1 Bohumil Holada,0,4,-4,0,36:00,2015/2016
0,148818,1 Bohumil Holada,0,2,-2,0,36:00,2015/2016
0,151296,1 Bohumil Holada,0,5,-5,0,36:00,2015/2016
0,151313,1 Bohumil Holada,0,7,-7,0,36:00,2015/2016
0,153302,1 Bohumil Holada,0,10,-10,0,36:00,2015/2016
0,153426,1 Bohumil Holada,0,5,-5,0,36:00,2015/2016
0,155310,1 Bohumil Holada,0,3,-3,0,36:00,2015/2016
0,155930,1 Bohumil Holada,0,4,-4,0,36:00,2015/2016
0,158160,1 Kryštof Sojka,0,8,-8,0,36:00,2016/2017
0,158165,1 Kryštof Sojka,0,7,-7,0,36:00,2016/2017
0,160490,1 Josef Kopecký,0,7,-7,0,36:00,2016/2017
0,160696,1 Josef Kopecký,0,1,-1,0,36:00,2016/2017
0,165178,1 Josef Kopecký,0,3,-3,0,36:00,2016/2017
0,165180,1 Josef Kopecký,0,5,-5,0,36:00,2016/2017
0,167687,1 Jakub Rejf,0,12,-12,0,36:00,2016/2017
0,167690,1 Jakub Rejf,0,5,-5,0,36:00,2016/2017
0,170888,1 Josef Kopecký,0,2,-2,0,36:00,2016/2017
0,170890,1 Josef Kopecký,0,5,-5,0,36:00,2016/2017
0,173095,3 Jakub Rejf,0,11,-11,0,36:00,2016/2017
0,173117,1 Josef Kopecký,0,3,-3,0,36:00,2016/2017
0,174037,1 Jakub Rejf,0,12,-12,0,36:00,2016/2017
0,177651,1 Jakub Rejf,0,14,-14,0,36:00,2016/2017
0,181133,1 Josef Kopecký,0,3,-3,0,36:00,2016/2017
0,181139,1 Josef Kopecký,0,5,-5,0,36:00,2016/2017
0,184416,1 Josef Kopecký,0,2,-2,0,36:00,2016/2017
0,184419,1 Josef Kopecký,0,8,-8,0,36:00,2016/2017
0,186566,1 Josef Kopecký,0,5,-5,0,36:00,2016/2017
0,186570,1 Josef Kopecký,0,7,-7,0,36:00,2016/2017
0,188121,1 Josef Kopecký,0,3,-3,0,36:00,2017/2018
0,188126,1 Josef Kopecký,0,7,-7,0,36:00,2017/2018
0,188617,1 Josef Kopecký,0,8,-8,0,36:00,2017/2018
0,188620,1 Josef Kopecký,0,7,-7,0,36:00,2017/2018
0,190306,1 Josef Kopecký,0,13,-13,0,36:00,2017/2018
0,197391,1 Josef Kopecký,0,7,-7,0,36:00,2017/2018
0,197395,1 Josef Kopecký,0,5,-5,0,36:00,2017/2018
0,190313,3 Jakub Rejf,0,12,-12,0,36:00,2017/2018
0,199709,1 Josef Kopecký,0,6,-6,0,36:00,2017/2018
0,202065,1 Josef Kopecký,0,2,-2,0,36:00,2017/2018
0,202049,1 Josef Kopecký,0,6,-6,0,36:00,2017/2018
0,206061,1 Josef Kopecký,0,6,-6,0,36:00,2017/2018
0,206070,1 Josef Kopecký,0,9,-9,0,36:00,2017/2018
0,211408,17 Jakub Hruška,0,6,-6,0,36:00,2017/2018
0,211427,72 Jaroslav Soldán,0,6,-6,0,36:00,2017/2018
0,214987,12 Václav Boček,0,2,-2,0,36:00,2017/2018
0,214982,12 Václav Boček,0,3,-3,0,36:00,2017/2018
0,217306,12 Václav Boček,0,7,-7,0,36:00,2017/2018
0,222086,72 Jaroslav Soldán,0,5,-5,0,36:00,2018/2019
0,222085,72 Jaroslav Soldán,0,4,-4,0,36:00,2018/2019
0,225356,1 Josef Kopecký,0,4,-4,0,00:00,2018/2019
0,225354,1 Josef Kopecký,0,2,-2,0,36:00,2018/2019
0,229020,99 Jan Roháč,0,3,-3,0,36:00,2018/2019
1,229020,1 Josef Kopecký,0,0,0,0,00:00,2018/2019
0,229018,1 Josef Kopecký,0,4,-4,0,36:00,2018/2019
0,234993,99 Jan Roháč,0,2,-2,0,36:00,2018/2019
1,234993,1 Josef Kopecký,0,0,0,0,00:00,2018/2019
0,235067,1 Josef Kopecký,0,2,-2,0,36:00,2018/2019
0,237790,21 Jan Roháč,0,6,-6,0,36:00,2018/2019
1,237790,1 Josef Kopecký,0,0,0,0,00:00,2018/2019
0,237788,1 Josef Kopecký,0,12,-12,0,36:00,2018/2019
1,237788,21 Jan Roháč,0,0,0,0,00:00,2018/2019
0,241681,21 Jan Roháč,0,5,-5,0,36:00,2018/2019
1,241681,1 Josef Kopecký,0,0,0,0,00:00,2018/2019
0,241680,1 Josef Kopecký,0,4,-4,0,36:00,2018/2019
1,241680,21 Jan Roháč,0,0,0,0,00:00,2018/2019
0,244649,21 Jan Roháč,0,2,-2,0,36:00,2018/2019
1,244649,1 Josef Kopecký,0,0,0,0,00:00,2018/2019
0,244647,1 Josef Kopecký,0,2,-2,0,36:00,2018/2019
0,247469,99 Jan Roháč,0,2,-2,0,36:00,2018/2019
1,247469,1 Josef Kopecký,0,0,0,0,00:00,2018/2019
0,247467,1 Josef Kopecký,0,2,-2,0,36:00,2018/2019
0,233120,99 Jan Roháč,0,4,-4,0,00:00,2018/2019
1,233120,1 Josef Kopecký,0,0,0,0,00:00,2018/2019
0,250974,1 Josef Kopecký,0,4,-4,0,00:00,2018/2019
0,252765,99 Jan Roháč,0,4,-4,0,36:00,2018/2019
1,252765,1 Josef Kopecký,0,0,0,0,00:00,2018/2019
0,252762,1 Josef Kopecký,0,1,-1,0,36:00,2018/2019
0,258459,1 Josef Kopecký,0,7,-7,0,12:00,2019/2020
1,258459,1 Josef Kopecký,0,7,-7,0,12:00,2019/2020
2,258459,1 Josef Kopecký,0,7,-7,0,12:00,2019/2020
0,258090,1 Josef Kopecký,0,8,-8,0,12:00,2019/2020
1,258090,1 Josef Kopecký,0,8,-8,0,12:00,2019/2020
2,258090,1 Josef Kopecký,0,8,-8,0,12:00,2019/2020
0,261060,1 Josef Kopecký,0,7,-7,0,00:00,2019/2020
0,261055,1 Josef Kopecký,0,9,-9,0,36:00,2019/2020
0,263313,1 Josef Kopecký,0,4,-4,0,36:00,2019/2020
0,263310,1 Josef Kopecký,0,8,-8,0,36:00,2019/2020
0,267256,1 Josef Kopecký,0,8,-8,0,36:00,2019/2020
0,267257,1 Josef Kopecký,0,10,-10,0,36:00,2019/2020
