,Id,Period,Time,Type,Goal,Assist,Season
0,132643,3. část,11:43,-,6 Tomáš Weisser,7 Martin Bukovič,2015/2016
0,132644,1. část,07:33,-,17 Jakub Hruška,73 Kryštof Hoch,2015/2016
1,132644,2. část,01:45,-,16 Mikuláš Vyleta,22 Jiří Kvasnička,2015/2016
2,132644,2. část,02:11,-,11 Filip Terč,7 Martin Bukovič,2015/2016
0,133941,1. část,03:54,-,6 Tomáš Weisser,22 Jiří Kvasnička,2015/2016
1,133941,2. část,02:27,-,17 Jakub Hruška,73 Kryštof Hoch,2015/2016
2,133941,2. část,05:36,-,6 Tomáš Weisser,97 Ondřej Zeman,2015/2016
3,133941,2. část,08:09,-,15 Vojtěch Brávek,9 Jakub Klement,2015/2016
4,133941,3. část,04:46,PP,11 Filip Terč,73 Kryštof Hoch,2015/2016
5,133941,3. část,08:53,PP,17 Jakub Hruška,15 Vojtěch Brávek,2015/2016
0,133943,1. část,00:53,PS,9 Jakub Klement,,2015/2016
1,133943,1. část,03:17,-,97 Ondřej Zeman,19 Antonio Rotondo,2015/2016
2,133943,2. část,05:28,-,17 Jakub Hruška,15 Vojtěch Brávek,2015/2016
3,133943,3. část,04:52,-,16 Mikuláš Vyleta,15 Vojtěch Brávek,2015/2016
0,136045,1. část,07:52,PS,9 Jakub Klement,,2015/2016
1,136045,3. část,06:33,-,73 Kryštof Hoch,16 Mikuláš Vyleta,2015/2016
0,136061,3. část,10:57,-,73 Kryštof Hoch,9 Jakub Klement,2015/2016
0,138158,1. část,07:42,-,15 Vojtěch Brávek,,2015/2016
1,138158,1. část,09:07,-,9 Jakub Klement,73 Kryštof Hoch,2015/2016
2,138158,2. část,06:37,PS,9 Jakub Klement,,2015/2016
3,138158,2. část,07:16,-,97 Ondřej Zeman,17 Jakub Hruška,2015/2016
4,138158,3. část,03:27,-,17 Jakub Hruška,11 Filip Terč,2015/2016
0,138161,1. část,11:20,-,9 Jakub Klement,17 Jakub Hruška,2015/2016
1,138161,2. část,02:13,-,15 Vojtěch Brávek,73 Kryštof Hoch,2015/2016
2,138161,2. část,09:40,-,97 Ondřej Zeman,15 Vojtěch Brávek,2015/2016
3,138161,3. část,05:11,-,17 Jakub Hruška,9 Jakub Klement,2015/2016
4,138161,3. část,06:14,-,9 Jakub Klement,73 Kryštof Hoch,2015/2016
0,139413,2. část,04:42,-,73 Kryštof Hoch,16 Mikuláš Vyleta,2015/2016
1,139413,2. část,08:32,-,17 Jakub Hruška,16 Mikuláš Vyleta,2015/2016
2,139413,2. část,08:58,-,33 Štěpán Kalina,17 Jakub Hruška,2015/2016
3,139413,3. část,04:14,-,97 Ondřej Zeman,17 Jakub Hruška,2015/2016
0,139432,1. část,08:24,-,17 Jakub Hruška,9 Jakub Klement,2015/2016
1,139432,1. část,09:09,-,33 Štěpán Kalina,,2015/2016
