,Id,Period,Time,Player,TM,Foul,Season
0,132643,1. část,08:56,22 Jiří Kvasnička,2,907 nedovolené vrážení,2015/2016
0,132644,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,133941,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,133943,1. část,11:38,17 Jakub Hruška,2,922 špatné střídání,2015/2016
0,136045,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,136061,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,138158,1. část,06:40,17 Jakub Hruška,2,902 blokování hokejky,2015/2016
0,138161,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,139413,2. část,09:57,9 Jakub Klement,2,901 sekání,2015/2016
0,139432,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,142369,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,142372,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,144132,1. část,11:19,9 Jakub Klement,2,901 sekání,2015/2016
1,144132,3. část,06:24,19 Antonio Rotondo,2,902 blokování hokejky,2015/2016
2,144132,3. část,07:42,17 Jakub Hruška,2,926 hra bez hokejky,2015/2016
0,144134,2. část,00:34,18 Michal Šíma,2,901 sekání,2015/2016
1,144134,2. část,01:22,4 Stanislav Kodet,2,920 hra rukou,2015/2016
2,144134,2. část,05:26,9 Jakub Klement,2,901 sekání,2015/2016
3,144134,3. část,05:07,7 Martin Bukovič,2,902 blokování hokejky,2015/2016
0,145416,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,145419,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,148808,3. část,07:34,19 Antonio Rotondo,2,902 blokování hokejky,2015/2016
0,148818,1. část,08:35,7 Martin Bukovič,2,920 hra rukou,2015/2016
0,151296,1. část,08:49,9 Jakub Klement,2,901 sekání,2015/2016
1,151296,1. část,11:51,19 Antonio Rotondo,2,920 hra rukou,2015/2016
2,151296,3. část,06:27,11 Filip Terč,2,921 hra hlavou,2015/2016
0,151313,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,153302,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,153426,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,155310,3. část,05:58,73 Kryštof Hoch,2,919 hra na zemi,2015/2016
0,155930,2. část,00:57,17 Jakub Hruška,2,904 vysoká hokejka,2015/2016
1,155930,3. část,02:30,12 Filip Terč,2,922 špatné střídání,2015/2016
0,158160,3. část,01:33,15 Vojtěch Brávek,2,926 hra bez hokejky,2016/2017
0,158165,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,160490,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,160696,3. část,06:20,17 Jakub Hruška,2,925 nesportovní chování,2016/2017
0,165178,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,165180,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,167687,2. část,00:45,9 Jakub Klement,2,911 bránění ve hře,2016/2017
0,167690,3. část,04:33,97 Ondřej Zeman,2,911 bránění ve hře,2016/2017
0,170888,2. část,07:18,15 Vojtěch Brávek,2,911 bránění ve hře,2016/2017
0,170890,1. část,10:27,15 Vojtěch Brávek,2,902 blokování hokejky,2016/2017
1,170890,3. část,11:48,73 Kryštof Hoch,5,909 hrubost,2016/2017
0,173095,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,173117,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,174037,2. část,08:41,11 Filip Terč,2,911 bránění ve hře,2016/2017
0,177651,2. část,11:20,9 Jakub Klement,2,904 vysoká hokejka,2016/2017
0,181133,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,181139,3. část,06:41,15 Vojtěch Brávek,2,902 blokování hokejky,2016/2017
0,184416,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,184419,2. část,11:31,97 Ondřej Zeman,2,902 blokování hokejky,2016/2017
0,186566,1. část,06:05,3 Jakub Rejf,2,901 sekání,2016/2017
1,186566,3. část,08:28,73 Kryštof Hoch,2,914 hra v malém brankovišti,2016/2017
0,186570,2. část,02:03,17 Jakub Hruška,2,901 sekání,2016/2017
0,188121,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,188126,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,188617,3. část,05:12,18 Michal Šíma,2,902 blokování hokejky,2017/2018
0,188620,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,190306,2. část,01:18,77 Daniel Klugar,2,901 sekání,2017/2018
1,190306,3. část,05:41,9 Jakub Klement,2,911 bránění ve hře,2017/2018
0,197391,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,197395,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,190313,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,199709,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,202065,1. část,06:57,4 Stanislav Kodet,2,916 hra ve výskoku,2017/2018
1,202065,2. část,02:34,73 Kryštof Hoch,2,907 nedovolené vrážení,2017/2018
2,202065,2. část,10:22,16 Mikuláš Vyleta,2,901 sekání,2017/2018
3,202065,3. část,02:07,11 Filip Terč,2,920 hra rukou,2017/2018
0,202049,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,206061,2. část,09:57,97 Ondřej Zeman,2,919 hra na zemi,2017/2018
1,206061,3. část,03:20,15 Vojtěch Brávek,2,907 nedovolené vrážení,2017/2018
0,206070,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,211408,1. část,09:58,18 Michal Šíma,2,901 sekání,2017/2018
0,211427,2. část,05:50,73 Kryštof Hoch,2,901 sekání,2017/2018
1,211427,2. část,10:03,16 Mikuláš Vyleta,2,901 sekání,2017/2018
0,214987,2. část,10:06,72 Jaroslav Soldán,2,902 blokování hokejky,2017/2018
1,214987,3. část,00:51,15 Vojtěch Brávek,2,922 špatné střídání,2017/2018
0,214982,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2017/2018
0,217306,3. část,04:31,4 Stanislav Kodet,2,911 bránění ve hře,2017/2018
0,222086,3. část,07:09,18 Michal Šíma,2,902 blokování hokejky,2018/2019
0,222085,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,225356,2. část,00:00,17 Jakub Hruška,2,915 nedovolená vzdálenost,2018/2019
1,225356,3. část,11:04,18 Michal Šíma,2,909 hrubost,2018/2019
0,225354,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,229020,2. část,00:11,9 Jakub Klement,2,911 bránění ve hře,2018/2019
1,229020,3. část,03:38,72 Jaroslav Soldán,2,901 sekání,2018/2019
2,229020,3. část,11:52,77 Daniel Klugar,2,904 vysoká hokejka,2018/2019
0,229018,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,234993,1. část,10:26,18 Michal Šíma,2,901 sekání,2018/2019
1,234993,2. část,04:00,16 Mikuláš Vyleta,2,901 sekání,2018/2019
0,235067,1. část,06:21,77 Daniel Klugar,2,901 sekání,2018/2019
0,237790,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2018/2019
0,237788,2. část,07:20,16 Mikuláš Vyleta,2,901 sekání,2018/2019
1,237788,2. část,09:40,16 Mikuláš Vyleta,2,901 sekání,2018/2019
0,241681,2. část,06:15,73 Kryštof Hoch,2,901 sekání,2018/2019
0,241680,1. část,10:31,97 Ondřej Zeman,2,901 sekání,2018/2019
1,241680,2. část,00:43,9 Jakub Klement,2,901 sekání,2018/2019
2,241680,2. část,09:13,73 Kryštof Hoch,2,907 nedovolené vrážení,2018/2019
3,241680,3. část,07:08,18 Michal Šíma,2,919 hra na zemi,2018/2019
