,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season
0,294736,FBC Penguins Praha,Blue Horses Stochov,1,11,Lose,sobota 09.10.2021; Sport Eden Beroun,počet diváků: 0,začátek 10:20; konec 11:20,Utkání: 3XM7-B013; 2. kolo; PH a SČ přebor mužů,"části: 1:2, 0:4, 0:5, střely na branku: 0:0","rozhodčí: Buzický Vladimír, Tomeš Miroslav",delegát: ,"                 Player
0  7 Martin Bukovič (U)","                 Player
2  14 Tomáš Leipner (U)","                 Player
2  14 Tomáš Leipner (U)",2021/2022
1,294733,FBC Penguins Praha,IBK Svatý hole Kladno,3,6,Lose,sobota 09.10.2021; Sport Eden Beroun,počet diváků: 0,začátek 12:40; konec 13:30,Utkání: 3XM7-B015; 2. kolo; PH a SČ přebor mužů,"části: 1:1, 4:1, 1:1, střely na branku: 0:0","rozhodčí: Buzický Vladimír, Tomeš Miroslav",delegát: ,"                Player
2  12 Václav Boček (U)","                 Player
10  89 Tomáš Prchal (U)","                 Player
10  89 Tomáš Prchal (U)",2021/2022
2,296888,FBC Penguins Praha,FBC JELENI UNHOŠŤ,3,5,Lose,neděle 31.10.2021; Sport Eden Beroun,počet diváků: 0,začátek 10:20; konec 11:18,Utkání: 3XM7-B023; 3. kolo; PH a SČ přebor mužů,"části: 0:3, 1:0, 2:2, střely na branku: 0:0","rozhodčí: Krs Adam, Mikolášek Jakub",delegát: ,"                Player
3  17 Jakub Hruška (U)","               Player
1  3 Štěpán Merta (O)","               Player
1  3 Štěpán Merta (O)",2021/2022
3,298364,FBC Penguins Praha,Torza Sorry ASI,8,7,Win,neděle 31.10.2021; Sport Eden Beroun,počet diváků: 0,začátek 12:40; konec 13:30,Utkání: 3XM7-B025; 3. kolo; PH a SČ přebor mužů,"části: 4:3, 3:2, 0:2, střely na branku: 0:0","rozhodčí: Lauda Václav, Klán Martin",delegát: ,"                Player
3  17 Jakub Hruška (U)","             Player
0  7 Jan Buchta (U)","             Player
0  7 Jan Buchta (U)",2021/2022
4,300089,FBC Penguins Praha,Kanonýři Kladno B,6,7,Lose,sobota 20.11.2021; TJ Radlice,počet diváků: 0,začátek 13:50; konec 14:50,Utkání: 3XM7-B036; 4. kolo; PH a SČ přebor mužů,"části: 1:0, 3:4, 3:2, střely na branku: 0:0","rozhodčí: Hašlík Radoslav, Juráš Bohuslav",delegát: ,"                Player
2  17 Jakub Hruška (U)","              Player
2  19 Tomáš Ureš (O)","              Player
2  19 Tomáš Ureš (O)",2021/2022
5,302009,FBC Penguins Praha,IBK Kubánský Klan B - MISTŘI!!!,3,7,Lose,sobota 20.11.2021; TJ Radlice,počet diváků: 2,začátek 17:20; konec 18:15,Utkání: 3XM7-B039; 4. kolo; PH a SČ přebor mužů,"části: 1:1, 0:5, 2:1, střely na branku: 0:0","rozhodčí: Hašlík Radoslav, Juráš Bohuslav",delegát: ,"                Player
6  73 Kryštof Hoch (O)","               Player
4  87 Josef Vlček (U)","               Player
4  87 Josef Vlček (U)",2021/2022
6,304774,FBC Penguins Praha,FBC Hamsters Vysočany,6,1,Win,neděle 05.12.2021; Sportovní centrum Řepy,počet diváků: 0,začátek 17:10; konec 18:08,Utkání: 3XM7-B048; 5. kolo; PH a SČ přebor mužů,"části: 2:0, 1:0, 3:1, střely na branku: 0:0","rozhodčí: Herman Petr, Husák Lukáš",delegát: ,"                Player
7  97 Ondřej Zeman (U)","                  Player
1  6 Pavel Procházka (U)","                Player
7  97 Ondřej Zeman (U)",2021/2022
7,304777,FBC Penguins Praha,Blue Horses Stochov,3,6,Lose,neděle 05.12.2021; Sportovní centrum Řepy,počet diváků: 0,začátek 19:30; konec 20:30,Utkání: 3XM7-B050; 5. kolo; PH a SČ přebor mužů,"části: 1:2, 3:1, 2:0, střely na branku: 0:0","rozhodčí: Bollardt Filip, Černý Ondřej",delegát: ,"                Player
2  17 Jakub Hruška (U)","                    Player
3  20 Stanislav Prokop (U)","                    Player
3  20 Stanislav Prokop (U)",2021/2022
8,308696,FBC Penguins Praha,FBK VŠSK PaedF UK Praha,4,3,Win,sobota 08.01.2022; SH Králův Dvůr,počet diváků: 0,začátek 09:00; konec 10:08,Utkání: 3XM7-B051; 6. kolo; PH a SČ přebor mužů,"části: 2:0, 0:1, 1:2, 0:0, střely na branku: 0:0","rozhodčí: Buzický Vladimír, Dolejš Dominik",delegát: ,"                Player
3  12 Václav Boček (U)
6  73 Kryštof Hoch (O)","                 Player
4  24 Petr Kantulák (U)","                Player
3  12 Václav Boček (U)
6  73 Kryštof Hoch (O)",2021/2022
9,308719,FBC Penguins Praha,Torza Sorry ASI,6,8,Lose,sobota 08.01.2022; SH Králův Dvůr,počet diváků: 0,začátek 11:20; konec 12:32,Utkání: 3XM7-B053; 6. kolo; PH a SČ přebor mužů,"části: 4:3, 2:1, 0:4, střely na branku: 0:0","rozhodčí: Buzický Vladimír, Dolejš Dominik",delegát: ,"                Player
3  12 Václav Boček (U)","                Player
0  7 Ondřej Kuchař (U)","                Player
0  7 Ondřej Kuchař (U)",2021/2022
