,Id,GK,Shots,Goals,Touches,Success%,Minutes,Season
0,294736,1 Lukáš Zbránek,0,1,-1,0,36:00,2021/2022
0,294733,1 Lukáš Mach,0,3,-3,0,36:00,2021/2022
0,296888,1 Jaroslav Buben,0,3,-3,0,36:00,2021/2022
0,298364,31 David Kaminski,0,7,-7,0,36:00,2021/2022
0,300089,30 Milan Horáček,0,6,-6,0,36:00,2021/2022
0,302009,39 Petr Konáš,0,3,-3,0,36:00,2021/2022
0,304774,72 Pavel Bartůněk,0,6,-6,0,36:00,2021/2022
0,304777,1 Lukáš Zbránek,0,3,-3,0,36:00,2021/2022
0,308696,23 Jana Taušová,0,3,-3,0,36:00,2021/2022
0,308719,11 Jindřich Očenášek,0,6,-6,0,36:00,2021/2022
0,311041,1 Martin Řepka,0,1,-1,0,36:00,2021/2022
0,311043,30 Milan Horáček,0,3,-3,0,36:00,2021/2022
0,316158,63 Petr Tlustý,0,0,0,0,36:00,2021/2022
0,316363,1 Jaroslav Buben,0,1,-1,0,36:00,2021/2022
0,319263,92 Tomáš Kurc,0,0,0,0,36:00,2021/2022
0,319260,1 Lukáš Mach,0,3,-3,0,36:00,2021/2022
0,322541,39 Petr Konáš,0,2,-2,0,00:00,2021/2022
0,322535,23 Jana Taušová,0,1,-1,0,36:00,2021/2022
