,Id,Period,Time,Type,Goal,Assist,Season
0,294736,1. část,04:20,-,48 František Štiller,20 Stanislav Prokop,2021/2022
1,294736,1. část,07:48,-,48 František Štiller,21 Jiří Polívka,2021/2022
2,294736,2. část,05:32,-,21 Jiří Polívka,14 Tomáš Leipner,2021/2022
3,294736,2. část,06:40,-,21 Jiří Polívka,14 Tomáš Leipner,2021/2022
4,294736,2. část,07:17,-,14 Tomáš Leipner,69 Tomáš Pichner,2021/2022
5,294736,2. část,10:38,-,21 Jiří Polívka,69 Tomáš Pichner,2021/2022
6,294736,3. část,07:48,-,20 Stanislav Prokop,22 Jaroslav Macík,2021/2022
7,294736,3. část,08:53,-,26 Jakub Drexler,20 Stanislav Prokop,2021/2022
8,294736,3. část,09:07,-,22 Jaroslav Macík,26 Jakub Drexler,2021/2022
9,294736,3. část,09:19,-,69 Tomáš Pichner,14 Tomáš Leipner,2021/2022
10,294736,3. část,11:21,-,13 Filip Švojgr,14 Tomáš Leipner,2021/2022
0,294733,1. část,09:47,-,89 Tomáš Prchal,9 Pavel Hušák,2021/2022
1,294733,2. část,04:27,-,8 Jan Helešic,89 Tomáš Prchal,2021/2022
2,294733,2. část,10:14,-,89 Tomáš Prchal,9 Pavel Hušák,2021/2022
3,294733,2. část,11:14,-,15 Jan Marek,51 Michal Šmíd,2021/2022
4,294733,2. část,11:39,-,29 Jiří Bareš,,2021/2022
5,294733,3. část,10:24,SH,89 Tomáš Prchal,9 Pavel Hušák,2021/2022
0,296888,1. část,02:40,-,69 Richard Hurt,29 Zdeněk Fryš,2021/2022
1,296888,1. část,09:09,-,3 Štěpán Merta,82 Marek Beran,2021/2022
2,296888,1. část,10:41,SH,3 Štěpán Merta,,2021/2022
3,296888,3. část,07:07,-,26 Jindřich Hanousek,17 Jakub Kolanda,2021/2022
4,296888,3. část,11:41,EN,99 Marek Makovička,,2021/2022
0,298364,1. část,01:25,-,88 Martin Pokorný,7 Jan Buchta,2021/2022
1,298364,1. část,02:39,-,8 Miroslav Purkrábek,7 Jan Buchta,2021/2022
2,298364,1. část,06:36,-,10 Josef Němeček,7 Jan Buchta,2021/2022
3,298364,1. část,10:26,-,10 Josef Němeček,7 Jan Buchta,2021/2022
4,298364,2. část,01:00,-,10 Josef Němeček,7 Jan Buchta,2021/2022
5,298364,2. část,01:04,-,7 Jan Buchta,88 Martin Pokorný,2021/2022
6,298364,2. část,06:23,-,7 Jan Buchta,,2021/2022
0,300089,1. část,10:50,-,14 Adam Hruška,80 Petr Burian,2021/2022
1,300089,2. část,05:42,-,19 Tomáš Ureš,80 Petr Burian,2021/2022
2,300089,2. část,06:21,-,96 Jakub Šoch,12 Jan Vaňous,2021/2022
3,300089,2. část,06:47,-,96 Jakub Šoch,80 Petr Burian,2021/2022
4,300089,3. část,01:19,-,19 Tomáš Ureš,,2021/2022
5,300089,3. část,02:14,-,19 Tomáš Ureš,80 Petr Burian,2021/2022
6,300089,3. část,10:06,-,19 Tomáš Ureš,,2021/2022
0,302009,1. část,09:50,-,24 Pavel Šusta,,2021/2022
1,302009,2. část,03:16,-,24 Pavel Šusta,87 Josef Vlček,2021/2022
2,302009,2. část,07:38,-,89 Jakub Valchář,87 Josef Vlček,2021/2022
3,302009,2. část,10:42,-,11 Tomáš Furch,8 David Andr,2021/2022
4,302009,2. část,10:53,-,11 Tomáš Furch,87 Josef Vlček,2021/2022
5,302009,2. část,11:42,-,8 David Andr,87 Josef Vlček,2021/2022
6,302009,3. část,11:45,-,89 Jakub Valchář,11 Tomáš Furch,2021/2022
0,304774,3. část,06:13,-,6 Pavel Procházka,34 Lukáš Hron,2021/2022
0,304777,1. část,03:37,-,67 Pavel Pulec,,2021/2022
1,304777,2. část,03:10,-,69 Tomáš Pichner,13 Filip Švojgr,2021/2022
2,304777,2. část,07:29,PS,20 Stanislav Prokop,,2021/2022
3,304777,2. část,10:53,-,20 Stanislav Prokop,26 Jakub Drexler,2021/2022
4,304777,3. část,05:20,-,20 Stanislav Prokop,,2021/2022
5,304777,3. část,07:54,-,26 Jakub Drexler,20 Stanislav Prokop,2021/2022
0,308696,2. část,02:09,-,13 Lukáš Průcha,7 Jan Jirovský,2021/2022
1,308696,3. část,04:10,-,24 Petr Kantulák,7 Jan Jirovský,2021/2022
2,308696,3. část,04:45,PS,24 Petr Kantulák,,2021/2022
0,308719,1. část,00:10,-,7 Ondřej Kuchař,19 Jan Buchta,2021/2022
1,308719,1. část,03:01,-,19 Jan Buchta,13 Jiří Polák,2021/2022
2,308719,1. část,06:48,-,7 Ondřej Kuchař,19 Jan Buchta,2021/2022
3,308719,2. část,06:11,-,7 Ondřej Kuchař,19 Jan Buchta,2021/2022
4,308719,3. část,00:53,-,7 Ondřej Kuchař,21 Jaromír Votruba,2021/2022
5,308719,3. část,04:34,-,21 Jaromír Votruba,10 Josef Němeček,2021/2022
6,308719,3. část,08:34,-,7 Ondřej Kuchař,,2021/2022
7,308719,3. část,11:56,EN,19 Jan Buchta,21 Jaromír Votruba,2021/2022
