,Id,Period,Time,Player,TM,Foul,Season
0,294736,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,294733,3. část,04:44,21 Jindřich Buša,2,901 sekání,2021/2022
1,294733,3. část,09:04,8 Jan Helešic,2,901 sekání,2021/2022
0,296888,1. část,10:34,78 Lukáš Mendlík,2,907 nedovolené vrážení,2021/2022
0,298364,2. část,07:54,69 Petr Antuš,2,922 špatné střídání,2021/2022
0,300089,1. část,05:41,19 Tomáš Ureš,2,902 blokování hokejky,2021/2022
0,302009,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,304774,3. část,00:11,23 Vít Dvořák,2,901 sekání,2021/2022
0,304777,2. část,04:36,67 Pavel Pulec,2,901 sekání,2021/2022
0,308696,1. část,10:49,7 Jan Jirovský,2,904 vysoká hokejka,2021/2022
0,308719,2. část,11:34,10 Josef Němeček,2,925 nesportovní chování,2021/2022
1,308719,3. část,03:13,81 Ondřej Zamazal,5,909 hrubost,2021/2022
0,311041,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,311043,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,316158,3. část,02:54,18 Marek Klemens,2,901 sekání,2021/2022
0,316363,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,319263,2. část,04:25,5 Jan Vočko,2,901 sekání,2021/2022
0,319260,3. část,09:34,8 Jan Helešic,2,911 bránění ve hře,2021/2022
0,322541,1. část,05:32,14 Tomáš Kriebel,2,901 sekání,2021/2022
0,322535,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
