,Id,GK,Shots,Goals,Touches,Success%,Minutes,Season
0,294736,1 Josef Kopecký,0,11,-11,0,36:00,2021/2022
0,294733,1 Josef Kopecký,0,6,-6,0,36:00,2021/2022
0,296888,1 Josef Kopecký,0,4,-4,0,36:00,2021/2022
0,298364,1 Josef Kopecký,0,7,-7,0,36:00,2021/2022
0,300089,21 Jan Roháč,0,7,-7,0,36:00,2021/2022
1,300089,1 Josef Kopecký,0,0,0,0,00:00,2021/2022
0,302009,1 Josef Kopecký,0,7,-7,0,36:00,2021/2022
0,304774,1 Josef Kopecký,0,1,-1,0,36:00,2021/2022
1,304774,21 Jan Roháč,0,0,0,0,00:00,2021/2022
0,304777,21 Jan Roháč,0,6,-6,0,36:00,2021/2022
1,304777,1 Josef Kopecký,0,0,0,0,00:00,2021/2022
