,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,294736,7 Martin Bukovič (U),1,0,1,2021/2022,Blue Horses Stochov,FBC Penguins Praha
1,294736,9 Jakub Klement (U),0,0,0,2021/2022,Blue Horses Stochov,FBC Penguins Praha
2,294736,12 Václav Boček (U),0,0,0,2021/2022,Blue Horses Stochov,FBC Penguins Praha
3,294736,17 Jakub Hruška (U),0,0,0,2021/2022,Blue Horses Stochov,FBC Penguins Praha
4,294736,18 Michal Šíma (U),0,0,0,2021/2022,Blue Horses Stochov,FBC Penguins Praha
5,294736,31 Jakub Rada (U),0,1,1,2021/2022,Blue Horses Stochov,FBC Penguins Praha
6,294736,72 Jaroslav Soldán (O),0,0,0,2021/2022,Blue Horses Stochov,FBC Penguins Praha
7,294736,73 Kryštof Hoch (O),0,0,0,2021/2022,Blue Horses Stochov,FBC Penguins Praha
8,294736,97 Ondřej Zeman (U),0,0,0,2021/2022,Blue Horses Stochov,FBC Penguins Praha
0,294733,7 Martin Bukovič (U),0,0,0,2021/2022,IBK Svatý hole Kladno,FBC Penguins Praha
1,294733,9 Jakub Klement (U),0,0,0,2021/2022,IBK Svatý hole Kladno,FBC Penguins Praha
2,294733,12 Václav Boček (U),1,1,2,2021/2022,IBK Svatý hole Kladno,FBC Penguins Praha
3,294733,17 Jakub Hruška (U),0,0,0,2021/2022,IBK Svatý hole Kladno,FBC Penguins Praha
4,294733,18 Michal Šíma (U),0,0,0,2021/2022,IBK Svatý hole Kladno,FBC Penguins Praha
5,294733,31 Jakub Rada (U),1,0,1,2021/2022,IBK Svatý hole Kladno,FBC Penguins Praha
6,294733,72 Jaroslav Soldán (O),0,1,1,2021/2022,IBK Svatý hole Kladno,FBC Penguins Praha
7,294733,73 Kryštof Hoch (O),1,0,1,2021/2022,IBK Svatý hole Kladno,FBC Penguins Praha
8,294733,97 Ondřej Zeman (U),0,0,0,2021/2022,IBK Svatý hole Kladno,FBC Penguins Praha
0,296888,7 Martin Bukovič (U),0,1,1,2021/2022,FBC JELENI UNHOŠŤ,FBC Penguins Praha
1,296888,9 Jakub Klement (U),0,0,0,2021/2022,FBC JELENI UNHOŠŤ,FBC Penguins Praha
2,296888,12 Václav Boček (U),0,0,0,2021/2022,FBC JELENI UNHOŠŤ,FBC Penguins Praha
3,296888,17 Jakub Hruška (U),1,1,2,2021/2022,FBC JELENI UNHOŠŤ,FBC Penguins Praha
4,296888,18 Michal Šíma (U),1,0,1,2021/2022,FBC JELENI UNHOŠŤ,FBC Penguins Praha
5,296888,31 Jakub Rada (U),0,0,0,2021/2022,FBC JELENI UNHOŠŤ,FBC Penguins Praha
6,296888,72 Jaroslav Soldán (O),0,0,0,2021/2022,FBC JELENI UNHOŠŤ,FBC Penguins Praha
7,296888,73 Kryštof Hoch (O),1,0,1,2021/2022,FBC JELENI UNHOŠŤ,FBC Penguins Praha
8,296888,97 Ondřej Zeman (U),0,0,0,2021/2022,FBC JELENI UNHOŠŤ,FBC Penguins Praha
0,298364,7 Martin Bukovič (U),1,0,1,2021/2022,Torza Sorry ASI,FBC Penguins Praha
1,298364,9 Jakub Klement (U),0,0,0,2021/2022,Torza Sorry ASI,FBC Penguins Praha
2,298364,12 Václav Boček (U),1,0,1,2021/2022,Torza Sorry ASI,FBC Penguins Praha
3,298364,17 Jakub Hruška (U),3,3,6,2021/2022,Torza Sorry ASI,FBC Penguins Praha
4,298364,18 Michal Šíma (U),0,0,0,2021/2022,Torza Sorry ASI,FBC Penguins Praha
5,298364,31 Jakub Rada (U),0,0,0,2021/2022,Torza Sorry ASI,FBC Penguins Praha
6,298364,72 Jaroslav Soldán (O),0,1,1,2021/2022,Torza Sorry ASI,FBC Penguins Praha
7,298364,73 Kryštof Hoch (O),0,0,0,2021/2022,Torza Sorry ASI,FBC Penguins Praha
8,298364,97 Ondřej Zeman (U),2,1,3,2021/2022,Torza Sorry ASI,FBC Penguins Praha
0,300089,9 Jakub Klement (U),1,1,2,2021/2022,Kanonýři Kladno B,FBC Penguins Praha
1,300089,12 Václav Boček (U),0,0,0,2021/2022,Kanonýři Kladno B,FBC Penguins Praha
2,300089,17 Jakub Hruška (U),2,2,4,2021/2022,Kanonýři Kladno B,FBC Penguins Praha
3,300089,31 Jakub Rada (U),0,0,0,2021/2022,Kanonýři Kladno B,FBC Penguins Praha
4,300089,72 Jaroslav Soldán (O),1,1,2,2021/2022,Kanonýři Kladno B,FBC Penguins Praha
5,300089,73 Kryštof Hoch (O),0,1,1,2021/2022,Kanonýři Kladno B,FBC Penguins Praha
6,300089,97 Ondřej Zeman (U),2,1,3,2021/2022,Kanonýři Kladno B,FBC Penguins Praha
0,302009,9 Jakub Klement (U),0,0,0,2021/2022,IBK Kubánský Klan B - MISTŘI!!!,FBC Penguins Praha
1,302009,12 Václav Boček (U),0,0,0,2021/2022,IBK Kubánský Klan B - MISTŘI!!!,FBC Penguins Praha
2,302009,17 Jakub Hruška (U),0,1,1,2021/2022,IBK Kubánský Klan B - MISTŘI!!!,FBC Penguins Praha
3,302009,18 Michal Šíma (U),0,1,1,2021/2022,IBK Kubánský Klan B - MISTŘI!!!,FBC Penguins Praha
4,302009,31 Jakub Rada (U),1,0,1,2021/2022,IBK Kubánský Klan B - MISTŘI!!!,FBC Penguins Praha
5,302009,72 Jaroslav Soldán (O),0,0,0,2021/2022,IBK Kubánský Klan B - MISTŘI!!!,FBC Penguins Praha
6,302009,73 Kryštof Hoch (O),1,1,2,2021/2022,IBK Kubánský Klan B - MISTŘI!!!,FBC Penguins Praha
7,302009,97 Ondřej Zeman (U),1,0,1,2021/2022,IBK Kubánský Klan B - MISTŘI!!!,FBC Penguins Praha
0,304774,9 Jakub Klement (U),0,0,0,2021/2022,FBC Hamsters Vysočany,FBC Penguins Praha
1,304774,12 Václav Boček (U),1,0,1,2021/2022,FBC Hamsters Vysočany,FBC Penguins Praha
2,304774,17 Jakub Hruška (U),1,2,3,2021/2022,FBC Hamsters Vysočany,FBC Penguins Praha
3,304774,18 Michal Šíma (U),0,0,0,2021/2022,FBC Hamsters Vysočany,FBC Penguins Praha
4,304774,31 Jakub Rada (U),1,0,1,2021/2022,FBC Hamsters Vysočany,FBC Penguins Praha
5,304774,72 Jaroslav Soldán (O),0,0,0,2021/2022,FBC Hamsters Vysočany,FBC Penguins Praha
6,304774,73 Kryštof Hoch (O),1,1,2,2021/2022,FBC Hamsters Vysočany,FBC Penguins Praha
7,304774,97 Ondřej Zeman (U),2,3,5,2021/2022,FBC Hamsters Vysočany,FBC Penguins Praha
0,304777,9 Jakub Klement (U),0,0,0,2021/2022,Blue Horses Stochov,FBC Penguins Praha
1,304777,12 Václav Boček (U),0,1,1,2021/2022,Blue Horses Stochov,FBC Penguins Praha
2,304777,17 Jakub Hruška (U),1,1,2,2021/2022,Blue Horses Stochov,FBC Penguins Praha
3,304777,18 Michal Šíma (U),0,0,0,2021/2022,Blue Horses Stochov,FBC Penguins Praha
4,304777,31 Jakub Rada (U),0,0,0,2021/2022,Blue Horses Stochov,FBC Penguins Praha
5,304777,72 Jaroslav Soldán (O),0,0,0,2021/2022,Blue Horses Stochov,FBC Penguins Praha
6,304777,73 Kryštof Hoch (O),1,0,1,2021/2022,Blue Horses Stochov,FBC Penguins Praha
7,304777,97 Ondřej Zeman (U),1,0,1,2021/2022,Blue Horses Stochov,FBC Penguins Praha
0,308696,4 Stanislav Kodet (U),0,0,0,2021/2022,FBK VŠSK PaedF UK Praha,FBC Penguins Praha
1,308696,7 Martin Bukovič (U),0,0,0,2021/2022,FBK VŠSK PaedF UK Praha,FBC Penguins Praha
2,308696,9 Jakub Klement (U),0,0,0,2021/2022,FBK VŠSK PaedF UK Praha,FBC Penguins Praha
3,308696,12 Václav Boček (U),2,1,3,2021/2022,FBK VŠSK PaedF UK Praha,FBC Penguins Praha
4,308696,31 Jakub Rada (U),0,0,0,2021/2022,FBK VŠSK PaedF UK Praha,FBC Penguins Praha
5,308696,72 Jaroslav Soldán (O),0,1,1,2021/2022,FBK VŠSK PaedF UK Praha,FBC Penguins Praha
6,308696,73 Kryštof Hoch (O),2,1,3,2021/2022,FBK VŠSK PaedF UK Praha,FBC Penguins Praha
7,308696,97 Ondřej Zeman (U),0,0,0,2021/2022,FBK VŠSK PaedF UK Praha,FBC Penguins Praha
0,308719,4 Stanislav Kodet (U),0,0,0,2021/2022,Torza Sorry ASI,FBC Penguins Praha
1,308719,7 Martin Bukovič (U),0,2,2,2021/2022,Torza Sorry ASI,FBC Penguins Praha
2,308719,9 Jakub Klement (U),1,1,2,2021/2022,Torza Sorry ASI,FBC Penguins Praha
3,308719,12 Václav Boček (U),2,0,2,2021/2022,Torza Sorry ASI,FBC Penguins Praha
4,308719,31 Jakub Rada (U),0,1,1,2021/2022,Torza Sorry ASI,FBC Penguins Praha
5,308719,72 Jaroslav Soldán (O),1,0,1,2021/2022,Torza Sorry ASI,FBC Penguins Praha
6,308719,73 Kryštof Hoch (O),1,0,1,2021/2022,Torza Sorry ASI,FBC Penguins Praha
7,308719,97 Ondřej Zeman (U),1,1,2,2021/2022,Torza Sorry ASI,FBC Penguins Praha
