,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,132643,2 Nicholas McLean (U),0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha
1,132643,4 Stanislav Kodet (U),0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha
2,132643,6 Tomáš Weisser (U),1,0,1,2015/2016,Florbal Riders,FBC Penguins Praha
3,132643,7 Martin Bukovič (U),0,1,1,2015/2016,Florbal Riders,FBC Penguins Praha
4,132643,9 Jakub Klement (U),0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha
5,132643,11 Filip Terč (U),0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha
6,132643,15 Vojtěch Brávek (U),0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha
7,132643,16 Mikuláš Vyleta (U),0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha
8,132643,17 Jakub Hruška (U),0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha
9,132643,19 Antonio Rotondo (U),0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha
10,132643,22 Jiří Kvasnička (U),0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha
11,132643,73 Kryštof Hoch (U),0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha
12,132643,97 Ondřej Zeman (U),0,0,0,2015/2016,Florbal Riders,FBC Penguins Praha
0,132644,2 Nicholas McLean (U),0,0,0,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
1,132644,4 Stanislav Kodet (U),0,0,0,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
2,132644,6 Tomáš Weisser (U),0,0,0,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
3,132644,7 Martin Bukovič (U),0,1,1,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
4,132644,9 Jakub Klement (U),0,0,0,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
5,132644,11 Filip Terč (U),1,0,1,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
6,132644,15 Vojtěch Brávek (U),0,0,0,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
7,132644,16 Mikuláš Vyleta (U),1,0,1,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
8,132644,17 Jakub Hruška (U),1,0,1,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
9,132644,19 Antonio Rotondo (U),0,0,0,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
10,132644,22 Jiří Kvasnička (U),0,1,1,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
11,132644,73 Kryštof Hoch (U),0,1,1,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
12,132644,97 Ondřej Zeman (U),0,0,0,2015/2016,FBC JELENI UNHOŠŤ B,FBC Penguins Praha
0,133941,6 Tomáš Weisser (U),2,0,2,2015/2016,"FBC Young Boys ""B""",FBC Penguins Praha
1,133941,7 Martin Bukovič (U),0,0,0,2015/2016,"FBC Young Boys ""B""",FBC Penguins Praha
2,133941,9 Jakub Klement (U),0,1,1,2015/2016,"FBC Young Boys ""B""",FBC Penguins Praha
3,133941,11 Filip Terč (U),1,0,1,2015/2016,"FBC Young Boys ""B""",FBC Penguins Praha
4,133941,15 Vojtěch Brávek (U),1,1,2,2015/2016,"FBC Young Boys ""B""",FBC Penguins Praha
5,133941,16 Mikuláš Vyleta (U),0,0,0,2015/2016,"FBC Young Boys ""B""",FBC Penguins Praha
6,133941,17 Jakub Hruška (U),2,0,2,2015/2016,"FBC Young Boys ""B""",FBC Penguins Praha
7,133941,19 Antonio Rotondo (U),0,0,0,2015/2016,"FBC Young Boys ""B""",FBC Penguins Praha
8,133941,22 Jiří Kvasnička (U),0,1,1,2015/2016,"FBC Young Boys ""B""",FBC Penguins Praha
9,133941,73 Kryštof Hoch (U),0,2,2,2015/2016,"FBC Young Boys ""B""",FBC Penguins Praha
10,133941,97 Ondřej Zeman (U),0,1,1,2015/2016,"FBC Young Boys ""B""",FBC Penguins Praha
0,133943,6 Tomáš Weisser (U),0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
1,133943,7 Martin Bukovič (U),0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
2,133943,9 Jakub Klement (U),1,0,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
3,133943,11 Filip Terč (U),0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
4,133943,15 Vojtěch Brávek (U),0,2,2,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
5,133943,16 Mikuláš Vyleta (U),1,0,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
6,133943,17 Jakub Hruška (U),1,0,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
7,133943,19 Antonio Rotondo (U),0,1,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
8,133943,22 Jiří Kvasnička (U),0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
9,133943,73 Kryštof Hoch (U),0,0,0,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
10,133943,97 Ondřej Zeman (U),1,0,1,2015/2016,FBC Kralupy n/V C,FBC Penguins Praha
0,136045,6 Tomáš Weisser (U),0,0,0,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha
1,136045,7 Martin Bukovič (U),0,0,0,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha
2,136045,9 Jakub Klement (U),1,0,1,2015/2016,IBK Kubánský Klan C,FBC Penguins Praha
