season,ID
2015/2016,132643
2015/2016,132644
2015/2016,133941
2015/2016,133943
2015/2016,136045
2015/2016,136061
2015/2016,138158
2015/2016,138161
2015/2016,139413
2015/2016,139432
2015/2016,142369
2015/2016,142372
2015/2016,144132
2015/2016,144134
2015/2016,145416
2015/2016,145419
2015/2016,148808
2015/2016,148818
2015/2016,151296
2015/2016,151313
2015/2016,153302
2015/2016,153426
2015/2016,155310
2015/2016,155930
2016/2017,158160
2016/2017,158165
2016/2017,160490
2016/2017,160696
2016/2017,165178
2016/2017,165180
2016/2017,167687
2016/2017,167690
2016/2017,170888
2016/2017,170890
2016/2017,173095
2016/2017,173117
2016/2017,174037
2016/2017,177651
2016/2017,181133
2016/2017,181139
2016/2017,184416
2016/2017,184419
2016/2017,186566
2016/2017,186570
2017/2018,188121
2017/2018,188126
2017/2018,188617
2017/2018,188620
2017/2018,190306
2017/2018,197391
2017/2018,197395
2017/2018,190313
2017/2018,199709
2017/2018,202065
2017/2018,202049
2017/2018,206061
2017/2018,206070
2017/2018,211408
2017/2018,211427
2017/2018,214987
2017/2018,214982
2017/2018,217306
2018/2019,222086
2018/2019,222085
2018/2019,225356
2018/2019,225354
2018/2019,229020
2018/2019,229018
2018/2019,234993
2018/2019,235067
2018/2019,237790
2018/2019,237788
2018/2019,241681
2018/2019,241680
2018/2019,244649
2018/2019,244647
2018/2019,247469
2018/2019,247467
2018/2019,233120
2018/2019,250974
2018/2019,252765
2018/2019,252762
2019/2020,258459
2019/2020,258090
2019/2020,261060
2019/2020,261055
2019/2020,263313
2019/2020,263310
2019/2020,267256
2019/2020,267257
2019/2020,271089
2019/2020,271087
2019/2020,273338
2019/2020,273335
2019/2020,277341
2019/2020,277256
2020/2021,284092
2020/2021,284095
2020/2021,288076
2020/2021,288074
