GK,Goals,Matches,Min,Shots,Touches,Mean_Goals,Goal_Minute
 Pavel Hejna,34,6,216,0,-34,5.67,6.35
 Lukáš Pouska,9,4,72,0,-9,-,-
 Filip Trousil,13,4,108,0,-13,-,-
 Petr Zdráhal,14,3,72,0,-14,-,-
 Petr Konáš,11,3,108,0,-11,-,-
 Jiří Marvan,6,3,36,0,-6,-,-
 David Pazdírek,9,3,108,0,-9,-,-
 Aleš Jungmann,3,2,36,0,-3,-,-
 Kamil Netušil,5,2,72,0,-5,-,-
 Luboš Kratochvíl,11,2,72,0,-11,-,-
 Petr Bláha,6,2,69,0,-6,-,-
 Lukáš Vomáčka,2,2,72,0,-2,-,-
 Jan Chuděj,5,2,72,0,-5,-,-
 Pavel Cejnar,7,2,72,0,-7,-,-
 Marek Černý,4,2,72,0,-4,-,-
 Ondřej Svoboda,5,2,72,0,-5,-,-
 Michael Svatoň,5,2,36,0,-5,-,-
 Michal Šnobl,16,2,72,0,-16,-,-
 Michal Prokopec,11,2,72,0,-11,-,-
 Jan Čebiš,10,2,72,0,-10,-,-
 Jaroslav Buben,6,2,72,0,-6,-,-
 Jan Chot,10,2,72,0,-10,-,-
 Jakub Havrda,2,2,72,0,-2,-,-
 Christian-Marcel Kušnirák,0,2,2,0,0,-,-
 Daniel Čermák,6,2,36,0,-6,-,-
 Vít Rosol,2,2,72,0,-2,-,-
 Filip Skála,8,2,72,0,-8,-,-
 Michal Voříšek,4,2,36,0,-4,-,-
 Jakub Hoffmann,9,2,72,0,-9,-,-
 Robert Šimáček,3,2,36,0,-3,-,-
 Petr Kempa,2,1,36,0,-2,-,-
 Petr Žitník,1,1,36,0,-1,-,-
 Milan Horáček,6,1,36,0,-6,-,-
 Michal Vyčichl,4,1,36,0,-4,-,-
 Milan Červený,1,1,36,0,-1,-,-
 Miroslav Mynář,2,1,36,0,-2,-,-
 Norbert Hirschbrich,5,1,0,0,-5,-,-
 Ondřej Jelínek,10,1,36,0,-10,-,-
 Václav Janeček,5,1,36,0,-5,-,-
 Vojtěch Nockin,0,1,36,0,0,-,-
 Ondřej Zuska,3,1,36,0,-3,-,-
 Vojtěch Doležal,6,1,36,0,-6,-,-
 Veronika Hochová,6,1,36,0,-6,-,-
 Petr Šimon,0,1,0,0,0,-,-
 Tomáš Charvát,9,1,36,0,-9,-,-
 Peter Varga,6,1,36,0,-6,-,-
 Tomáš Krijt,4,1,0,0,-4,-,-
 Petr Kabelka,3,1,36,0,-3,-,-
 Tomáš Hubený,6,1,36,0,-6,-,-
 Tomáš Pelc,2,1,36,0,-2,-,-
 Martin Hanek,7,1,36,0,-7,-,-
 Michal Kolář,6,1,36,0,-6,-,-
 Jana Taušová,4,1,36,0,-4,-,-
 David Kaminski,7,1,36,0,-7,-,-
 David Poláček,2,1,36,0,-2,-,-
 David Šmerda,5,1,36,0,-5,-,-
 Dominik Hrabánek,2,1,36,0,-2,-,-
 Dominik Hůla,3,1,36,0,-3,-,-
 Dominik Kameš,1,1,0,0,-1,-,-
 Jakub Dostál,1,1,36,0,-1,-,-
 Jakub Fiala,0,1,0,0,0,-,-
 Jakub Mišovic,3,1,36,0,-3,-,-
 Jakub Šamánek,1,1,36,0,-1,-,-
 Jakub Šotola,5,1,36,0,-5,-,-
 Jan Ulrich,2,1,36,0,-2,-,-
 Jaroslav Hrubý,2,1,36,0,-2,-,-
 Michal Chyba,3,1,36,0,-3,-,-
 Josef Šubrt,3,1,36,0,-3,-,-
 Lukáš Bicek,0,1,0,0,0,-,-
 Lukáš Mach,3,1,36,0,-3,-,-
 Lukáš Mareš,3,1,36,0,-3,-,-
 Lukáš Zbránek,1,1,36,0,-1,-,-
 Lukáš Zeman,0,1,36,0,0,-,-
 Marek Schneeberg,7,1,36,0,-7,-,-
 Aleš Moc,0,1,0,0,0,-,-
 Martin Jonák,6,1,36,0,-6,-,-
 Martin Mulenko,6,1,36,0,-6,-,-
 Martin Ziba,2,1,36,0,-2,-,-
 Matěj Pálka,9,1,36,0,-9,-,-
 Zuzana Jedličková,8,1,36,0,-8,-,-
