,Id,Player,G,A,PTS,Season,Team_against,Team_for,Hattrick,Date,League
0,2415, Zdeněk Máčel ,0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys,0,27.09.2008, PH+SČ soutěž mužů
1,2415, Pavel Maršík ,1,0,1,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys,0,27.09.2008, PH+SČ soutěž mužů
2,2415, Ladislav Tyll ,0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys,0,27.09.2008, PH+SČ soutěž mužů
3,2415, Milan Balzer ,0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys,0,27.09.2008, PH+SČ soutěž mužů
4,2415, Roman Žampach ,0,1,1,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys,0,27.09.2008, PH+SČ soutěž mužů
5,2415, Adam Bardún ,0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys,0,27.09.2008, PH+SČ soutěž mužů
6,2420, Pavel Maršík ,1,2,3,2008/2009,Game Over Praha,FBC Ressler boys,0,27.09.2008, PH+SČ soutěž mužů
7,2420, Jakub Mádr ,0,0,0,2008/2009,Game Over Praha,FBC Ressler boys,0,27.09.2008, PH+SČ soutěž mužů
8,2420, Ladislav Tyll ,1,0,1,2008/2009,Game Over Praha,FBC Ressler boys,0,27.09.2008, PH+SČ soutěž mužů
9,2420, Milan Balzer ,1,0,1,2008/2009,Game Over Praha,FBC Ressler boys,0,27.09.2008, PH+SČ soutěž mužů
10,2420, Roman Žampach ,2,3,5,2008/2009,Game Over Praha,FBC Ressler boys,0,27.09.2008, PH+SČ soutěž mužů
11,2420, Adam Bardún ,1,0,1,2008/2009,Game Over Praha,FBC Ressler boys,0,27.09.2008, PH+SČ soutěž mužů
12,3413, Zdeněk Máčel ,0,0,0,2008/2009,FKMP Praha,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
13,3413, Jakub Mádr ,0,0,0,2008/2009,FKMP Praha,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
14,3413, Ladislav Tyll ,0,0,0,2008/2009,FKMP Praha,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
15,3413, Milan Balzer ,0,0,0,2008/2009,FKMP Praha,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
16,3413, Zdeněk Karásek ,0,0,0,2008/2009,FKMP Praha,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
17,3413, Roman Žampach ,0,0,0,2008/2009,FKMP Praha,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
18,3413, Václav Rides ,0,0,0,2008/2009,FKMP Praha,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
19,3419, Zdeněk Máčel ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
20,3419, Jakub Mádr ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
21,3419, Ladislav Tyll ,1,0,1,2008/2009,FbC Engineers,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
22,3419, Milan Balzer ,0,1,1,2008/2009,FbC Engineers,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
23,3419, Zdeněk Karásek ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
24,3419, Filip Weber ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
25,3419, Roman Žampach ,1,0,1,2008/2009,FbC Engineers,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
26,3419, Václav Rides ,0,0,0,2008/2009,FbC Engineers,FBC Ressler boys,0,12.10.2008, PH+SČ soutěž mužů
27,3450, Jakub Mádr ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
28,3450, Ladislav Tyll ,0,1,1,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
29,3450, Milan Balzer ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
30,3450, Zdeněk Karásek ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
31,3450, Filip Weber ,1,0,1,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
32,3450, Václav Rides ,1,0,1,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
33,3450, Adam Bardún ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
34,3450, Petr Škaloud ,0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
35,3448, Zdeněk Máčel ,0,0,0,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
36,3448, Jakub Mádr ,1,0,1,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
37,3448, Ladislav Tyll ,0,1,1,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
38,3448, Milan Balzer ,0,0,0,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
39,3448, Zdeněk Karásek ,0,0,0,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
40,3448, Filip Weber ,0,0,0,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
41,3448, Adam Bardún ,0,0,0,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
42,3448, Petr Škaloud ,0,0,0,2008/2009,Floorball Club Falcon,FBC Ressler boys,0,01.11.2008, PH+SČ soutěž mužů
43,6029, Jakub Nováček ,1,0,1,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
44,6029, Pavel Maršík ,0,1,1,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
45,6029, Jakub Mádr ,0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
46,6029, Ladislav Tyll ,0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
47,6029, Milan Balzer ,0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
48,6029, Michal Jakubec ,0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
49,6029, Filip Weber ,0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
50,6029, Roman Žampach ,0,0,0,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
51,6029, Petr Škaloud ,0,1,1,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
52,6029, Václav Rides ,2,1,3,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
53,6029, Adam Bardún ,2,1,3,2008/2009,FBC Kralupy n/V B,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
54,6025, Jakub Nováček ,1,1,2,2008/2009,FC Bílé Hole,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
55,6025, Pavel Maršík ,0,0,0,2008/2009,FC Bílé Hole,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
56,6025, Jakub Mádr ,0,0,0,2008/2009,FC Bílé Hole,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
57,6025, Ladislav Tyll ,1,0,1,2008/2009,FC Bílé Hole,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
58,6025, Milan Balzer ,0,0,0,2008/2009,FC Bílé Hole,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
59,6025, Michal Jakubec ,0,0,0,2008/2009,FC Bílé Hole,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
60,6025, Filip Weber ,0,0,0,2008/2009,FC Bílé Hole,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
61,6025, Roman Žampach ,0,0,0,2008/2009,FC Bílé Hole,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
62,6025, Petr Škaloud ,0,0,0,2008/2009,FC Bílé Hole,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
63,6025, Václav Rides ,2,0,2,2008/2009,FC Bílé Hole,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
64,6025, Adam Bardún ,0,1,1,2008/2009,FC Bílé Hole,FBC Ressler boys,0,23.11.2008, PH+SČ soutěž mužů
65,6182, Jakub Nováček ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,20.12.2008, PH+SČ soutěž mužů
66,6182, Jakub Mádr ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,20.12.2008, PH+SČ soutěž mužů
67,6182, Filip Weber ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,20.12.2008, PH+SČ soutěž mužů
68,6182, Petr Škaloud ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,20.12.2008, PH+SČ soutěž mužů
69,6182, Václav Rides ,1,0,1,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,20.12.2008, PH+SČ soutěž mužů
70,6182, Adam Bardún ,0,0,0,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,20.12.2008, PH+SČ soutěž mužů
71,6182, Jan Mareš ,0,1,1,2008/2009,FbK Atom Praha RKČ ,FBC Ressler boys,0,20.12.2008, PH+SČ soutěž mužů
72,6472, Jakub Nováček ,1,0,1,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,11.01.2009, PH+SČ soutěž mužů
73,6472, Pavel Maršík ,0,2,2,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,11.01.2009, PH+SČ soutěž mužů
74,6472, Ladislav Tyll ,1,0,1,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,11.01.2009, PH+SČ soutěž mužů
75,6472, Filip Weber ,0,0,0,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,11.01.2009, PH+SČ soutěž mužů
76,6472, Petr Škaloud ,0,0,0,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,11.01.2009, PH+SČ soutěž mužů
77,6472, Václav Rides ,1,0,1,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,11.01.2009, PH+SČ soutěž mužů
78,6472, Adam Bardún ,0,0,0,2008/2009,TBC Horoměřice B,FBC Ressler boys,0,11.01.2009, PH+SČ soutěž mužů
