,Id,GK,Shots,Goals,Touches,Success%,Minutes,Season
0,2415,44 Milan Strachota,30,1,29,"96,67",45:00,2008/2009
0,2420,44 Tomáš Kurc,30,7,23,"76,67",45:00,2008/2009
0,3413,3 Vratislav Sejk,30,0,30,"100,00",45:00,2008/2009
0,3419,35 Jan Klapuš,30,2,28,"93,33",45:00,2008/2009
1,3419,13 Vojtěch Novotný,0,0,0,0,00:00,2008/2009
0,3450,98 Michal Vrňák,30,2,28,"93,33",45:00,2008/2009
1,3450,4 David Myšička,0,0,0,0,00:00,2008/2009
2,3450,1 Petr Vík,0,0,0,0,00:00,2008/2009
0,3448,28 Ivan Šumelda,30,1,29,"96,67",45:00,2008/2009
1,3448,1 Pavel Machačka,0,0,0,0,00:00,2008/2009
0,6029,1 Vladimír Provazník,30,5,25,"83,33",45:00,2008/2009
0,6025,1 Hanuš Tomek,30,4,26,"86,67",45:00,2008/2009
0,6182,60 Miroslav Čačka,30,1,29,"96,67",45:00,2008/2009
0,6472,88 Ondřej Sadílek,30,3,27,"90,00",45:00,2008/2009
0,6470,44 Milan Strachota,30,1,29,"96,67",45:00,2008/2009
0,456,29 Tomáš Kurc,30,3,27,"90,00",45:00,2008/2009
0,8515,3 Vratislav Sejk,30,1,29,"96,67",45:00,2008/2009
0,9641,35 Jan Klapuš,30,1,29,"96,67",45:00,2008/2009
1,9641,13 Vojtěch Novotný,0,0,0,0,00:00,2008/2009
0,9636,98 Michal Vrňák,30,0,30,"100,00",45:00,2008/2009
1,9636,1 David Myšička,0,0,0,0,00:00,2008/2009
2,9636,88 Petr Janata,0,0,0,0,00:00,2008/2009
0,10203,28 Ivan Šumelda,30,4,26,"86,67",45:00,2008/2009
1,10203,41 Marian Bobko,0,0,0,0,00:00,2008/2009
0,10206,1 Vladimír Provazník,30,4,26,"86,67",45:00,2008/2009
0,12532,12 Ondřej Martinovský,30,8,22,"73,33",45:00,2008/2009
0,12900,1 Jakub Šebela,30,2,28,"93,33",45:00,2008/2009
0,12904,88 Ondřej Sadílek,30,8,22,"73,33",45:00,2008/2009
0,14226,32 Jakub Urban,30,1,29,"96,67",36:00,2009/2010
0,14224,1 Jan Čermák,30,5,25,"83,33",36:00,2009/2010
0,15977,33 Luboš Malý,30,4,26,"86,67",36:00,2009/2010
0,15986,1 Ondřej Hradec,30,6,24,"80,00",36:00,2009/2010
0,17157,29 Lukáš Kohút,30,6,24,"80,00",36:00,2009/2010
0,17158,1 Jan Kasper,30,4,26,"86,67",36:00,2009/2010
0,18371,39 David Sádlík,30,3,27,"90,00",36:00,2009/2010
0,18389,1 Tomáš Pilař,30,2,28,"93,33",36:00,2009/2010
0,19348,42 Alexandr Kettner,30,2,28,"93,33",36:00,2009/2010
0,19350,2 Lukáš Coufal,30,6,24,"80,00",36:00,2009/2010
0,21084,32 Jakub Urban,30,0,30,"100,00",36:00,2009/2010
0,21821,31 Patrik Dvořák,30,6,24,"80,00",36:00,2009/2010
0,21824,1 Jakub Vobořil,30,5,25,"83,33",36:00,2009/2010
1,21824,33 Luboš Malý,0,0,0,0,00:00,2009/2010
0,23281,1 Bohumil Kučera,30,2,28,"93,33",36:00,2009/2010
0,23278,29 Lukáš Kohút,30,2,28,"93,33",36:00,2009/2010
1,23278,1 Martin Škopek,0,0,0,0,00:00,2009/2010
0,24752,1 Jan Kasper,30,4,26,"86,67",36:00,2009/2010
0,24754,39 David Sádlík,30,2,28,"93,33",36:00,2009/2010
0,25954,1 Tomáš Pilař,30,2,28,"93,33",36:00,2009/2010
0,25950,42 Alexandr Kettner,30,2,28,"93,33",36:00,2009/2010
0,27336,2 Lukáš Coufal,30,3,27,"90,00",36:00,2009/2010
0,29252,1 Daniel Urban,30,3,27,"90,00",36:00,2010/2011
0,29250,77 Pavel Maršoun,30,2,28,"93,33",36:00,2010/2011
0,30521,1 Luboš Urbanec,30,3,27,"90,00",36:00,2010/2011
0,30518,99 Michal Kováč,30,2,28,"93,33",36:00,2010/2011
0,31231,2 Michal Dostál,30,7,23,"76,67",36:00,2010/2011
1,31231,1 Jan Tomáš,0,0,0,0,00:00,2010/2011
0,31228,11 Vojtěch Kidles,30,5,25,"83,33",36:00,2010/2011
0,32999,15 Tereza Čunátová,30,4,26,"86,67",36:00,2010/2011
0,32921,72 Jaromír Malý,30,3,27,"90,00",36:00,2010/2011
0,34411,66 Jan Mikšík,30,6,24,"80,00",36:00,2010/2011
0,35918,1 Daniel Urban,30,0,30,"100,00",36:00,2010/2011
0,35915,77 Pavel Maršoun,30,6,24,"80,00",36:00,2010/2011
0,38225,89 Michal Kováč,30,3,27,"90,00",36:00,2010/2011
0,38223,1 Luboš Urbanec,30,9,21,"70,00",36:00,2010/2011
1,38223,9 Ondřej Slaba,0,0,0,0,00:00,2010/2011
0,28904,18 Tomáš Kadlec,30,5,25,"83,33",36:00,2010/2011
0,29832,31 Jan Tomáš,30,8,22,"73,33",36:00,2010/2011
0,40660,45 Jakub Černý,30,3,27,"90,00",36:00,2010/2011
0,41547,66 Lukáš Brož,30,3,27,"90,00",36:00,2010/2011
0,43569,66 Jan Mikšík,30,5,25,"83,33",36:00,2010/2011
0,46482,3 Vratislav Sejk,30,3,27,"90,00",36:00,2011/2012
0,48470,1 Václav Hájek,30,2,28,"93,33",36:00,2011/2012
0,48466,3 Jakub Líska,30,1,29,"96,67",36:00,2011/2012
0,50281,33 Jan Majzner,30,6,24,"80,00",36:00,2011/2012
0,50278,98 Tomáš Stegura,30,5,25,"83,33",36:00,2011/2012
0,52514,3 Lukáš Malý,30,7,23,"76,67",36:00,2011/2012
0,52510,1 Jakub Kodym,30,6,24,"80,00",36:00,2011/2012
1,52510,38 Petr Plašil,0,0,0,0,00:00,2011/2012
0,53206,1 Samy A. Khaleg,30,9,21,"70,00",36:00,2011/2012
0,53208,91 David Hradečný,30,1,29,"96,67",36:00,2011/2012
0,55810,1 Lukáš Burian,30,4,26,"86,67",36:00,2011/2012
0,56545,2 Luboš Pieter,30,2,28,"93,33",36:00,2011/2012
0,56541,1 Jakub Líska,30,0,30,"100,00",36:00,2011/2012
0,58485,96 Ondřej Svoboda,30,4,26,"86,67",36:00,2011/2012
1,58485,98 Tomáš Stegura,0,0,0,0,00:00,2011/2012
0,58483,33 Jan Majzner,30,6,24,"80,00",36:00,2011/2012
0,59987,3 Lukáš Malý,30,5,25,"83,33",36:00,2011/2012
0,59990,38 Petr Plašil,30,8,22,"73,33",36:00,2011/2012
1,59990,1 Jakub Kodym,0,0,0,0,00:00,2011/2012
0,61490,91 David Hradečný,30,2,28,"93,33",36:00,2011/2012
0,61483,9 Ondřej Slaba,30,5,25,"83,33",36:00,2011/2012
0,64575,99 Marek Fröhlich,30,3,27,"90,00",36:00,2012/2013
0,64573,23 Jana Taušová,30,4,26,"86,67",36:00,2012/2013
0,66191,73 Martin Švácha,30,7,23,"76,67",36:00,2012/2013
0,66193,1 Kamil Netušil,30,3,27,"90,00",36:00,2012/2013
0,67676,27 Tomáš Šimek,30,0,30,"100,00",36:00,2012/2013
0,67674,8 Pavel Soukup,30,2,28,"93,33",36:00,2012/2013
0,69444,73 Tomáš Neckář,30,5,25,"83,33",36:00,2012/2013
0,69442,36 Tomáš Jančovič,30,1,29,"96,67",36:00,2012/2013
0,69398,34 Šimon Kalík,30,3,27,"90,00",36:00,2012/2013
0,69401,80 Radek Minařík,30,3,27,"90,00",36:00,2012/2013
0,72096,23 Jana Taušová,30,3,27,"90,00",36:00,2012/2013
0,73820,73 Martin Švácha,30,4,26,"86,67",36:00,2012/2013
0,73818,99 Marek Fröhlich,30,3,27,"90,00",36:00,2012/2013
0,76508,1 Kamil Netušil,30,2,28,"93,33",36:00,2012/2013
0,76505,73 Daniel Mayer,30,1,29,"96,67",36:00,2012/2013
0,77841,86 Tomáš Jančovič,30,0,30,"100,00",36:00,2012/2013
0,77839,27 Tomáš Šimek,30,3,27,"90,00",36:00,2012/2013
0,79499,44 Milan Strachota,30,7,23,"76,67",36:00,2012/2013
0,79497,1 Michal Mošna,30,3,27,"90,00",36:00,2012/2013
0,80013,38 Jan Chuděj,0,1,-1,0,36:00,2012/2013
1,80013,34 Šimon Kalík,0,0,0,0,00:00,2012/2013
0,83399,15 Dominik Kameš,0,0,0,0,36:00,2013/2014
1,83399,1 Matěj Pužman,0,0,0,0,00:00,2013/2014
0,83412,8 David Vaňkát,0,2,-2,0,36:00,2013/2014
0,84452,99 Marek Fröhlich,0,3,-3,0,36:00,2013/2014
0,84460,1 David Pantlík,0,3,-3,0,36:00,2013/2014
0,87600,14 Lukáš Mach,0,2,-2,0,36:00,2013/2014
0,87604,1 Jan Dechet,0,2,-2,0,36:00,2013/2014
0,88227,1 Daniel Urban,16,3,13,"81,25",36:00,2013/2014
0,88234,13 Pavel Chlup,18,4,14,"77,78",24:00,2013/2014
1,88234,1 Filip Skála,5,0,5,"100,00",12:00,2013/2014
0,91900,8 David Vaňkát,0,2,-2,0,36:00,2013/2014
0,91905,14 Lukáš Mach,0,5,-5,0,36:00,2013/2014
0,95454,3 Daniel Dvorský,0,2,-2,0,36:00,2013/2014
1,95454,31 Bohumil Huml,0,0,0,0,00:00,2013/2014
0,95459,3 Zdeněk Mitrovský,0,4,-4,0,36:00,2013/2014
1,95459,2 Lukáš Malý,0,0,0,0,00:00,2013/2014
0,95507,1 Matěj Pužman,0,0,0,0,36:00,2013/2014
0,95526,13 Pavel Chlup,0,2,-2,0,36:00,2013/2014
