,Id,Period,Time,Type,Goal,Assist,Season
0,2415,2. část,12:01,-,10 Dušan Pavlík,,2008/2009
1,2415,3. část,02:11,-,28 Vladimír Ouřada,79 Jan Volf,2008/2009
2,2415,3. část,12:29,-,79 Jan Volf,26 Jiří Dohnal,2008/2009
0,2420,1. část,01:23,-,6 Filip Rubeš,71 Petr Machovec,2008/2009
1,2420,1. část,07:50,-,13 Martin Svítil,17 Lukáš Rubeš,2008/2009
2,2420,2. část,04:21,-,6 Filip Rubeš,,2008/2009
3,2420,2. část,11:48,-,16 Martin Štamfest,71 Petr Machovec,2008/2009
4,2420,2. část,12:16,-,16 Martin Štamfest,13 Martin Svítil,2008/2009
5,2420,3. část,04:18,-,71 Petr Machovec,6 Filip Rubeš,2008/2009
0,3413,1. část,04:45,-,2 Jan Klozar,21 Daniel Švarc,2008/2009
1,3413,1. část,05:23,-,20 Martin Rejmiš,47 Filip Červený,2008/2009
2,3413,1. část,11:43,-,10 Miroslav Veselík,20 Martin Rejmiš,2008/2009
3,3413,1. část,13:04,-,47 Filip Červený,9 Pavel Švarc,2008/2009
4,3413,1. část,14:36,-,2 Jan Klozar,11 Martin Luhan,2008/2009
5,3413,2. část,04:18,-,9 Pavel Švarc,20 Martin Rejmiš,2008/2009
6,3413,3. část,09:30,-,9 Pavel Švarc,47 Filip Červený,2008/2009
7,3413,3. část,14:49,-,21 Daniel Švarc,2 Jan Klozar,2008/2009
0,3419,3. část,00:49,-,11 Jiří Chrobok,,2008/2009
1,3419,3. část,06:07,-,11 Jiří Chrobok,12 Ladislav Peleška,2008/2009
0,3450,1. část,07:14,-,13 Filip Bollardt,29 Jan Sládek,2008/2009
1,3450,2. část,04:58,-,44 Antonín Kroupa,29 Jan Sládek,2008/2009
2,3450,3. část,03:40,-,11 Petr Kleprlík,23 Ondřej Polák,2008/2009
3,3450,3. část,05:39,-,13 Filip Bollardt,29 Jan Sládek,2008/2009
4,3450,3. část,10:11,-,15 Luděk Kleprlík,22 Michal Muravský,2008/2009
5,3450,3. část,12:48,-,22 Michal Muravský,3 Michael Knittl,2008/2009
6,3450,3. část,13:59,-,2 Tomáš Zicha,29 Jan Sládek,2008/2009
0,3448,2. část,02:14,-,3 Adam Šumelda,77 Michal Ždímal,2008/2009
1,3448,2. část,06:51,SH,66 Tomáš Hodek,,2008/2009
2,3448,2. část,09:39,-,24 Jakub Ších,10 Vojtěch Machačka,2008/2009
3,3448,3. část,06:29,-,66 Tomáš Hodek,28 Ivan Šumelda,2008/2009
4,3448,3. část,08:09,-,13 Miroslav Václavík,,2008/2009
0,6029,2. část,00:36,-,7 Ondřej Materna,88 Marek Kuneš,2008/2009
0,6182,1. část,09:35,-,56 Roman Arnošt,13 Jan Škoda,2008/2009
1,6182,1. část,13:33,-,18 Pavel Pokorný,19 Jaroslav Pokorný,2008/2009
2,6182,2. část,08:19,-,26 Petr Haspeklo,13 Jan Škoda,2008/2009
3,6182,3. část,14:59,-,18 Pavel Pokorný,56 Roman Arnošt,2008/2009
0,6472,2. část,01:42,-,81 Tomáš Kameník,10 Libor Koubek,2008/2009
1,6472,2. část,08:14,-,10 Libor Koubek,,2008/2009
2,6472,3. část,08:16,-,4 David Karel,13 Jan Hloušek,2008/2009
3,6472,3. část,14:19,-,14 Marek Šafařík,10 Libor Koubek,2008/2009
0,6470,1. část,05:12,-,71 Martin Švehla,24 Karel Kocián,2008/2009
1,6470,2. část,01:33,-,71 Martin Švehla,23 Jan Maťátko,2008/2009
0,456,2. část,00:53,-,17 Lukáš Rubeš,6 Filip Rubeš,2008/2009
1,456,2. část,12:02,-,6 Filip Rubeš,17 Lukáš Rubeš,2008/2009
2,456,3. část,03:52,-,9 Aleš Holinský,4 Martin Řepka,2008/2009
3,456,3. část,03:56,-,4 Martin Řepka,17 Lukáš Rubeš,2008/2009
0,8515,1. část,07:38,-,47 Filip Červený,20 Martin Rejmiš,2008/2009
0,9641,3. část,02:05,-,9 Jan Slavíček,,2008/2009
0,9636,1. část,12:51,-,24 Daniel Veselý,,2008/2009
1,9636,2. část,05:14,-,33 David Šrámek,,2008/2009
2,9636,3. část,14:58,-,11 Petr Kleprlík,98 Michal Vrňák,2008/2009
0,10203,1. část,01:47,-,77 Michal Ždímal,24 Jakub Ších,2008/2009
1,10203,2. část,11:17,-,24 Jakub Ších,15 Prokop Váňa,2008/2009
2,10203,3. část,13:26,PP,66 Tomáš Hodek,7 Tomáš Kopejsko,2008/2009
0,10206,1. část,10:03,-,13 Petr Vrchota,1 Vladimír Provazník,2008/2009
1,10206,3. část,07:17,-,12 Eduard Frey,13 Petr Vrchota,2008/2009
2,10206,3. část,13:25,-,17 Daniel Knopp,96 Jiří Cimler,2008/2009
3,10206,3. část,14:49,-,11 Tomáš Blahoš,13 Petr Vrchota,2008/2009
0,12532,1. část,00:43,-,7 Jakub Šára,19 Josef Charvát,2008/2009
1,12532,2. část,11:53,-,13 Petr Altman,9 Štěpán Jaroch,2008/2009
2,12532,2. část,13:40,-,13 Petr Altman,,2008/2009
0,12900,2. část,05:16,PP,93 Lukáš Menšík,87 Petr Haspeklo,2008/2009
1,12900,3. část,10:40,-,17 Pavol Zajac,24 Jan Plechata,2008/2009
2,12900,3. část,14:12,-,87 Petr Haspeklo,19 Zoltán Gergely,2008/2009
0,12904,1. část,00:23,-,2 Richard Lučan,81 Tomáš Kameník,2008/2009
1,12904,1. část,02:19,-,81 Tomáš Kameník,14 Marek Šafařík,2008/2009
2,12904,1. část,06:20,-,81 Tomáš Kameník,2 Richard Lučan,2008/2009
3,12904,2. část,08:17,-,13 Jan Hloušek,9 Luboš Sadílek,2008/2009
4,12904,2. část,11:33,PS,14 Marek Šafařík,,2008/2009
5,12904,3. část,09:12,-,81 Tomáš Kameník,10 Libor Koubek,2008/2009
6,12904,3. část,14:41,-,9 Luboš Sadílek,14 Marek Šafařík,2008/2009
0,14226,2. část,02:41,-,68 Michal Rukavička,10 Petr Popelka,2009/2010
1,14226,3. část,09:09,-,68 Michal Rukavička,14 Michal Šik,2009/2010
0,14224,1. část,01:06,-,2 Daniel Kubát,77 Michal Kulhánek,2009/2010
1,14224,1. část,11:43,-,2 Daniel Kubát,,2009/2010
0,15977,2. část,01:11,-,19 Jan Sobota,6 Jakub Podhorný,2009/2010
1,15977,2. část,10:07,-,21 Roman Šeiner,4 Jan Kněžínek,2009/2010
2,15977,3. část,01:01,-,19 Jan Sobota,6 Jakub Podhorný,2009/2010
3,15977,3. část,06:54,PP,19 Jan Sobota,5 Radek Tázler,2009/2010
4,15977,3. část,11:25,-,19 Jan Sobota,72 Michal Zítek,2009/2010
5,15977,3. část,11:54,-,98 Petr Brychta,22 Karel Sita,2009/2010
0,15986,1. část,00:22,-,18 Martin Tuček,16 Jan Hruška,2009/2010
1,15986,1. část,03:01,SH,16 Jan Hruška,12 Lukáš Koťátko,2009/2010
0,17157,1. část,00:41,-,11 Ota Hauptmann,,2009/2010
1,17157,1. část,09:40,-,55 Milan Štěrba,9 Jakub Dvořák,2009/2010
2,17157,2. část,02:18,-,3 Jan Čížek,,2009/2010
3,17157,3. část,01:20,-,55 Milan Štěrba,9 Jakub Dvořák,2009/2010
4,17157,3. část,05:08,-,69 David Mráz,3 Jan Čížek,2009/2010
5,17157,3. část,06:40,-,55 Milan Štěrba,9 Jakub Dvořák,2009/2010
6,17157,3. část,06:53,-,69 David Mráz,,2009/2010
7,17157,3. část,09:17,-,55 Milan Štěrba,33 Hynek Hampl,2009/2010
8,17157,3. část,11:12,-,3 Jan Čížek,13 Martin Kalous,2009/2010
0,17158,1. část,05:52,-,8 Jakub Stárek,,2009/2010
1,17158,2. část,09:40,PP,18 Zdeněk Novák,17 Jakub Žolčák,2009/2010
2,17158,3. část,04:47,-,17 Jakub Žolčák,18 Zdeněk Novák,2009/2010
3,17158,3. část,05:13,-,5 Jan Papoušek,14 Tomáš Vendl,2009/2010
4,17158,3. část,08:30,SH,14 Tomáš Vendl,9 Jan Tichý,2009/2010
0,18371,1. část,02:24,-,69 Michal Černý,71 Pavel Vlasák,2009/2010
1,18371,1. část,03:13,-,77 Lukáš Fulín,7 Jan Vážný,2009/2010
2,18371,2. část,10:47,-,16 Adam Podrázský,69 Michal Černý,2009/2010
3,18371,2. část,11:01,-,71 Pavel Vlasák,4 David Hofmann,2009/2010
4,18371,3. část,02:02,-,7 Jan Vážný,,2009/2010
5,18371,3. část,05:07,-,71 Pavel Vlasák,,2009/2010
0,18389,3. část,08:10,-,12 Vojtěch Novák,39 Michal Pozler,2009/2010
1,18389,3. část,08:34,-,20 František Schirl,10 Josef Slavík,2009/2010
0,19348,1. část,03:29,-,16 Filip Bělský,,2009/2010
1,19348,2. část,00:25,-,21 Milan Votrubec,16 Filip Bělský,2009/2010
2,19348,2. část,06:30,-,77 Tomáš Dedek,49 Jan Zahálka,2009/2010
3,19348,2. část,10:42,-,16 Filip Bělský,,2009/2010
4,19348,2. část,11:27,PP,16 Filip Bělský,,2009/2010
0,19350,2. část,05:39,-,17 Ondřej Novotný,10 Matouš Novosad,2009/2010
1,19350,3. část,08:23,-,30 Lukáš Grygar,,2009/2010
2,19350,3. část,11:08,-,27 Jan Kořínek,12 Michal Tuma,2009/2010
0,21084,2. část,05:59,-,7 Jan Bambas,10 Petr Popelka,2009/2010
1,21084,2. část,08:39,-,87 Jan Kučera,6 Jan Zapadlo,2009/2010
2,21084,3. část,01:42,-,14 Michal Šik,10 Petr Popelka,2009/2010
3,21084,3. část,11:42,-,14 Michal Šik,68 Marek Mandler,2009/2010
0,21821,1. část,11:41,PP,88 Tomáš Klimt,2 Daniel Kubát,2009/2010
1,21821,2. část,04:28,-,2 Daniel Kubát,23 Jakub Michalik,2009/2010
2,21821,2. část,10:36,-,10 Tomáš Schuch,12 Jaroslav Krupička,2009/2010
3,21821,3. část,07:09,-,88 Tomáš Klimt,37 Roman Bezouška,2009/2010
4,21821,3. část,11:49,-,2 Daniel Kubát,77 Michal Kulhánek,2009/2010
0,21824,1. část,05:03,-,98 Petr Brychta,22 Karel Sita,2009/2010
1,21824,1. část,09:27,-,98 Petr Brychta,,2009/2010
2,21824,1. část,10:21,-,24 Jan Tománek,22 Karel Sita,2009/2010
3,21824,3. část,08:06,-,98 Petr Brychta,22 Karel Sita,2009/2010
0,23281,1. část,09:50,-,15 Miroslav Kaplan,12 Lukáš Koťátko,2009/2010
1,23281,2. část,04:02,-,3 Michal Kučera,15 Miroslav Kaplan,2009/2010
2,23281,2. část,09:45,-,15 Miroslav Kaplan,16 Jan Hruška,2009/2010
3,23281,2. část,10:43,-,8 Marek Mojžíš,15 Miroslav Kaplan,2009/2010
4,23281,2. část,11:20,-,2 Marek Pucholt,18 Martin Tuček,2009/2010
5,23281,3. část,09:55,-,16 Jan Hruška,2 Marek Pucholt,2009/2010
0,23278,1. část,04:19,-,96 Martin Král,4 Martin Czeczinkar,2009/2010
