,Id,Period,Time,Player,TM,Foul,Season
0,2415,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,2420,3. část,13:15,71 Petr Machovec,2,920 hra rukou,2008/2009
0,3413,2. část,09:07,13 Jiří Zajdl,2,901 sekání,2008/2009
0,3419,2. část,09:40,8 Marek Pastuszek,2,921 hra hlavou,2008/2009
0,3450,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,3448,2. část,05:14,24 Jakub Ších,2,915 nedovolená vzdálenost,2008/2009
1,3448,3. část,14:56,13 Miroslav Václavík,2,907 nedovolené vrážení,2008/2009
0,6029,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,6025,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,6182,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,6472,3. část,03:39,89 Zdeněk Sadílek,2,901 sekání,2008/2009
0,6470,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,456,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,8515,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,9641,2. část,10:47,21 Jan Nebáznivý,2,922 špatné střídání,2008/2009
1,9641,3. část,08:01,99 Martin Kováč,2,920 hra rukou,2008/2009
0,9636,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,10203,3. část,02:37,11 Ondřej Ždímal,2,915 nedovolená vzdálenost,2008/2009
0,10206,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,12532,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,12900,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,12904,1. část,14:53,7 Tomáš Jirásek,2,904 vysoká hokejka,2008/2009
1,12904,3. část,06:18,81 Tomáš Kameník,2,911 bránění ve hře,2008/2009
2,12904,3. část,14:22,10 Libor Koubek,2,926 hra bez hokejky,2008/2009
0,14226,3. část,07:15,88 Václav Flek,2,925 nesportovní chování,2009/2010
1,14226,3. část,11:48,14 Michal Šik,2,919 hra na zemi,2009/2010
0,14224,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2009/2010
0,15977,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2009/2010
0,15986,1. část,01:12,4 Tomáš Novák,2,920 hra rukou,2009/2010
1,15986,2. část,05:15,18 Martin Tuček,2,925 nesportovní chování,2009/2010
2,15986,2. část,05:15,18 Martin Tuček,10,925 nesportovní chování,2009/2010
3,15986,2. část,05:15,18 Martin Tuček,2,909 hrubost,2009/2010
4,15986,3. část,00:57,5 Ladislav Dvořák,2,911 bránění ve hře,2009/2010
5,15986,3. část,03:59,5 Ladislav Dvořák,2,925 nesportovní chování,2009/2010
6,15986,3. část,08:30,18 Martin Tuček,2,925 nesportovní chování,2009/2010
7,15986,3. část,11:43,18 Martin Tuček,,612 vyloučení do konce utkání,2009/2010
8,15986,3. část,11:43,18 Martin Tuček,5,925 nesportovní chování,2009/2010
