,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,2415,10 Dušan Pavlík (U),1,0,1,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
1,2415,16 Matěj Sedláček (U),0,0,0,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
2,2415,23 Jan Maťátko (U),0,0,0,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
3,2415,26 Jiří Dohnal (U),0,1,1,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
4,2415,28 Vladimír Ouřada (U),1,0,1,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
5,2415,33 Martin Slabý (U),0,0,0,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
6,2415,71 Martin Švehla (U),0,0,0,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
7,2415,78 Rudolf Müller (U),0,0,0,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
8,2415,79 Jan Volf (U),1,1,2,2008/2009,FBC Ressler boys,FC Bourbon SK Praha 4 B
0,2420,4 Martin Řepka (U),0,0,0,2008/2009,FBC Ressler boys,Game Over Praha
1,2420,6 Filip Rubeš (U),2,1,3,2008/2009,FBC Ressler boys,Game Over Praha
2,2420,9 Aleš Holinský (U),0,0,0,2008/2009,FBC Ressler boys,Game Over Praha
3,2420,13 Martin Svítil (U),1,1,2,2008/2009,FBC Ressler boys,Game Over Praha
4,2420,16 Martin Štamfest (U),2,0,2,2008/2009,FBC Ressler boys,Game Over Praha
5,2420,17 Lukáš Rubeš (U),0,1,1,2008/2009,FBC Ressler boys,Game Over Praha
6,2420,71 Petr Machovec (U),1,2,3,2008/2009,FBC Ressler boys,Game Over Praha
0,3413,2 Jan Klozar (U),2,1,3,2008/2009,FBC Ressler boys,FKMP Praha
1,3413,5 Martin Kříž (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
2,3413,6 Boris Šálek (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
3,3413,9 Pavel Švarc (U),2,1,3,2008/2009,FBC Ressler boys,FKMP Praha
4,3413,10 Miroslav Veselík (U),1,0,1,2008/2009,FBC Ressler boys,FKMP Praha
5,3413,11 Martin Luhan (U),0,1,1,2008/2009,FBC Ressler boys,FKMP Praha
6,3413,13 Jiří Zajdl (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
7,3413,20 Martin Rejmiš (U),1,2,3,2008/2009,FBC Ressler boys,FKMP Praha
8,3413,21 Daniel Švarc (U),1,1,2,2008/2009,FBC Ressler boys,FKMP Praha
9,3413,30 David Kohout (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
10,3413,33 Ondřej Kuželka (U),0,0,0,2008/2009,FBC Ressler boys,FKMP Praha
11,3413,47 Filip Červený (U),1,2,3,2008/2009,FBC Ressler boys,FKMP Praha
0,3419,2 Vojtěch Tábor (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
1,3419,4 Petr Bartoň (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
2,3419,7 Lukáš Svatek (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
3,3419,8 Marek Pastuszek (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
4,3419,11 Jiří Chrobok (U),2,0,2,2008/2009,FBC Ressler boys,FbC Engineers
5,3419,12 Ladislav Peleška (U),0,1,1,2008/2009,FBC Ressler boys,FbC Engineers
6,3419,14 Matěj Nesvadba (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
7,3419,16 Martin Svatek (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
8,3419,19 Jan Krug (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
9,3419,21 Jan Nebáznivý (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
10,3419,22 Milan Němec (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
11,3419,99 Martin Kováč (U),0,0,0,2008/2009,FBC Ressler boys,FbC Engineers
0,3450,2 Tomáš Zicha (U),1,0,1,2008/2009,FBC Ressler boys,SK B.U.H. Praha B
1,3450,3 Michael Knittl (U),0,1,1,2008/2009,FBC Ressler boys,SK B.U.H. Praha B
