,Id,GK,Shots,Goals,Touches,Success%,Minutes,Season
0,2415,33 Ctibor Chmelař,30,3,27,"90,00",45:00,2008/2009
0,2420,33 Ctibor Chmelař,30,6,24,"80,00",45:00,2008/2009
0,3413,33 Ctibor Chmelař,30,8,22,"73,33",45:00,2008/2009
0,3419,33 Ctibor Chmelař,30,2,28,"93,33",45:00,2008/2009
0,3450,33 Ctibor Chmelař,30,7,23,"76,67",45:00,2008/2009
0,3448,33 Ctibor Chmelař,30,5,25,"83,33",45:00,2008/2009
0,6029,33 Ctibor Chmelař,30,1,29,"96,67",45:00,2008/2009
0,6025,33 Ctibor Chmelař,30,0,30,"100,00",45:00,2008/2009
0,6182,33 Zdeněk Máčel,30,4,26,"86,67",45:00,2008/2009
0,6472,33 Ctibor Chmelař,30,4,26,"86,67",45:00,2008/2009
0,6470,33 Ctibor Chmelař,30,2,28,"93,33",45:00,2008/2009
0,456,33 Ctibor Chmelař,30,4,26,"86,67",45:00,2008/2009
0,8515,33 Ctibor Chmelař,30,1,29,"96,67",45:00,2008/2009
0,9641,33 Ctibor Chmelař,30,1,29,"96,67",45:00,2008/2009
0,9636,33 Ctibor Chmelař,30,3,27,"90,00",45:00,2008/2009
0,10203,33 Ctibor Chmelař,30,3,27,"90,00",45:00,2008/2009
0,10206,33 Ctibor Chmelař,30,4,26,"86,67",45:00,2008/2009
0,12532,33 Ctibor Chmelař,30,3,27,"90,00",45:00,2008/2009
0,12900,33 Ctibor Chmelař,30,3,27,"90,00",45:00,2008/2009
0,12904,33 Ctibor Chmelař,30,7,23,"76,67",45:00,2008/2009
0,14226,33 Ctibor Chmelař,30,2,28,"93,33",36:00,2009/2010
0,14224,33 Ctibor Chmelař,30,2,28,"93,33",36:00,2009/2010
0,15977,33 Ctibor Chmelař,30,6,24,"80,00",36:00,2009/2010
0,15986,33 Ctibor Chmelař,30,2,28,"93,33",36:00,2009/2010
0,17157,33 Ctibor Chmelař,30,9,21,"70,00",36:00,2009/2010
0,17158,33 Ctibor Chmelař,30,5,25,"83,33",36:00,2009/2010
0,18371,77 Ctibor Chmelař,30,6,24,"80,00",36:00,2009/2010
0,18389,77 Ctibor Chmelař,30,2,28,"93,33",36:00,2009/2010
0,19348,77 Ctibor Chmelař,30,5,25,"83,33",36:00,2009/2010
0,19350,77 Ctibor Chmelař,30,3,27,"90,00",36:00,2009/2010
0,21084,77 Ctibor Chmelař,30,4,26,"86,67",36:00,2009/2010
0,21821,77 Ctibor Chmelař,30,5,25,"83,33",36:00,2009/2010
0,21824,77 Ctibor Chmelař,30,4,26,"86,67",36:00,2009/2010
0,23281,77 Ctibor Chmelař,30,6,24,"80,00",36:00,2009/2010
0,23278,77 Ctibor Chmelař,30,2,28,"93,33",36:00,2009/2010
0,24752,77 Ctibor Chmelař,30,3,27,"90,00",36:00,2009/2010
0,24754,77 Ctibor Chmelař,30,8,22,"73,33",36:00,2009/2010
0,25954,77 Ctibor Chmelař,30,1,29,"96,67",36:00,2009/2010
0,25950,77 Ctibor Chmelař,30,4,26,"86,67",36:00,2009/2010
0,27336,77 Ctibor Chmelař,30,9,21,"70,00",36:00,2009/2010
0,29252,49 Filip Trousil,30,3,27,"90,00",36:00,2010/2011
0,29250,49 Filip Trousil,30,2,28,"93,33",36:00,2010/2011
0,30521,49 Filip Trousil,30,6,24,"80,00",36:00,2010/2011
0,30518,49 Filip Trousil,30,5,25,"83,33",36:00,2010/2011
0,31231,19 Filip Trousil,30,2,28,"93,33",36:00,2010/2011
0,31228,49 Filip Trousil,30,3,27,"90,00",36:00,2010/2011
0,32999,49 Filip Trousil,30,2,28,"93,33",36:00,2010/2011
0,32921,98 Filip Trousil,30,7,23,"76,67",36:00,2010/2011
