,Id,Period,Time,Type,Goal,Assist,Season
0,2415,3. část,00:26,-,3 Pavel Maršík,9 Roman Žampach,2008/2009
0,2420,1. část,00:34,-,3 Pavel Maršík,9 Roman Žampach,2008/2009
1,2420,1. část,11:10,OG,4 Martin Řepka,,2008/2009
2,2420,3. část,01:11,-,6 Milan Balzer,,2008/2009
3,2420,3. část,04:45,-,9 Roman Žampach,3 Pavel Maršík,2008/2009
4,2420,3. část,04:52,-,9 Roman Žampach,3 Pavel Maršík,2008/2009
5,2420,3. část,05:13,-,5 Ladislav Tyll,9 Roman Žampach,2008/2009
6,2420,3. část,14:42,PP,12 Adam Bardún,9 Roman Žampach,2008/2009
0,3419,2. část,10:12,PP,5 Ladislav Tyll,,2008/2009
1,3419,3. část,10:55,-,9 Roman Žampach,6 Milan Balzer,2008/2009
0,3450,1. část,01:03,-,8 Filip Weber,,2008/2009
1,3450,1. část,13:01,-,11 Václav Rides,5 Ladislav Tyll,2008/2009
0,3448,3. část,07:51,-,4 Jakub Mádr,5 Ladislav Tyll,2008/2009
0,6029,1. část,11:39,-,12 Adam Bardún,,2008/2009
1,6029,1. část,12:46,-,12 Adam Bardún,11 Václav Rides,2008/2009
2,6029,2. část,02:51,-,2 Jakub Nováček,3 Pavel Maršík,2008/2009
3,6029,2. část,03:56,-,11 Václav Rides,10 Petr Škaloud,2008/2009
4,6029,2. část,09:13,-,11 Václav Rides,12 Adam Bardún,2008/2009
0,6025,1. část,14:31,-,11 Václav Rides,12 Adam Bardún,2008/2009
1,6025,3. část,04:20,-,2 Jakub Nováček,,2008/2009
2,6025,3. část,04:42,-,11 Václav Rides,,2008/2009
3,6025,3. část,07:27,-,5 Ladislav Tyll,2 Jakub Nováček,2008/2009
0,6182,2. část,09:32,-,11 Václav Rides,13 Jan Mareš,2008/2009
0,6472,1. část,14:22,-,2 Jakub Nováček,33 Ctibor Chmelař,2008/2009
1,6472,2. část,08:54,-,5 Ladislav Tyll,3 Pavel Maršík,2008/2009
2,6472,3. část,09:37,-,11 Václav Rides,3 Pavel Maršík,2008/2009
0,6470,2. část,05:53,-,5 Ladislav Tyll,11 Václav Rides,2008/2009
0,456,1. část,13:25,-,3 Pavel Maršík,10 Petr Škaloud,2008/2009
1,456,2. část,05:15,-,3 Pavel Maršík,5 Ladislav Tyll,2008/2009
2,456,3. část,00:25,-,10 Petr Škaloud,4 Jakub Mádr,2008/2009
0,8515,1. část,14:53,-,5 Ladislav Tyll,4 Jakub Mádr,2008/2009
0,9641,3. část,07:27,-,10 Petr Škaloud,4 Jakub Mádr,2008/2009
0,10203,1. část,00:15,PS,8 Filip Weber,,2008/2009
1,10203,1. část,11:01,-,5 Ladislav Tyll,12 Adam Bardún,2008/2009
2,10203,2. část,05:46,-,9 Roman Žampach,4 Jakub Mádr,2008/2009
3,10203,3. část,04:26,PP,12 Adam Bardún,4 Jakub Mádr,2008/2009
0,10206,2. část,02:07,-,3 Pavel Maršík,12 Adam Bardún,2008/2009
1,10206,2. část,05:00,-,11 Václav Rides,7 Jakub Nováček,2008/2009
2,10206,3. část,05:22,-,11 Václav Rides,7 Jakub Nováček,2008/2009
3,10206,3. část,14:19,-,11 Václav Rides,12 Adam Bardún,2008/2009
0,12532,1. část,07:54,-,9 Roman Žampach,6 Milan Balzer,2008/2009
