,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,2415,2 Zdeněk Máčel (U),0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
1,2415,3 Pavel Maršík (U),1,0,1,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
2,2415,5 Ladislav Tyll (U),0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
3,2415,6 Milan Balzer (U),0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
4,2415,9 Roman Žampach (U),0,1,1,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
5,2415,12 Adam Bardún (U),0,0,0,2008/2009,FC Bourbon SK Praha 4 B,FBC Ressler boys
0,2420,3 Pavel Maršík (U),1,2,3,2008/2009,Game Over Praha,FBC Ressler boys
1,2420,4 Jakub Mádr (U),0,0,0,2008/2009,Game Over Praha,FBC Ressler boys
2,2420,5 Ladislav Tyll (U),1,0,1,2008/2009,Game Over Praha,FBC Ressler boys
3,2420,6 Milan Balzer (U),1,0,1,2008/2009,Game Over Praha,FBC Ressler boys
4,2420,9 Roman Žampach (U),2,3,5,2008/2009,Game Over Praha,FBC Ressler boys
5,2420,12 Adam Bardún (U),1,0,1,2008/2009,Game Over Praha,FBC Ressler boys
0,3413,2 Zdeněk Máčel (U),0,0,0,2008/2009,FKMP Praha,FBC Ressler boys
1,3413,3 Jakub Mádr (U),0,0,0,2008/2009,FKMP Praha,FBC Ressler boys
2,3413,5 Ladislav Tyll (U),0,0,0,2008/2009,FKMP Praha,FBC Ressler boys
3,3413,6 Milan Balzer (U),0,0,0,2008/2009,FKMP Praha,FBC Ressler boys
4,3413,7 Zdeněk Karásek (U),0,0,0,2008/2009,FKMP Praha,FBC Ressler boys
5,3413,9 Roman Žampach (U),0,0,0,2008/2009,FKMP Praha,FBC Ressler boys
6,3413,11 Václav Rides (U),0,0,0,2008/2009,FKMP Praha,FBC Ressler boys
0,3419,2 Zdeněk Máčel (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
1,3419,3 Jakub Mádr (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
2,3419,5 Ladislav Tyll (U),1,0,1,2008/2009,FbC Engineers,FBC Ressler boys
3,3419,6 Milan Balzer (U),0,1,1,2008/2009,FbC Engineers,FBC Ressler boys
4,3419,7 Zdeněk Karásek (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
5,3419,8 Filip Weber (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
6,3419,9 Roman Žampach (U),1,0,1,2008/2009,FbC Engineers,FBC Ressler boys
7,3419,11 Václav Rides (U),0,0,0,2008/2009,FbC Engineers,FBC Ressler boys
0,3450,4 Jakub Mádr (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
1,3450,5 Ladislav Tyll (U),0,1,1,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
2,3450,6 Milan Balzer (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
3,3450,7 Zdeněk Karásek (U),0,0,0,2008/2009,SK B.U.H. Praha B,FBC Ressler boys
