,Id,Period,Time,Type,Goal,Assist,Season
0,291144,2. část,03:01,-,11 Jiří Kliner,,2021/2022
1,291144,2. část,05:55,-,26 Michal Brnka,2 Jiří Bauer,2021/2022
2,291144,3. část,01:23,-,26 Michal Brnka,96 Tomáš Vokšický,2021/2022
3,291144,3. část,07:02,PP,30 Petr Hrubec,6 Kryštof Dítě,2021/2022
4,291144,3. část,08:53,PP,38 Jáchym Kašpárek,6 Kryštof Dítě,2021/2022
5,291144,3. část,11:57,-,26 Michal Brnka,2 Jiří Bauer,2021/2022
0,291700,1. část,01:51,-,88 Jiří Havel,23 Mario Cedrych,2021/2022
1,291700,1. část,10:28,-,88 Jiří Havel,17 Jan Tomka,2021/2022
2,291700,2. část,09:26,PP,88 Jiří Havel,23 Mario Cedrych,2021/2022
3,291700,2. část,11:57,-,88 Jiří Havel,23 Mario Cedrych,2021/2022
0,293466,3. část,09:58,-,40 Martin Javor,28 Jakub Dobiáš,2021/2022
0,297187,1. část,09:52,-,48 Jakub Wágner,7 František Novák,2021/2022
1,297187,2. část,01:25,-,30 Zbyněk Prokšan,90 Tomáš Kašpar,2021/2022
2,297187,2. část,05:01,-,7 František Novák,48 Jakub Wágner,2021/2022
3,297187,2. část,07:39,-,81 Jiří Sobotka,87 Tomáš Novotný,2021/2022
4,297187,2. část,08:00,-,7 František Novák,48 Jakub Wágner,2021/2022
5,297187,3. část,04:06,-,3 Daniel Dohnal,,2021/2022
6,297187,3. část,05:42,-,7 František Novák,48 Jakub Wágner,2021/2022
7,297187,3. část,09:16,-,14 Michal Doležal,90 Tomáš Kašpar,2021/2022
8,297187,3. část,09:51,-,14 Michal Doležal,41 Teodor Bodlák,2021/2022
0,297199,1. část,03:51,-,44 Jan Šmíd,11 Lukáš Tretera,2021/2022
1,297199,1. část,10:58,-,11 Lukáš Tretera,44 Jan Šmíd,2021/2022
2,297199,1. část,11:45,-,8 Michael Dvořák,5 Tomáš Mráz,2021/2022
3,297199,2. část,00:37,-,44 Jan Šmíd,36 Jan Miler,2021/2022
4,297199,2. část,01:45,-,7 Lukáš Veselý,26 Robin Franče,2021/2022
5,297199,3. část,03:02,-,19 Adam Schindler,82 Zdeněk Šlégl,2021/2022
6,297199,3. část,07:24,-,44 Jan Šmíd,36 Jan Miler,2021/2022
7,297199,3. část,10:27,-,44 Jan Šmíd,11 Lukáš Tretera,2021/2022
0,300872,1. část,01:31,-,76 Jiří Marvan,,2021/2022
1,300872,1. část,04:24,-,9 Karel Rys,2 Jakub Kvasnička,2021/2022
2,300872,2. část,04:26,-,8 Martin Šťastný,50 Jan Mitka,2021/2022
3,300872,2. část,06:09,-,8 Martin Šťastný,50 Jan Mitka,2021/2022
4,300872,2. část,10:07,-,17 Adam Houdek,56 Michal Velechovský,2021/2022
5,300872,2. část,11:55,-,22 Martin Mikšovský,5 Jakub Houdek,2021/2022
6,300872,3. část,10:44,-,50 Jan Mitka,,2021/2022
7,300872,3. část,11:31,-,55 Martin Patocs,17 Adam Houdek,2021/2022
8,300872,3. část,11:41,-,50 Jan Mitka,76 Jiří Marvan,2021/2022
0,300871,1. část,08:20,-,19 Tomáš Votrubec,3 Václav Sládek,2021/2022
1,300871,2. část,07:39,-,81 Ondřej Lukeš,91 Miroslav Dobš,2021/2022
2,300871,2. část,10:31,-,15 Ondřej Hošek,12 Pavel Klemera,2021/2022
3,300871,2. část,11:51,SH,7 Lubomír Mrazík,91 Miroslav Dobš,2021/2022
4,300871,3. část,00:14,SH,12 Pavel Klemera,68 Lukáš Kouba,2021/2022
5,300871,3. část,07:02,-,7 Lubomír Mrazík,91 Miroslav Dobš,2021/2022
