,Id,Period,Time,Player,TM,Foul,Season
0,291144,1. část,09:25,11 Jiří Kliner,2,904 vysoká hokejka,2021/2022
0,291700,2. část,02:42,7 Petr Volf,2,908 vražení zády,2021/2022
1,291700,3. část,04:12,4 Dominik Král,2,919 hra na zemi,2021/2022
0,293466,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,297187,1. část,10:07,48 Jakub Wágner,2,902 blokování hokejky,2021/2022
0,297199,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,300872,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,300871,2. část,10:52,19 Tomáš Votrubec,2,920 hra rukou,2021/2022
0,304844,2. část,06:17,15 Pavel Hůla,2,915 nedovolená vzdálenost,2021/2022
0,304843,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,307481,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,307487,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,313361,2. část,10:55,10 Daniel Kadlec,2,913 hra vysokou nohou,2021/2022
0,313359,2. část,01:24,88 Jan Chudoba,2,901 sekání,2021/2022
1,313359,2. část,06:27,5 Stanislav Heřman,2,922 špatné střídání,2021/2022
2,313359,2. část,10:29,10 Filip Kraus,2,901 sekání,2021/2022
0,316378,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,316383,1. část,04:26,41 Vojtěch Duchoslav,2,907 nedovolené vrážení,2021/2022
1,316383,1. část,11:59,34 Patrik Svoboda,2,925 nesportovní chování,2021/2022
2,316383,2. část,07:55,26 Michal Brnka,2,911 bránění ve hře,2021/2022
0,291717,2. část,05:57,88 Jiří Havel,2,901 sekání,2021/2022
1,291717,2. část,07:46,97 Petr Ďurana,2,909 hrubost,2021/2022
0,320211,3. část,04:21,13 Ctirad Malina,2,901 sekání,2021/2022
1,320211,3. část,06:08,7 Radek Šindelář,2,909 hrubost,2021/2022
