,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,291144,2 Jiří Bauer (U),0,2,2,2021/2022,FBC Ressler boys,Florbal Neratovice B
1,291144,6 Kryštof Dítě (U),0,2,2,2021/2022,FBC Ressler boys,Florbal Neratovice B
2,291144,7 Ondřej Sauer (O),0,0,0,2021/2022,FBC Ressler boys,Florbal Neratovice B
3,291144,11 Jiří Kliner (U),1,0,1,2021/2022,FBC Ressler boys,Florbal Neratovice B
4,291144,26 Michal Brnka (O),3,0,3,2021/2022,FBC Ressler boys,Florbal Neratovice B
5,291144,30 Petr Hrubec (U),1,0,1,2021/2022,FBC Ressler boys,Florbal Neratovice B
6,291144,38 Jáchym Kašpárek (U),1,0,1,2021/2022,FBC Ressler boys,Florbal Neratovice B
7,291144,42 Vladimír Dolanský (U),0,0,0,2021/2022,FBC Ressler boys,Florbal Neratovice B
8,291144,44 Jaroslav Tesař (U),0,0,0,2021/2022,FBC Ressler boys,Florbal Neratovice B
9,291144,88 Vladimír Dolanský (U),0,0,0,2021/2022,FBC Ressler boys,Florbal Neratovice B
10,291144,96 Tomáš Vokšický (U),0,1,1,2021/2022,FBC Ressler boys,Florbal Neratovice B
0,291700,4 Dominik Král (O),0,0,0,2021/2022,FBC Ressler boys,FBC Lions Mladá Boleslav
1,291700,7 Petr Volf (O),0,0,0,2021/2022,FBC Ressler boys,FBC Lions Mladá Boleslav
2,291700,13 Luboš Jakubec (O),0,0,0,2021/2022,FBC Ressler boys,FBC Lions Mladá Boleslav
3,291700,17 Jan Tomka (O),0,1,1,2021/2022,FBC Ressler boys,FBC Lions Mladá Boleslav
4,291700,23 Mario Cedrych (U),0,3,3,2021/2022,FBC Ressler boys,FBC Lions Mladá Boleslav
5,291700,25 Zdeněk Kvapil (U),0,0,0,2021/2022,FBC Ressler boys,FBC Lions Mladá Boleslav
6,291700,48 Jakub Knespl (U),0,0,0,2021/2022,FBC Ressler boys,FBC Lions Mladá Boleslav
7,291700,78 Tomáš Sýkora (O),0,0,0,2021/2022,FBC Ressler boys,FBC Lions Mladá Boleslav
8,291700,84 Vladimír Peteřík (U),0,0,0,2021/2022,FBC Ressler boys,FBC Lions Mladá Boleslav
9,291700,88 Jiří Havel (U),4,0,4,2021/2022,FBC Ressler boys,FBC Lions Mladá Boleslav
0,293466,5 Pavel Zíka (O),0,0,0,2021/2022,FBC Ressler boys,SK Black Dragons
