,Id,GK,Shots,Goals,Touches,Success%,Minutes,Season
0,291144,1 Vojtěch Bíba,0,6,-6,0,36:00,2021/2022
0,291700,49 Filip Trousil,0,4,-4,0,36:00,2021/2022
0,293466,1 Vojtěch Bíba,0,1,-1,0,36:00,2021/2022
0,297187,1 Vojtěch Bíba,0,9,-9,0,36:00,2021/2022
0,297199,1 Vojtěch Bíba,0,8,-8,0,36:00,2021/2022
0,300872,1 Vojtěch Bíba,0,9,-9,0,36:00,2021/2022
0,300871,1 Vojtěch Bíba,0,6,-6,0,36:00,2021/2022
0,304844,1 Vojtěch Bíba,0,3,-3,0,36:00,2021/2022
0,304843,1 Vojtěch Bíba,0,8,-8,0,36:00,2021/2022
0,307481,49 Filip Trousil,0,9,-9,0,36:00,2021/2022
0,307487,49 Filip Trousil,0,13,-13,0,36:00,2021/2022
0,313361,1 Vojtěch Bíba,0,8,-8,0,36:00,2021/2022
0,313359,1 Vojtěch Bíba,0,6,-6,0,36:00,2021/2022
0,316378,1 Vojtěch Bíba,0,3,-3,0,36:00,2021/2022
0,316383,1 Vojtěch Bíba,0,4,-4,0,36:00,2021/2022
0,291717,49 Filip Trousil,0,2,-2,0,36:00,2021/2022
0,320211,49 Filip Trousil,0,5,-5,0,36:00,2021/2022
