,Id,Period,Time,Type,Goal,Assist,Season
0,291144,1. část,00:47,-,77 Ctibor Chmelař,21 Michael Obrtel,2021/2022
1,291144,1. část,09:49,PP,78 Václav Štochl,98 Matěj Soukup,2021/2022
2,291144,1. část,11:40,-,94 Ladislav Tyll,88 Michal Rosí,2021/2022
0,293466,1. část,03:48,-,78 Václav Štochl,61 Aleš Bambas,2021/2022
1,293466,1. část,05:16,-,16 Marek Kolařík,4 Jakub Mádr,2021/2022
2,293466,1. část,09:09,-,98 Matěj Soukup,21 Michael Obrtel,2021/2022
3,293466,2. část,04:42,-,98 Matěj Soukup,4 Jakub Mádr,2021/2022
4,293466,2. část,07:13,-,21 Michael Obrtel,77 Ctibor Chmelař,2021/2022
5,293466,2. část,07:42,-,21 Michael Obrtel,77 Ctibor Chmelař,2021/2022
6,293466,2. část,10:57,-,61 Aleš Bambas,1 Vojtěch Bíba,2021/2022
7,293466,3. část,00:52,-,8 Filip Weber,77 Ctibor Chmelař,2021/2022
8,293466,3. část,04:50,-,8 Filip Weber,94 Ladislav Tyll,2021/2022
9,293466,3. část,07:03,-,31 Pavel Malý,94 Ladislav Tyll,2021/2022
0,297187,2. část,01:34,-,94 Ladislav Tyll,88 Michal Rosí,2021/2022
0,297199,2. část,04:58,-,61 Aleš Bambas,,2021/2022
0,300872,1. část,05:44,-,31 Pavel Malý,88 Michal Rosí,2021/2022
1,300872,1. část,07:02,-,89 Milan Vřešťál,4 Jakub Mádr,2021/2022
2,300872,1. část,10:32,-,88 Michal Rosí,31 Pavel Malý,2021/2022
3,300872,2. část,03:39,-,78 Václav Štochl,98 Matěj Soukup,2021/2022
0,300871,2. část,00:30,-,78 Václav Štochl,88 Michal Rosí,2021/2022
0,304844,1. část,02:22,-,78 Václav Štochl,98 Matěj Soukup,2021/2022
1,304844,2. část,06:31,PP,88 Michal Rosí,98 Matěj Soukup,2021/2022
0,304843,1. část,11:43,-,98 Matěj Soukup,61 Aleš Bambas,2021/2022
1,304843,3. část,03:53,-,98 Matěj Soukup,78 Václav Štochl,2021/2022
