,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,291144,8 Filip Weber (U),0,0,0,2021/2022,Florbal Neratovice B,FBC Ressler boys
1,291144,16 Aleš Bambas (U),0,0,0,2021/2022,Florbal Neratovice B,FBC Ressler boys
2,291144,21 Michael Obrtel (U),0,1,1,2021/2022,Florbal Neratovice B,FBC Ressler boys
3,291144,31 Pavel Malý (U),0,0,0,2021/2022,Florbal Neratovice B,FBC Ressler boys
4,291144,77 Ctibor Chmelař (U),1,0,1,2021/2022,Florbal Neratovice B,FBC Ressler boys
5,291144,78 Václav Štochl (O),1,0,1,2021/2022,Florbal Neratovice B,FBC Ressler boys
6,291144,88 Michal Rosí (U),0,1,1,2021/2022,Florbal Neratovice B,FBC Ressler boys
7,291144,94 Ladislav Tyll (U),1,0,1,2021/2022,Florbal Neratovice B,FBC Ressler boys
8,291144,98 Matěj Soukup (O),0,1,1,2021/2022,Florbal Neratovice B,FBC Ressler boys
0,291700,4 Jakub Mádr (O),0,0,0,2021/2022,FBC Lions Mladá Boleslav,FBC Ressler boys
1,291700,8 Filip Weber (U),0,0,0,2021/2022,FBC Lions Mladá Boleslav,FBC Ressler boys
2,291700,13 Jakub Nováček (U),0,0,0,2021/2022,FBC Lions Mladá Boleslav,FBC Ressler boys
3,291700,16 Marek Kolařík (U),0,0,0,2021/2022,FBC Lions Mladá Boleslav,FBC Ressler boys
4,291700,31 Pavel Malý (U),0,0,0,2021/2022,FBC Lions Mladá Boleslav,FBC Ressler boys
5,291700,61 Aleš Bambas (U),0,0,0,2021/2022,FBC Lions Mladá Boleslav,FBC Ressler boys
6,291700,77 Ctibor Chmelař (U),0,0,0,2021/2022,FBC Lions Mladá Boleslav,FBC Ressler boys
7,291700,78 Václav Štochl (O),0,0,0,2021/2022,FBC Lions Mladá Boleslav,FBC Ressler boys
8,291700,89 Milan Vřešťál (O),0,0,0,2021/2022,FBC Lions Mladá Boleslav,FBC Ressler boys
9,291700,94 Ladislav Tyll (U),0,0,0,2021/2022,FBC Lions Mladá Boleslav,FBC Ressler boys
10,291700,98 Matěj Soukup (O),0,0,0,2021/2022,FBC Lions Mladá Boleslav,FBC Ressler boys
0,293466,4 Jakub Mádr (O),0,2,2,2021/2022,SK Black Dragons,FBC Ressler boys
1,293466,8 Filip Weber (U),2,0,2,2021/2022,SK Black Dragons,FBC Ressler boys
2,293466,16 Marek Kolařík (U),1,0,1,2021/2022,SK Black Dragons,FBC Ressler boys
3,293466,21 Michael Obrtel (U),2,1,3,2021/2022,SK Black Dragons,FBC Ressler boys
4,293466,31 Pavel Malý (U),1,0,1,2021/2022,SK Black Dragons,FBC Ressler boys
5,293466,61 Aleš Bambas (U),1,1,2,2021/2022,SK Black Dragons,FBC Ressler boys
6,293466,77 Ctibor Chmelař (U),0,3,3,2021/2022,SK Black Dragons,FBC Ressler boys
7,293466,78 Václav Štochl (O),1,0,1,2021/2022,SK Black Dragons,FBC Ressler boys
8,293466,89 Milan Vřešťál (O),0,0,0,2021/2022,SK Black Dragons,FBC Ressler boys
9,293466,94 Ladislav Tyll (U),0,2,2,2021/2022,SK Black Dragons,FBC Ressler boys
10,293466,98 Matěj Soukup (O),2,0,2,2021/2022,SK Black Dragons,FBC Ressler boys
0,297187,4 Jakub Mádr (O),0,0,0,2021/2022,Prague Tigers D,FBC Ressler boys
1,297187,8 Filip Weber (U),0,0,0,2021/2022,Prague Tigers D,FBC Ressler boys
2,297187,13 Jakub Nováček (U),0,0,0,2021/2022,Prague Tigers D,FBC Ressler boys
3,297187,31 Pavel Malý (O),0,0,0,2021/2022,Prague Tigers D,FBC Ressler boys
4,297187,61 Aleš Bambas (U),0,0,0,2021/2022,Prague Tigers D,FBC Ressler boys
5,297187,78 Václav Štochl (O),0,0,0,2021/2022,Prague Tigers D,FBC Ressler boys
6,297187,88 Michal Rosí (U),0,1,1,2021/2022,Prague Tigers D,FBC Ressler boys
7,297187,89 Milan Vřešťál (O),0,0,0,2021/2022,Prague Tigers D,FBC Ressler boys
8,297187,94 Ladislav Tyll (U),1,0,1,2021/2022,Prague Tigers D,FBC Ressler boys
9,297187,98 Matěj Soukup (U),0,0,0,2021/2022,Prague Tigers D,FBC Ressler boys
0,297199,4 Jakub Mádr (O),0,0,0,2021/2022,FBK DDM Praha 2,FBC Ressler boys
1,297199,8 Filip Weber (U),0,0,0,2021/2022,FBK DDM Praha 2,FBC Ressler boys
2,297199,13 Jakub Nováček (U),0,0,0,2021/2022,FBK DDM Praha 2,FBC Ressler boys
3,297199,31 Pavel Malý (O),0,0,0,2021/2022,FBK DDM Praha 2,FBC Ressler boys
4,297199,61 Aleš Bambas (U),1,0,1,2021/2022,FBK DDM Praha 2,FBC Ressler boys
5,297199,78 Václav Štochl (O),0,0,0,2021/2022,FBK DDM Praha 2,FBC Ressler boys
6,297199,88 Michal Rosí (U),0,0,0,2021/2022,FBK DDM Praha 2,FBC Ressler boys
7,297199,89 Milan Vřešťál (O),0,0,0,2021/2022,FBK DDM Praha 2,FBC Ressler boys
8,297199,94 Ladislav Tyll (U),0,0,0,2021/2022,FBK DDM Praha 2,FBC Ressler boys
9,297199,98 Matěj Soukup (U),0,0,0,2021/2022,FBK DDM Praha 2,FBC Ressler boys
0,300872,4 Jakub Mádr (O),0,1,1,2021/2022,Orka Čelákovice C,FBC Ressler boys
1,300872,8 Filip Weber (U),0,0,0,2021/2022,Orka Čelákovice C,FBC Ressler boys
2,300872,16 Marek Kolařík (U),0,0,0,2021/2022,Orka Čelákovice C,FBC Ressler boys
3,300872,31 Pavel Malý (O),1,1,2,2021/2022,Orka Čelákovice C,FBC Ressler boys
4,300872,78 Václav Štochl (O),1,0,1,2021/2022,Orka Čelákovice C,FBC Ressler boys
5,300872,88 Michal Rosí (U),1,1,2,2021/2022,Orka Čelákovice C,FBC Ressler boys
6,300872,89 Milan Vřešťál (O),1,0,1,2021/2022,Orka Čelákovice C,FBC Ressler boys
7,300872,94 Ladislav Tyll (U),0,0,0,2021/2022,Orka Čelákovice C,FBC Ressler boys
8,300872,98 Matěj Soukup (U),0,1,1,2021/2022,Orka Čelákovice C,FBC Ressler boys
0,300871,4 Jakub Mádr (O),0,0,0,2021/2022,FBC Merkur Praha,FBC Ressler boys
1,300871,8 Filip Weber (U),0,0,0,2021/2022,FBC Merkur Praha,FBC Ressler boys
