,Id,Period,Time,Player,TM,Foul,Season
0,2415,1. část,08:47,3 Pavel Maršík,2,901 sekání,2008/2009
0,2420,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,3413,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,3419,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,3450,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,3448,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,6029,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,6025,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,6182,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,6472,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,6470,2. část,07:41,2 Jakub Nováček,2,904 vysoká hokejka,2008/2009
0,456,1. část,04:59,11 Václav Rides,2,925 nesportovní chování,2008/2009
0,8515,3. část,14:23,12 Adam Bardún,2,919 hra na zemi,2008/2009
0,9641,2. část,13:03,5 Ladislav Tyll,2,924 zdržování hry,2008/2009
0,9636,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,10203,2. část,13:49,3 Pavel Maršík,2,901 sekání,2008/2009
1,10203,3. část,11:47,7 Jakub Nováček,2,915 nedovolená vzdálenost,2008/2009
0,10206,3. část,08:19,9 Roman Žampach,2,921 hra hlavou,2008/2009
1,10206,3. část,14:49,9 Roman Žampach,2,925 nesportovní chování,2008/2009
0,12532,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2008/2009
0,12900,2. část,03:38,10 Petr Škaloud,2,923 opakované přestupky,2008/2009
0,12904,2. část,13:28,2 Zdeněk Máčel,2,901 sekání,2008/2009
1,12904,3. část,14:41,11 Václav Rides,2,925 nesportovní chování,2008/2009
2,12904,3. část,14:53,11 Václav Rides,2,925 nesportovní chování,2008/2009
0,14226,3. část,07:15,86 Zdeněk Karásek,2,925 nesportovní chování,2009/2010
